Time frequency,Crops,Structure of production,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Green maize,Area (cultivation/harvested/production) (1000 ha),Albania,:,16.0,15.3,14.6,16.0,15.0,22.13 e,19.2,20.5,22.0,20.4,:
Annual,Green maize,Area (cultivation/harvested/production) (1000 ha),Austria,110.82,83.46,91.99,84.64,82.19,83.35,85.68,86.86,85.13,82.65,94.89,88.37
Annual,Green maize,Area (cultivation/harvested/production) (1000 ha),Bosnia and Herzegovina,27.02 e,28.93 e,31.89 e,32.78 e,33.71 e,32.53 e,34.08 e,35.03 e,35.05 e,14.88 b,17.07 p,:
Annual,Green maize,Area (cultivation/harvested/production) (1000 ha),Belgium,177.5,178.12,173.34,168.74,171.28,179.74,175.3,181.54,183.08,178.38,170.33,179.60 p
Annual,Green maize,Area (cultivation/harvested/production) (1000 ha),Bulgaria,21.32,25.13,26.56,31.1,29.93,27.24,27.5,30.44,30.11,27.35,28.23,29.0
Annual,Green maize,Area (cultivation/harvested/production) (1000 ha),Switzerland,46.16,:,45.89,47.0,47.87,48.91,47.03,46.85,50.21,49.81,47.14,49.29 e
Annual,Green maize,Area (cultivation/harvested/production) (1000 ha),Cyprus,0.24,0.31,0.3,0.2,0.17,0.12,0.14,0.13,0.13,0.15,0.13 p,0.12 e
Annual,Green maize,Area (cultivation/harvested/production) (1000 ha),Czechia,233.82,237.24,244.96,234.40 d,223.21 d,224.11 d,232.39 d,226.16 d,216.98 d,211.79 d,222.93 d,235.76 d
Annual,Green maize,Area (cultivation/harvested/production) (1000 ha),Germany,2003.2,2092.6,2100.4,2137.6,2095.9,2195.9,2222.7,2299.7,2219.6,2028.3,2000.0,2048.7
Annual,Green maize,Area (cultivation/harvested/production) (1000 ha),Denmark,180.9,178.2,182.4,182.4,166.7,179.6,186.4,188.7,173.9,167.7,179.8,179.8
