Time frequency,Size classes in percentage,Change,Economical indicator for structural business statistics,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,10 percent or over,Decrease,Enterprises - number,Industry and construction,Number,Austria,171 u
Annual,10 percent or over,Decrease,Enterprises - number,Industry and construction,Number,Germany,8527.0
Annual,10 percent or over,Decrease,Enterprises - number,Industry and construction,Number,Italy,4964.0
Annual,10 percent or over,Decrease,Enterprises - number,Industry and construction,Number,Latvia,190.0
Annual,10 percent or over,Decrease,Enterprises - number,Industry and construction,Number,Sweden,595.0
Annual,10 percent or over,Decrease,Enterprises - number,Industry and construction (except manufacturing),Number,Bulgaria,194.0
Annual,10 percent or over,Decrease,Enterprises - number,Industry and construction (except manufacturing),Number,Hungary,111.0
Annual,10 percent or over,Decrease,Enterprises - number,Manufacturing,Number,Bulgaria,656.0
Annual,10 percent or over,Decrease,Enterprises - number,Manufacturing,Number,Hungary,584.0
Annual,10 percent or over,Decrease,Enterprises - number,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Bulgaria,269.0
Annual,10 percent or over,Decrease,Enterprises - number,Wholesale and retail trade; repair of motor vehicles and motorcycles,Number,Hungary,183.0
Annual,10 percent or over,Decrease,Enterprises - number,Services of the business economy,Number,Austria,242 u
Annual,10 percent or over,Decrease,Enterprises - number,Services of the business economy,Number,Germany,13045.0
Annual,10 percent or over,Decrease,Enterprises - number,Services of the business economy,Number,Italy,4907.0
Annual,10 percent or over,Decrease,Enterprises - number,Services of the business economy,Number,Latvia,269.0
Annual,10 percent or over,Decrease,Enterprises - number,Services of the business economy,Number,Sweden,1420.0
Annual,10 percent or over,Decrease,Enterprises - number,Services of the business economy (except trade),Number,Bulgaria,439.0
Annual,10 percent or over,Decrease,Enterprises - number,Services of the business economy (except trade),Number,Hungary,494.0
Annual,10 percent or over,Decrease,Enterprises - number,Total - all NACE activities,Number,Austria,413 u
Annual,10 percent or over,Decrease,Enterprises - number,Total - all NACE activities,Number,Bulgaria,1558.0
Annual,10 percent or over,Decrease,Enterprises - number,Total - all NACE activities,Number,Germany,21571.0
