Time frequency,Type of violence,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Physical (including threats and not sexual),Percentage,Austria,7.3
Annual,Physical (including threats and not sexual),Percentage,Belgium,7.6
Annual,Physical (including threats and not sexual),Percentage,Bulgaria,3.5
Annual,Physical (including threats and not sexual),Percentage,Cyprus,8.1
Annual,Physical (including threats and not sexual),Percentage,Czechia,5.3
Annual,Physical (including threats and not sexual),Percentage,Germany,4.7
Annual,Physical (including threats and not sexual),Percentage,Denmark,9.5
Annual,Physical (including threats and not sexual),Percentage,Estonia,7.8
Annual,Physical (including threats and not sexual),Percentage,Greece,10.3
Annual,Physical (including threats and not sexual),Percentage,Spain,6.5
Annual,Physical (including threats and not sexual),Percentage,European Union (aggregate changing according to the context),7.4 e
Annual,Physical (including threats and not sexual),Percentage,Finland,12.3
Annual,Physical (including threats and not sexual),Percentage,France,9.3
Annual,Physical (including threats and not sexual),Percentage,Croatia,7.9
Annual,Physical (including threats and not sexual),Percentage,Hungary,10.8
Annual,Physical (including threats and not sexual),Percentage,Ireland,12.7
Annual,Physical (including threats and not sexual),Percentage,Italy,7.1 d
Annual,Physical (including threats and not sexual),Percentage,Lithuania,7.6
Annual,Physical (including threats and not sexual),Percentage,Luxembourg,10.7
Annual,Physical (including threats and not sexual),Percentage,Latvia,8.0
Annual,Physical (including threats and not sexual),Percentage,Montenegro,5.7
Annual,Physical (including threats and not sexual),Percentage,Malta,7.8
Annual,Physical (including threats and not sexual),Percentage,Netherlands,9.6
Annual,Physical (including threats and not sexual),Percentage,Poland,6.1
Annual,Physical (including threats and not sexual),Percentage,Portugal,9.3
Annual,Physical (including threats and not sexual),Percentage,Romania,9.5
Annual,Physical (including threats and not sexual),Percentage,Serbia,7.4
Annual,Physical (including threats and not sexual),Percentage,Sweden,7.1
Annual,Physical (including threats and not sexual),Percentage,Slovenia,9.3
Annual,Physical (including threats and not sexual),Percentage,Slovakia,10.7
Annual,Physical (including threats and not sexual),Percentage,Kosovo*,5.9
Annual,Physical (including threats) or sexual,Percentage,Austria,27.5
Annual,Physical (including threats) or sexual,Percentage,Belgium,19.1
Annual,Physical (including threats) or sexual,Percentage,Bulgaria,5.9
Annual,Physical (including threats) or sexual,Percentage,Cyprus,14.6
Annual,Physical (including threats) or sexual,Percentage,Czechia,9.7
Annual,Physical (including threats) or sexual,Percentage,Germany,14.1
Annual,Physical (including threats) or sexual,Percentage,Denmark,38.2
Annual,Physical (including threats) or sexual,Percentage,Estonia,20.6
Annual,Physical (including threats) or sexual,Percentage,Greece,24.8
Annual,Physical (including threats) or sexual,Percentage,Spain,20.0
Annual,Physical (including threats) or sexual,Percentage,European Union (aggregate changing according to the context),20.2 e
Annual,Physical (including threats) or sexual,Percentage,Finland,46.5
Annual,Physical (including threats) or sexual,Percentage,France,26.1
Annual,Physical (including threats) or sexual,Percentage,Croatia,18.7
Annual,Physical (including threats) or sexual,Percentage,Hungary,19.2
Annual,Physical (including threats) or sexual,Percentage,Ireland,27.6
Annual,Physical (including threats) or sexual,Percentage,Italy,24.8 d
Annual,Physical (including threats) or sexual,Percentage,Lithuania,13.6
Annual,Physical (including threats) or sexual,Percentage,Luxembourg,33.7
Annual,Physical (including threats) or sexual,Percentage,Latvia,13.9
Annual,Physical (including threats) or sexual,Percentage,Montenegro,6.2
Annual,Physical (including threats) or sexual,Percentage,Malta,15.1
Annual,Physical (including threats) or sexual,Percentage,Netherlands,35.5
Annual,Physical (including threats) or sexual,Percentage,Poland,8.2
Annual,Physical (including threats) or sexual,Percentage,Portugal,13.1
Annual,Physical (including threats) or sexual,Percentage,Romania,14.1
Annual,Physical (including threats) or sexual,Percentage,Serbia,10.1
Annual,Physical (including threats) or sexual,Percentage,Sweden,42.0
Annual,Physical (including threats) or sexual,Percentage,Slovenia,16.0
Annual,Physical (including threats) or sexual,Percentage,Slovakia,16.9
Annual,Physical (including threats) or sexual,Percentage,Kosovo*,6.1
Annual,Rape,Percentage,Austria,4.1
Annual,Rape,Percentage,Belgium,4.0
Annual,Rape,Percentage,Bulgaria,1.5
Annual,Rape,Percentage,Cyprus,3.0 u
Annual,Rape,Percentage,Czechia,2.7
Annual,Rape,Percentage,Germany,4.5
Annual,Rape,Percentage,Denmark,8.9
Annual,Rape,Percentage,Estonia,5.8
Annual,Rape,Percentage,Greece,2.0
Annual,Rape,Percentage,Spain,2.7
Annual,Rape,Percentage,European Union (aggregate changing according to the context),3.8 e
Annual,Rape,Percentage,Finland,9.8
Annual,Rape,Percentage,France,4.9
Annual,Rape,Percentage,Croatia,2.1
Annual,Rape,Percentage,Hungary,3.0
Annual,Rape,Percentage,Ireland,5.1 u
Annual,Rape,Percentage,Italy,3.4 d
Annual,Rape,Percentage,Lithuania,2.6
Annual,Rape,Percentage,Luxembourg,7.4
Annual,Rape,Percentage,Latvia,2.4
Annual,Rape,Percentage,Montenegro,: u
Annual,Rape,Percentage,Malta,3.0
Annual,Rape,Percentage,Netherlands,7.0
Annual,Rape,Percentage,Poland,0.6 u
Annual,Rape,Percentage,Portugal,1.0
Annual,Rape,Percentage,Romania,2.5 u
Annual,Rape,Percentage,Serbia,: u
Annual,Rape,Percentage,Sweden,12.6
Annual,Rape,Percentage,Slovenia,1.5 u
Annual,Rape,Percentage,Slovakia,3.8
Annual,Rape,Percentage,Kosovo*,: u
Annual,Sexual,Percentage,Austria,20.1
Annual,Sexual,Percentage,Belgium,11.5
Annual,Sexual,Percentage,Bulgaria,2.4
Annual,Sexual,Percentage,Cyprus,6.5
Annual,Sexual,Percentage,Czechia,4.4
Annual,Sexual,Percentage,Germany,9.4
Annual,Sexual,Percentage,Denmark,28.8
Annual,Sexual,Percentage,Estonia,12.8
Annual,Sexual,Percentage,Greece,14.5
Annual,Sexual,Percentage,Spain,13.5
Annual,Sexual,Percentage,European Union (aggregate changing according to the context),12.9 e
Annual,Sexual,Percentage,Finland,34.2
Annual,Sexual,Percentage,France,16.8
Annual,Sexual,Percentage,Croatia,10.8
Annual,Sexual,Percentage,Hungary,8.4
Annual,Sexual,Percentage,Ireland,14.9
Annual,Sexual,Percentage,Italy,17.7 d
Annual,Sexual,Percentage,Lithuania,6.0
Annual,Sexual,Percentage,Luxembourg,23.0
Annual,Sexual,Percentage,Latvia,5.9
Annual,Sexual,Percentage,Montenegro,: u
Annual,Sexual,Percentage,Malta,7.3
Annual,Sexual,Percentage,Netherlands,25.8
Annual,Sexual,Percentage,Poland,2.1
Annual,Sexual,Percentage,Portugal,3.9
Annual,Sexual,Percentage,Romania,4.6
Annual,Sexual,Percentage,Serbia,2.7
Annual,Sexual,Percentage,Sweden,34.9
Annual,Sexual,Percentage,Slovenia,6.7
Annual,Sexual,Percentage,Slovakia,6.2
Annual,Sexual,Percentage,Kosovo*,: u
