Time frequency,Professional position,Sex,Seniority category,Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Researchers,Females,Single highest grade/post at which research is normally conducted,Head count,Greece,1004.0,979.0,:
Annual,Researchers,Females,Single highest grade/post at which research is normally conducted,Head count,Spain,3660 u,3911.0,:
Annual,Researchers,Females,Single highest grade/post at which research is normally conducted,Head count,Croatia,1046.0,1132.0,:
Annual,Researchers,Females,Single highest grade/post at which research is normally conducted,Head count,Hungary,300 e,297 e,:
Annual,Researchers,Females,Single highest grade/post at which research is normally conducted,Head count,Malta,24.0,29.0,:
Annual,Researchers,Females,Single highest grade/post at which research is normally conducted,Head count,Poland,4693.0,4892.0,:
Annual,Researchers,Females,Single highest grade/post at which research is normally conducted,Head count,Portugal,521.0,502.0,:
Annual,Researchers,Females,Researchers working in positions not as senior as top position (A) but more senior than newly qualified doctoral graduates (ISCED level 8),Head count,Greece,879.0,874.0,:
Annual,Researchers,Females,Researchers working in positions not as senior as top position (A) but more senior than newly qualified doctoral graduates (ISCED level 8),Head count,Spain,22326 u,23294.0,:
Annual,Researchers,Females,Researchers working in positions not as senior as top position (A) but more senior than newly qualified doctoral graduates (ISCED level 8),Head count,Croatia,2317.0,2258.0,:
Annual,Researchers,Females,Researchers working in positions not as senior as top position (A) but more senior than newly qualified doctoral graduates (ISCED level 8),Head count,Hungary,1230 e,1218 e,:
Annual,Researchers,Females,Researchers working in positions not as senior as top position (A) but more senior than newly qualified doctoral graduates (ISCED level 8),Head count,Malta,217.0,225.0,:
Annual,Researchers,Females,Researchers working in positions not as senior as top position (A) but more senior than newly qualified doctoral graduates (ISCED level 8),Head count,Poland,10663.0,11102.0,:
Annual,Researchers,Females,Researchers working in positions not as senior as top position (A) but more senior than newly qualified doctoral graduates (ISCED level 8),Head count,Portugal,2676.0,2685.0,:
Annual,Researchers,Females,First grade/post into which a newly qualified doctoral graduate would normally be recruited,Head count,Greece,3802.0,3918.0,:
Annual,Researchers,Females,First grade/post into which a newly qualified doctoral graduate would normally be recruited,Head count,Spain,14987 u,16236.0,:
Annual,Researchers,Females,First grade/post into which a newly qualified doctoral graduate would normally be recruited,Head count,Croatia,953.0,890.0,:
Annual,Researchers,Females,First grade/post into which a newly qualified doctoral graduate would normally be recruited,Head count,Hungary,4970 e,5010 e,:
Annual,Researchers,Females,First grade/post into which a newly qualified doctoral graduate would normally be recruited,Head count,Malta,30.0,26.0,:
Annual,Researchers,Females,First grade/post into which a newly qualified doctoral graduate would normally be recruited,Head count,Poland,19030.0,19143.0,:
Annual,Researchers,Females,First grade/post into which a newly qualified doctoral graduate would normally be recruited,Head count,Portugal,11351.0,11228.0,:
Annual,Researchers,Females,"Either doctoral students at the ISCED level 8 who are engaged as researchers, or researchers working in posts that do not normally require a doctorate degree",Head count,Greece,10107.0,12256.0,:
Annual,Researchers,Females,"Either doctoral students at the ISCED level 8 who are engaged as researchers, or researchers working in posts that do not normally require a doctorate degree",Head count,Spain,19195 u,19222.0,:
Annual,Researchers,Females,"Either doctoral students at the ISCED level 8 who are engaged as researchers, or researchers working in posts that do not normally require a doctorate degree",Head count,Croatia,1287.0,1140.0,:
Annual,Researchers,Females,"Either doctoral students at the ISCED level 8 who are engaged as researchers, or researchers working in posts that do not normally require a doctorate degree",Head count,Hungary,1156 e,1011 e,:
Annual,Researchers,Females,"Either doctoral students at the ISCED level 8 who are engaged as researchers, or researchers working in posts that do not normally require a doctorate degree",Head count,Malta,162.0,193.0,:
Annual,Researchers,Females,"Either doctoral students at the ISCED level 8 who are engaged as researchers, or researchers working in posts that do not normally require a doctorate degree",Head count,Poland,15256.0,15004.0,:
