Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,65 years or over,Total,Albania,:,:,:,:,:,:,:,:,47.5,46.0,42.8,40.0
Annual,Percentage,65 years or over,Total,Austria,18.6,17.4,17.4,16.2,16.2,15.7,14.0,13.7,13.4,14.5,14.5,14.5
Annual,Percentage,65 years or over,Total,Belgium,23.1,21.0,21.6,21.2,19.5,17.3,16.2,16.4,16.9,17.4,16.5 b,19.4
Annual,Percentage,65 years or over,Total,Bulgaria,66.0,63.9,61.1,59.1,57.6,47.8 b,51.8,45.9 b,48.9,45.1,47.8,48.3
Annual,Percentage,65 years or over,Total,Switzerland,30.3,27.8,28.3,30.1,29.6,25.8 b,26.6,25.5,26.1,23.3,27.4,25.0
Annual,Percentage,65 years or over,Total,Cyprus,48.6,42.6,39.8,33.4,26.1,27.2,20.8,22.9,24.6,23.5,25.9,24.0
Annual,Percentage,65 years or over,Total,Czechia,11.7,10.1,10.7,10.8,10.4,10.7,10.9,10.1,12.6,15.6,17.7,15.7
Annual,Percentage,65 years or over,Total,Germany,16.0,14.8,15.3,15.8,16.0,17.4,17.2,18.3,17.7,19.0,18.7,21.9 b
Annual,Percentage,65 years or over,Total,Denmark,20.6,18.4,14.6 b,13.2,10.8,10.8,9.9,9.2,9.5,9.6,10.0,11.7 b
Annual,Percentage,65 years or over,Total,Euro area - 19 countries  (2015-2022),19.5,17.6,18.2,17.6,16.5,16.2,15.9,17.3,17.1,17.4,17.2,18.3 b
Annual,Percentage,65 years or over,Total,Euro area – 20 countries (from 2023),:,:,:,:,:,16.2,16.1,17.4,17.2,17.6,17.4,18.5
Annual,Percentage,65 years or over,Total,Estonia,35.6,19.0,17.0,21.8,28.0,35.0 b,37.0,41.4,42.0,47.4,44.6,42.5
Annual,Percentage,65 years or over,Total,Greece,26.8,26.7,29.3,23.5,23.1,23.0,22.8,22.0,22.8,21.3,21.1,20.1
Annual,Percentage,65 years or over,Total,Spain,24.9,22.9,21.2,16.5,14.5,12.9,13.7,14.4,16.4,17.6,15.7,20.5
