Time frequency,Seasonal adjustment,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Austria,10.8 u,9.7 u,11.3 u,9.5 u,8.1 u,8.7 u,8.2 u,14.1 u,7.9 u,11.6 u,10.3 u,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Bosnia and Herzegovina,32.0,32.0,32.0,31.5,31.5,31.5,34.2,34.2,34.2,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Belgium,13.7,13.7,13.7,14.1,14.1,14.1,16.4,16.4,16.4,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Bulgaria,14.7,14.1,13.1,11.5,10.7,11.0,12.6,13.1,13.1,12.9,12.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Switzerland,8.2,8.5,8.4,8.2,8.2,8.2,7.9,8.0,9.2,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Cyprus,14.9,14.9,14.9,15.5,15.5,15.5,12.8,12.8,12.8,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Czechia,9.0,9.1,8.2,8.0,9.5,10.1,11.4,10.7,12.4,11.4,13.0,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Germany,5.6,5.8,5.9,6.0,6.1,6.1,6.0,5.9,5.7,5.5,5.3,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Euro area – 20 countries (from 2023),14.2,14.1,14.1,14.1,14.4,14.5,14.6,14.7,14.4,14.5,14.6,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Estonia,17.7,16.0,18.6,21.2,24.5,24.0,22.5,19.5,19.4,16.6,16.7,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Greece,23.3,24.8,24.1,27.0,31.8,22.4,24.6,18.9,12.8,24.2,29.4,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Spain,27.4,26.8,26.4,26.1,26.6,27.0,27.9,27.9,28.1,28.1,27.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,European Union - 27 countries (from 2020),14.5,14.2,14.4,14.3,14.5,14.7,14.9,14.9,15.0,14.8,14.9,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Finland,17.7,15.4,21.1,17.4,18.2,17.2,16.6,18.0,17.6,16.1,18.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,France,16.9,17.1,17.3,17.6,18.3,19.1,19.6,19.9,20.0,20.1,19.5,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Croatia,18.6,18.6,18.6,17.8,17.8,17.8,17.2,17.2,17.2,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Hungary,14.1,14.7,14.2,13.7,13.8,14.4,15.2,15.5,16.6,16.4,16.5,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Ireland,11.5,10.0,9.8,9.6,9.4,9.4,10.4,9.8,10.6,11.0,11.1,11.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Iceland,8.1,8.2,8.3,8.6,8.8,9.0,9.2,9.3,9.4,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Italy,24.8,24.8,24.8,22.7,22.7,22.7,20.6,20.6,20.6,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Lithuania,10.4,10.2,10.3,12.7,14.0,14.3,19.7,21.6,22.1,17.1,18.8,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Luxembourg,20.5,20.5,20.1,19.6,19.5,19.2,19.0,19.2,19.1,20.0,19.5,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Latvia,13.7,14.8,16.8,20.5,21.4,18.0,10.2,7.2,6.0,7.3,7.7,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Malta,7.7,6.8,6.1,4.7,5.6,6.6,8.5,10.5,12.1,10.8,11.4,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Netherlands,7.8,8.3,8.2,8.3,8.1,8.6,8.6,9.0,9.1,9.1,8.9,8.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Norway,11.6,10.5,11.0,13.0,12.0,11.3,10.7,10.5,11.5,12.0,9.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Poland,11.8,11.5,10.8,10.1,9.7,10.0,10.6,11.0,11.0,11.0,11.1,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Less than 25 years,Females,Percentage of population in the labour force,Portugal,23.6,22.9,24.7,23.1,24.8,21.1,20.0,20.0,22.1,22.8,21.3,:
