Time frequency,Housing,Unit of measure,Geopolitical entity (reporting)\Time,2001.0
Annual,Collective living quarters,Number,Austria,256.0
Annual,Collective living quarters,Number,Bulgaria,825.0
Annual,Collective living quarters,Number,Switzerland,75995.0
Annual,Collective living quarters,Number,Cyprus,275.0
Annual,Collective living quarters,Number,Germany,232600.0
Annual,Collective living quarters,Number,Estonia,11866.0
Annual,Collective living quarters,Number,Greece,0.0
Annual,Collective living quarters,Number,Ireland,0.0
Annual,Collective living quarters,Number,Liechtenstein,661.0
Annual,Collective living quarters,Number,Lithuania,25335.0
Annual,Collective living quarters,Number,Latvia,0.0
Annual,Collective living quarters,Number,Netherlands,4000.0
Annual,Collective living quarters,Number,Portugal,1646.0
Annual,Collective living quarters,Number,Romania,16054.0
Annual,Collective living quarters,Number,Slovenia,4645.0
Annual,Collective living quarters,Number,Slovakia,17217.0
Annual,Collective living quarters,Number,United Kingdom,0.0
Annual,Conventional dwellings,Number,Belgium,4083991.0
Annual,Conventional dwellings,Number,Bulgaria,2913193.0
Annual,Conventional dwellings,Number,Switzerland,3027829.0
Annual,Conventional dwellings,Number,Cyprus,222716.0
Annual,Conventional dwellings,Number,Czechia,4235692.0
Annual,Conventional dwellings,Number,Germany,35872900.0
Annual,Conventional dwellings,Number,Estonia,565441.0
Annual,Conventional dwellings,Number,Greece,3548160.0
Annual,Conventional dwellings,Number,Spain,14184026.0
Annual,Conventional dwellings,Number,Finland,2295386.0
Annual,Conventional dwellings,Number,France,23808072.0
Annual,Conventional dwellings,Number,Hungary,3857306.0
Annual,Conventional dwellings,Number,Ireland,1279617.0
Annual,Conventional dwellings,Number,Italy,21778228.0
Annual,Conventional dwellings,Number,Liechtenstein,12601.0
Annual,Conventional dwellings,Number,Lithuania,1281375.0
Annual,Conventional dwellings,Number,Latvia,795700.0
Annual,Conventional dwellings,Number,Netherlands,6709094.0
Annual,Conventional dwellings,Number,Poland,13330998.0
Annual,Conventional dwellings,Number,Portugal,3619528.0
Annual,Conventional dwellings,Number,Romania,7341988.0
Annual,Conventional dwellings,Number,Slovenia,678950.0
Annual,Conventional dwellings,Number,Slovakia,1867116.0
Annual,Conventional dwellings,Number,United Kingdom,25403351.0
Annual,Occupied conventional dwellings,Number,Austria,3307780.0
Annual,Occupied conventional dwellings,Number,Belgium,4083991.0
Annual,Occupied conventional dwellings,Number,Bulgaria,2913193.0
Annual,Occupied conventional dwellings,Number,Switzerland,3027829.0
Annual,Occupied conventional dwellings,Number,Cyprus,222716.0
Annual,Occupied conventional dwellings,Number,Czechia,4235692.0
Annual,Occupied conventional dwellings,Number,Germany,35872900.0
Annual,Occupied conventional dwellings,Number,Estonia,565441.0
Annual,Occupied conventional dwellings,Number,Greece,3548160.0
Annual,Occupied conventional dwellings,Number,Spain,14184026.0
Annual,Occupied conventional dwellings,Number,Finland,2295386.0
Annual,Occupied conventional dwellings,Number,France,23808072.0
Annual,Occupied conventional dwellings,Number,Hungary,3857306.0
Annual,Occupied conventional dwellings,Number,Ireland,1279617.0
Annual,Occupied conventional dwellings,Number,Italy,21778228.0
Annual,Occupied conventional dwellings,Number,Liechtenstein,12601.0
Annual,Occupied conventional dwellings,Number,Lithuania,1273241.0
Annual,Occupied conventional dwellings,Number,Latvia,795700.0
Annual,Occupied conventional dwellings,Number,Netherlands,6709094.0
Annual,Occupied conventional dwellings,Number,Poland,13330998.0
Annual,Occupied conventional dwellings,Number,Portugal,3619528.0
Annual,Occupied conventional dwellings,Number,Romania,7315891.0
Annual,Occupied conventional dwellings,Number,Slovenia,678950.0
Annual,Occupied conventional dwellings,Number,Slovakia,1650540.0
Annual,Occupied conventional dwellings,Number,United Kingdom,24397628.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Switzerland,0.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Cyprus,0.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Germany,0.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Estonia,0.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Greece,0.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Ireland,0.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Lithuania,5363.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Latvia,0.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Romania,26097.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,Slovakia,44307.0
Annual,Conventional dwellings reserved for seasonal or secondary use,Number,United Kingdom,178432.0
Annual,Vacant conventional dwellings,Number,Switzerland,0.0
Annual,Vacant conventional dwellings,Number,Cyprus,0.0
Annual,Vacant conventional dwellings,Number,Germany,0.0
Annual,Vacant conventional dwellings,Number,Estonia,0.0
Annual,Vacant conventional dwellings,Number,Greece,0.0
Annual,Vacant conventional dwellings,Number,Ireland,0.0
Annual,Vacant conventional dwellings,Number,Lithuania,2771.0
Annual,Vacant conventional dwellings,Number,Latvia,0.0
Annual,Vacant conventional dwellings,Number,Romania,0.0
Annual,Vacant conventional dwellings,Number,Slovakia,172269.0
Annual,Vacant conventional dwellings,Number,United Kingdom,827291.0
Annual,Non conventional housing (excl. homelessness),Number,Austria,31595.0
Annual,Non conventional housing (excl. homelessness),Number,Belgium,6819.0
Annual,Non conventional housing (excl. homelessness),Number,Bulgaria,8236.0
Annual,Non conventional housing (excl. homelessness),Number,Switzerland,11575.0
