Time frequency,National accounts indicator (ESA 2010),Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Albania,73.1,60.2,69.9,85.5,88.5,90.4 p,90.8 p,107.2 p,116.8 p,106.7 p,108.7 p,122.3 p
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Austria,2250.8,2212.4,2581.9,2524.2,2683.9,2601.2,2837.7,2774.4,2922.4,2765.0,3037.1,2861.8
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Bosnia and Herzegovina,132.5,140.1,149.5,158.5,164.4,175.1,169.7,174.6,177.9,181.4,184.5,187.9
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Belgium,2320.2,2111.0,2299.6,2345.0,2476.0,2339.5 p,2406.7 p,2448.1 p,2600.0 p,2493.6 p,2532.8 p,2581.5 p
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Bulgaria,434.7,171.5,186.3,278.1,576.0,216.0,240.6,327.8,626.2,221.3 p,247.3 p,378.4 p
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Switzerland,4349.2,4393.9,5018.6,5430.2,5416.4,4245.5,4386.5,4474.9,4544.2,5045.6,5369.0,5979.8
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Cyprus,227.5,223.7,212.5,248.4,255.2,242.7,227.4,258.8,261.7,249.3,231.9,276.5
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Czechia,1224.2,1198.1,1284.1,1473.2,1417.0,1359.8,1474.0,1545.8,1520.9,1345.5,1448.1,1557.8
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Germany,24810.0 p,30537.0 p,27738.0 p,31374.0 p,29772.0 p,33057.0 p,30235.0 p,33871.0 p,31735.0 p,34683.0 p,31559.0 p,35054.0 p
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Denmark,2678.8,2047.0,2551.3,2555.3,2552.4,2290.6,2769.4,2739.6,2748.2,2541.8,2999.0,2887.1
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",86151.2,89274.4,91757.3,97198.0,97781.8,100046.3,99920.5,104533.4,104229.5,104825.5,103821.7,108788.6
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Euro area - 19 countries  (2015-2022),86151.2,89274.4,91757.3,97198.0,97781.8,99624.6,99422.8,103982.4,103711.7,104321.0,103320.9,108209.8
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Euro area – 20 countries (from 2023),86556.5,89684.9,92250.4,97748.2,98263.8,100046.3,99920.5,104533.4,104229.5,104825.5,103821.7,108788.6
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Estonia,202.5,202.9,236.4,225.0,232.7,240.8,247.3,255.5,260.1,250.7,258.3,252.2
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Greece,1439.4,1386.4 p,1458.2 p,1787.7 p,1436.5 p,1494.6 p,1548.2 p,1907.0 p,1568.9 p,1575.4 p,1574.3 p,1962.8 p
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Spain,12630.0,11661.0 p,12848.0 p,13134.0 p,14527.0 p,13524.0 p,14206.0 p,14585.0 p,15794.0 p,14381.0 p,15278.0 p,15273.0 p
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),European Union - 27 countries (from 2020),100200.8,99299.8,106555.3,109887.7,112974.2,110703.0,116162.3,117972.9,120968.0,116745.7,121904.2,123743.1
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Finland,1640.0,1542.0,1677.0,1738.0,1726.0,1729.0,1902.0,1803.0,1754.0,1741.0,1837.0,1880.0
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),France,16317.2,15829.5,16774.0,17231.2,17604.7,17077.7,17861.1,18372.3,18361.3,17729.6,18275.2,19084.3
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Croatia,405.3,410.5,493.2,550.2,482.0,421.7 p,497.7 p,550.9 p,517.8 p,504.5 p,500.8 p,578.8 p
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Hungary,1068.4,901.9,923.8,953.5,1135.8,974.6 p,1068.1 p,1163.7 p,1383.6 p,1178.0 p,1225.9 p,1320.9 p
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Ireland,1347.0,1287.5,1445.9,1496.7,1685.3,1481.8,1512.8,1503.1,1662.5,1591.7,1420.1,1529.6
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Italy,15002.8,14939.9,15714.2,15811.0,16248.3,16575.5,16711.5,16321.4,16629.4,16643.7,16607.9,16465.9
Quarterly,"Value added, gross","Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",Million euro (NSA),Lithuania,272.9,282.2,298.2,341.4,329.3,332.1,347.9,388.0,364.1,359.1,376.9,422.3
