Time frequency,Income and living conditions indicator,Sex,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Albania,:,:,:,1.02,0.96,1.0,0.98,0.96,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Austria,0.92,0.94,0.93,0.93,0.92,0.95,0.93,0.92,0.92,0.85
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Belgium,0.75,0.78,0.76,0.77,0.76,0.76 b,0.74,0.76,0.71,0.74
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Bulgaria,0.77,0.65,0.73 b,0.64,0.7,0.63,0.61,0.63,0.61,0.7
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Switzerland,0.78 b,0.8,0.78,0.8,0.81,0.75,0.76,0.75,0.75,0.75
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Cyprus,0.71,0.76,0.77,0.77,0.77,0.74,0.76,0.76,0.76,0.75
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Czechia,0.82,0.8,0.78,0.76,0.73,0.72,0.72,0.77,0.71,0.74
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Germany,0.87,0.85,0.84,0.84,0.83,0.83,0.81 b,0.83,0.83,0.83
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Denmark,0.76,0.77,0.75,0.76,0.77,0.76,0.77 b,0.76,0.75,0.77
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",0.93 e,0.92 e,0.92 e,0.92 e,0.91 e,0.91,0.90 b,0.91,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Euro area - 18 countries (2014),0.93,0.93,0.92,0.92,0.91,0.91,0.91 b,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Euro area - 19 countries  (2015-2022),0.93,0.92,0.92,0.92,0.91,0.91,0.90 b,0.91,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Euro area – 20 countries (from 2023),0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.91,0.89,0.89
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Estonia,0.58 b,0.57,0.56,0.56,0.54,0.55,0.57,0.57,0.51,0.53
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Greece,0.98,1.01,1.03,1.01,0.98,0.96,0.97,0.96,0.93,0.91
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Spain,1.0,0.97,0.98,0.95,0.93,0.95,0.99,1.0,0.98,0.99
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",0.91 e,0.91 e,0.90 e,0.89 e,0.89 e,0.88 e,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,European Union - 27 countries (2007-2013),0.91,0.91,0.9,0.89,0.89,0.88 e,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,European Union - 27 countries (from 2020),0.92 e,0.91 e,0.91 e,0.90 e,0.89 e,0.88 e,0.87 b,0.89,0.88,0.87
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,European Union - 28 countries (2013-2020),0.91,0.91,0.9,0.89,0.89,0.88 e,:,:,:,:
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Finland,0.75,0.77,0.79,0.79,0.77,0.77,0.76,0.76,0.74,0.76
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,France,1.0,1.01,1.0,1.0,1.01,0.98,0.97 b,0.94,0.92 b,0.93
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Croatia,0.85,0.83,0.8,0.79,0.76,0.73,0.71,0.7,0.69,0.66 b
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Hungary,1.03,0.98,0.98,0.96,0.92,0.87,0.85,0.86,0.93,0.77
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Ireland,0.87,0.86,0.81,0.82,0.81,0.89 b,0.87 b,0.85,0.8,0.89
Annual,Persons aged 65 years and over compared to persons aged less than 65 years,Females,Iceland,0.86,0.87,0.89,0.88,0.91,0.94,:,:,:,:
