Time frequency,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Females,Percentage,Netherlands,1.07,1.36,1.41,1.49,1.29 e,1.53 e,1.36 e,1.6
Annual,Females,Percentage,Norway,7.15,6.62,6.54,5.96,5.97,5.78,4.75,5.26
Annual,Females,Percentage,Poland,3.71 d,3.99 d,4.15 d,4.01 e,4.03 e,4.04 e,3.76,3.46
Annual,Females,Percentage,Portugal,0.65,1.79,1.23,0.44,0.0,0.0,0.0,0.00 p
Annual,Females,Percentage,Romania,19.53,22.44,22.05,21.54,22.09,21.63,22.03,24.32
Annual,Females,Percentage,Serbia,5.5,6.83,7.23,7.86,8.63,9.81,8.5,9.56
Annual,Females,Percentage,Sweden,2.56,2.61,2.1,2.73,3.15,2.91,2.26,2.51
Annual,Females,Percentage,Slovenia,1.85 d,3.68 d,4.01 d,3.18,3.16,3.24,3.43,3.03
Annual,Females,Percentage,Slovakia,9.32,9.81,9.91,9.94,10.04,9.99,9.66,8.74
Annual,Females,Percentage,Türkiye,: d,: d,: d,10.63,11.03,9.46,8.07,6.42
Annual,Males,Percentage,Albania,:,:,:,:,:,:,27.78,23.15
Annual,Males,Percentage,Austria,7.29,9.9,9.22,8.49,7.9,7.66,7.32,8.0
Annual,Males,Percentage,Belgium,2.45,2.52,1.02,0.96,1.35,1.07 bd,0.96,1.57
Annual,Males,Percentage,Bulgaria,10.07,11.24,12.42,14.97,15.23,15.36,15.43,14.77
Annual,Males,Percentage,Switzerland,9.11,9.53,10.23,10.27,10.32,9.94,9.81,9.83
Annual,Males,Percentage,Cyprus,5.89,5.85,5.17,5.62,6.11,6.85,4.35,0.8
Annual,Males,Percentage,Czechia,: d,: d,: d,5.31,5.68,5.81,4.52,: d
Annual,Males,Percentage,Germany,8.40 d,11.52 d,9.59 d,10.23 d,9.78,10.28 bd,9.88,10.27
Annual,Males,Percentage,Denmark,9.73,10.38,10.33,9.74,9.34,8.49,7.42,7.54
Annual,Males,Percentage,Estonia,7.65 d,7.75 d,7.63 d,7.34 d,7.50 d,7.66 d,7.47 d,6.93
Annual,Males,Percentage,Greece,4.68,5.19,6.71,7.19,3.45,9.29,7.25,2.47
Annual,Males,Percentage,Spain,6.57,6.6,6.74,6.72,6.76,6.91,6.5,6.73
Annual,Males,Percentage,European Union - 27 countries (from 2020),7.15 d,8.02 d,7.37 d,7.41 d,7.07 d,7.11 d,6.90 d,6.99 d
Annual,Males,Percentage,Finland,4.14,3.72,4.59,3.76,2.62,2.65,5.29,4.65
Annual,Males,Percentage,France,6.25,6.0,5.56,5.35 p,4.51 p,3.20 p,4.09 p,4.58 p
Annual,Males,Percentage,Croatia,1.41,0.45,0.0,0.12,0.35,1.05,0.3,0.32
Annual,Males,Percentage,Hungary,10.46,11.28,11.62,12.02,12.5,12.47,13.86,11.54
Annual,Males,Percentage,Ireland,0.00 d,0.00 d,0.11 d,1.76 d,0.0,2.26,0.0,0.0
Annual,Males,Percentage,Iceland,16.78,18.23,17.18,17.55,19.49,19.38,15.31,17.56
Annual,Males,Percentage,Italy,7.69,8.17,6.43,6.44 d,5.97,6.09,5.24,5.29
Annual,Males,Percentage,Liechtenstein,0.0,0.0,2.16,9.77,2.08,0.0,1.34,0.67
Annual,Males,Percentage,Lithuania,4.15,4.44,3.92,3.8,3.55,2.72,1.36,2.36
Annual,Males,Percentage,Luxembourg,18.35,17.76,17.92,18.51,17.03,15.9,16.72,15.64
Annual,Males,Percentage,Latvia,5.41,4.66,4.96,4.95,5.73,6.26,6.77,6.77
Annual,Males,Percentage,Montenegro,:,: d,:,:,:,:,:,:
Annual,Males,Percentage,North Macedonia,: d,: d,: d,98.46 d,94.24,: d,: d,: d
Annual,Males,Percentage,Malta,15.47,13.88,14.04,12.59,12.11,12.0,10.76,10.87 p
Annual,Males,Percentage,Netherlands,1.2,1.38,1.42,1.71,1.66 e,1.82 e,1.78 e,1.97
Annual,Males,Percentage,Norway,8.03,7.98,8.23,8.36,7.37,6.61,5.92,6.02
Annual,Males,Percentage,Poland,4.68 d,4.76 d,4.94 d,5.00 e,4.97 e,5.02 e,4.71,4.38
Annual,Males,Percentage,Portugal,0.65,1.73,1.41,0.89,0.0,0.0,0.0,0.00 p
Annual,Males,Percentage,Romania,20.3,23.67,24.42,23.46,24.16,24.26,23.96,25.7
Annual,Males,Percentage,Serbia,5.97,7.01,7.13,7.84,9.08,9.53,9.49,10.47
Annual,Males,Percentage,Sweden,1.86,0.24,0.0,0.0,1.56,2.99,2.75,2.75
Annual,Males,Percentage,Slovenia,2.84 d,4.49 d,4.82 d,3.61,4.12,3.89,4.2,3.83
Annual,Males,Percentage,Slovakia,9.58,10.0,10.2,10.11,10.4,10.12,10.06,9.13
Annual,Males,Percentage,Türkiye,: d,: d,: d,11.25,9.69,8.7,7.78,5.66
Annual,Total,Percentage,Albania,:,:,:,:,:,:,25.75,21.89 d
Annual,Total,Percentage,Austria,6.74,8.19,7.86,7.49,7.04,6.93,6.49,7.17
Annual,Total,Percentage,Belgium,2.2,2.2,0.98,0.96,1.28,1.02 bd,1.01,1.54
Annual,Total,Percentage,Bulgaria,11.79,12.95,14.31,17.12,17.19,17.18,17.5,16.54
Annual,Total,Percentage,Switzerland,10.16,10.67,10.87,10.94,11.02,10.6,10.09,10.38
Annual,Total,Percentage,Cyprus,5.48,6.11,5.37,6.54,7.42,7.47,4.49,1.24
Annual,Total,Percentage,Czechia,: d,: d,: d,5.14,5.42,5.46,4.27,: d
Annual,Total,Percentage,Germany,8.99 d,11.37 d,10.19 d,11.23 d,10.64,11.00 bd,10.56,10.84
Annual,Total,Percentage,Denmark,9.15,9.66,9.81,9.24,8.78,8.01,6.99,7.22
Annual,Total,Percentage,Estonia,6.68 d,6.89 d,6.80 d,6.95 d,7.06 d,7.03 d,6.66 d,6.37
Annual,Total,Percentage,Greece,5.42,5.9,7.05,7.07,2.93,8.03,6.57,2.55
Annual,Total,Percentage,Spain,5.96,5.86,5.86,5.79,5.76,5.81,5.42,5.86
Annual,Total,Percentage,European Union - 27 countries (from 2020),6.97 d,7.65 d,7.16 d,7.26 d,6.87 d,6.85 d,6.64 d,6.76 d
Annual,Total,Percentage,Finland,4.31,4.02,4.52,4.13,3.36,2.92,4.6,4.34
Annual,Total,Percentage,France,5.58,5.42,4.79,4.75 p,4.08 p,3.11 p,3.70 p,3.98 p
Annual,Total,Percentage,Croatia,0.85,0.12,0.0,0.0,0.0,0.08,0.0,0.0
Annual,Total,Percentage,Hungary,10.2,10.95,11.24,11.71,11.92,11.93,13.36,11.08
Annual,Total,Percentage,Ireland,0.00 d,0.00 d,0.00 d,1.36 d,0.0,1.48,0.0,0.0
Annual,Total,Percentage,Iceland,15.1,16.3,15.66,16.11,18.68,18.63,14.73,16.73
Annual,Total,Percentage,Italy,7.44,7.63,6.54,6.38 d,5.64,5.68,4.99,5.12
Annual,Total,Percentage,Liechtenstein,10.63,10.17,12.72,15.71,8.8,8.86,9.65,10.78
Annual,Total,Percentage,Lithuania,3.51,3.8,3.16,2.98,2.79,1.71,0.18,1.45
Annual,Total,Percentage,Luxembourg,16.27,15.73,15.56,16.08,15.12,13.97,14.66,13.87
Annual,Total,Percentage,Latvia,4.99,4.07,4.32,4.3,4.78,5.43,5.54,5.73
Annual,Total,Percentage,Montenegro,:,: d,:,:,:,:,:,:
Annual,Total,Percentage,North Macedonia,: d,: d,: d,98.71 d,93.58,: d,: d,: d
Annual,Total,Percentage,Malta,12.16,12.5,12.9,11.22,10.49,10.33,9.21,9.83 p
Annual,Total,Percentage,Netherlands,1.14,1.37,1.41,1.6,1.48 e,1.68 e,1.57 e,1.79
Annual,Total,Percentage,Norway,7.61,7.26,7.42,7.2,6.69,6.21,5.35,5.65
Annual,Total,Percentage,Poland,4.21 d,4.38 d,4.55 d,4.52 e,4.51 e,4.54 e,4.25,3.93 p
Annual,Total,Percentage,Portugal,0.65,1.76,1.32,0.67,0.0,0.0,0.0,0.00 p
Annual,Total,Percentage,Romania,19.92,23.07,23.27,22.53,23.16,22.99,23.02,25.03
Annual,Total,Percentage,Serbia,5.74,6.92,7.18,7.85,8.86,9.67,9.01,10.03
Annual,Total,Percentage,Sweden,2.2,1.38,0.0,0.0,2.32,2.95,2.52,2.63
Annual,Total,Percentage,Slovenia,2.36 d,4.10 d,4.43 d,3.4,3.66,3.57,3.83,3.44
Annual,Total,Percentage,Slovakia,9.46,9.91,10.06,10.03,10.22,10.06,9.86,8.94
Annual,Total,Percentage,Türkiye,: d,: d,: d,10.95,10.34,9.07,7.92,6.03
