Time frequency,Other gainful activity of the holder,Eurofarm indicators,Unit of measure,Other gainful activity of the spouse,Age class,Geopolitical entity (reporting)\Time,2005.0,2007.0,2010.0,2013.0
Annual,Total,hold: Total number of holdings,Thousand,Total,Total,Sweden,75.81,72.61,71.09,67.15
Annual,Total,hold: Total number of holdings,Thousand,Total,Total,Slovenia,77.17,75.34,74.65,72.38
Annual,Total,hold: Total number of holdings,Thousand,Total,Total,Slovakia,68.49,68.99,24.46,23.57
Annual,Total,hold: Total number of holdings,Thousand,Total,Total,United Kingdom,286.75,226.66,185.2,183.04
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Austria,50.28,46.25,38.89,32.8
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Belgium,11.36,9.58,6.97,4.89
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Bulgaria,54.65,45.51,43.19,32.11
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Switzerland,:,:,13.41,:
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Cyprus,6.69,4.97,3.82,2.48
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Czechia,6.78,6.31,4.15,3.32
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Germany,117.64,103.46,73.05,55.45
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Denmark,12.02,9.4,7.38,5.25
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Estonia,4.56,3.25,2.84,2.4
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Greece,126.51,128.46,110.57,100.13
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Spain,150.98,132.0,121.4,92.12
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Finland,17.03,15.27,12.4,10.07
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,France,106.06,91.39,78.72,62.93
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Croatia,:,18.73,25.16,15.51
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Hungary,104.08,89.96,81.97,71.06
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Ireland,25.04,22.68,24.56,22.84
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Iceland,:,:,0.31,:
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Italy,182.34,170.68,197.04,105.97
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Lithuania,47.52,38.03,31.32,23.39
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Luxembourg,0.56,0.48,0.41,0.33
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Latvia,24.53,19.4,14.15,11.84
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Montenegro,:,:,5.99,:
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Malta,1.48,1.08,1.45,1.19
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Netherlands,19.39,16.88,13.41,9.86
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Norway,13.46,12.23,11.16,9.08
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Poland,549.21,512.06,369.6,340.27
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Portugal,27.22,20.39,22.96,16.17
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Romania,498.89,455.04,595.57,490.79
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Sweden,12.44,11.5,9.45,7.58
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Slovenia,11.04,9.77,9.67,8.79
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,Slovakia,8.98,7.81,3.17,3.02
Annual,Total,hold: Total number of holdings,Thousand,Total,From 35 to 44 years,United Kingdom,37.74,27.41,20.27,17.51
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Austria,50.94,53.06,51.87,49.41
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Belgium,12.48,12.56,12.35,10.75
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Bulgaria,94.56,84.78,66.45,44.75
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Switzerland,:,:,18.55,:
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Cyprus,12.58,10.63,9.68,7.6
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Czechia,10.97,9.63,5.05,5.4
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Germany,124.12,123.83,107.45,104.34
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Denmark,13.68,12.19,12.24,11.02
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Estonia,5.87,4.87,4.19,3.84
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Greece,171.32,179.4,157.1,161.87
Annual,Total,hold: Total number of holdings,Thousand,Total,From 45 to 54 years,Spain,209.34,206.3,198.96,190.29
