Time frequency,Rail network segment (2020),Train category,Unit of measure\Time,2020.0
Annual,Haydarpaşa - Gebze,Goods trains,Number,1.0
Annual,Haydarpaşa - Gebze,Other trains,Number,0.0
Annual,Haydarpaşa - Gebze,Passenger trains,Number,45475.0
Annual,Gebze - Arifiye,Goods trains,Number,1125.0
Annual,Gebze - Arifiye,Other trains,Number,6.0
Annual,Gebze - Arifiye,Passenger trains,Number,2759.0
Annual,Arifiye - Adapazarı,Goods trains,Number,0.0
Annual,Arifiye - Adapazarı,Other trains,Number,0.0
Annual,Arifiye - Adapazarı,Passenger trains,Number,2324.0
Annual,Arifiye - Eskişehir,Goods trains,Number,1587.0
Annual,Arifiye - Eskişehir,Other trains,Number,340.0
Annual,Arifiye - Eskişehir,Passenger trains,Number,2411.0
Annual,Eskişehir - Polatlı,Goods trains,Number,1801.0
Annual,Eskişehir - Polatlı,Other trains,Number,266.0
Annual,Eskişehir - Polatlı,Passenger trains,Number,3355.0
Annual,Eskişehir - Alayunt,Goods trains,Number,1833.0
Annual,Eskişehir - Alayunt,Other trains,Number,0.0
Annual,Eskişehir - Alayunt,Passenger trains,Number,435.0
Annual,Kütahya - Seyitömer,Goods trains,Number,10.0
Annual,Kütahya - Seyitömer,Other trains,Number,0.0
Annual,Kütahya - Seyitömer,Passenger trains,Number,0.0
Annual,Tavşanlı - Tunçbilek,Goods trains,Number,179.0
Annual,Tavşanlı - Tunçbilek,Other trains,Number,173.0
Annual,Tavşanlı - Tunçbilek,Passenger trains,Number,0.0
Annual,Alayunt - Balıkesir,Goods trains,Number,1055.0
Annual,Alayunt - Balıkesir,Other trains,Number,0.0
Annual,Alayunt - Balıkesir,Passenger trains,Number,609.0
Annual,Alayunt - Afyon,Goods trains,Number,1868.0
Annual,Alayunt - Afyon,Other trains,Number,0.0
Annual,Alayunt - Afyon,Passenger trains,Number,261.0
Annual,Halkalı - Pehlivanköy,Goods trains,Number,707.0
Annual,Halkalı - Pehlivanköy,Other trains,Number,5.0
Annual,Halkalı - Pehlivanköy,Passenger trains,Number,244.0
Annual,Pehlivanköy - Hudut (Yunanistan),Goods trains,Number,1228.0
Annual,Pehlivanköy - Hudut (Bulgaristan),Other trains,Number,2.0
Annual,Pehlivanköy - Hudut (Bulgaristan),Passenger trains,Number,70.0
Annual,Ankara - Marşandiz,Goods trains,Number,1647.0
Annual,Ankara - Marşandiz,Other trains,Number,23.0
Annual,Ankara - Marşandiz,Passenger trains,Number,18282.0
Annual,Marşandiz - Sincan,Goods trains,Number,2116.0
Annual,Marşandiz - Sincan,Other trains,Number,30.0
Annual,Marşandiz - Sincan,Passenger trains,Number,18282.0
Annual,Ankara - Kayaş,Goods trains,Number,1679.0
Annual,Ankara - Kayaş,Other trains,Number,0.0
Annual,Ankara - Kayaş,Passenger trains,Number,18282.0
Annual,Sincan - Polatlı,Goods trains,Number,1790.0
Annual,Sincan - Polatlı,Other trains,Number,12.0
Annual,Sincan - Polatlı,Passenger trains,Number,3614.0
Annual,Kayaş - Irmak,Goods trains,Number,2445.0
Annual,Kayaş - Irmak,Other trains,Number,66.0
Annual,Kayaş - Irmak,Passenger trains,Number,322.0
Annual,Irmak - Karabük,Goods trains,Number,938.0
Annual,Irmak - Karabük,Other trains,Number,12.0
Annual,Irmak - Karabük,Passenger trains,Number,0.0
Annual,Karabük - Zonguldak,Goods trains,Number,1370.0
Annual,Karabük - Zonguldak,Other trains,Number,1.0
Annual,Karabük - Zonguldak,Passenger trains,Number,783.0
Annual,Irmak - Boğazköprü,Goods trains,Number,3294.0
Annual,Irmak - Boğazköprü,Other trains,Number,8.0
Annual,Irmak - Boğazköprü,Passenger trains,Number,322.0
Annual,Boğazköprü - Ulukışla,Goods trains,Number,3228.0
Annual,Boğazköprü - Ulukışla,Other trains,Number,2.0
Annual,Boğazköprü - Ulukışla,Passenger trains,Number,83.0
Annual,Boğazköprü - Kayseri,Goods trains,Number,3592.0
Annual,Boğazköprü - Kayseri,Other trains,Number,1.0
Annual,Boğazköprü - Kayseri,Passenger trains,Number,322.0
Annual,Basmane - Halkapınar,Goods trains,Number,190.0
Annual,Basmane - Halkapınar,Other trains,Number,0.0
Annual,Basmane - Halkapınar,Passenger trains,Number,0.0
Annual,Menemen - Aliağa,Goods trains,Number,319.0
Annual,Menemen - Aliağa,Other trains,Number,12.0
Annual,Menemen - Aliağa,Passenger trains,Number,0.0
Annual,Halkapınar - Çiğli,Goods trains,Number,600.0
Annual,Halkapınar - Çiğli,Other trains,Number,4.0
Annual,Halkapınar - Çiğli,Passenger trains,Number,870.0
Annual,Alsancak - Şirinyer,Goods trains,Number,423.0
Annual,Alsancak - Şirinyer,Other trains,Number,0.0
Annual,Alsancak - Şirinyer,Passenger trains,Number,2492.0
Annual,Şirinyer - A.Menderes,Goods trains,Number,651.0
Annual,Şirinyer - A.Menderes,Other trains,Number,10.0
Annual,Şirinyer - A.Menderes,Passenger trains,Number,2492.0
Annual,Alsancak - Halkapınar,Goods trains,Number,2.0
Annual,Alsancak - Halkapınar,Other trains,Number,2.0
Annual,Alsancak - Halkapınar,Passenger trains,Number,870.0
Annual,Basmane - Şirinyer,Goods trains,Number,0.0
Annual,Basmane - Şirinyer,Other trains,Number,0.0
Annual,Basmane - Şirinyer,Passenger trains,Number,1622.0
Annual,Adnan Menderes - Kaklık,Goods trains,Number,462.0
Annual,Adnan Menderes - Kaklık,Other trains,Number,2.0
Annual,Adnan Menderes - Kaklık,Passenger trains,Number,1709.0
Annual,D.Pınar - Alaşehir,Goods trains,Number,328.0
Annual,D.Pınar - Alaşehir,Other trains,Number,11.0
Annual,D.Pınar - Alaşehir,Passenger trains,Number,261.0
Annual,Alaşehir - Manisa,Goods trains,Number,362.0
Annual,Alaşehir - Manisa,Other trains,Number,14.0
Annual,Alaşehir - Manisa,Passenger trains,Number,609.0
Annual,Manisa - Soma,Goods trains,Number,246.0
Annual,Manisa - Soma,Other trains,Number,0.0
Annual,Manisa - Soma,Passenger trains,Number,435.0
Annual,Soma - Balıkesir,Goods trains,Number,289.0
Annual,Soma - Balıkesir,Other trains,Number,0.0
Annual,Soma - Balıkesir,Passenger trains,Number,435.0
Annual,Balıkesir - Bandırma,Goods trains,Number,715.0
Annual,Balıkesir - Bandırma,Other trains,Number,9.0
Annual,Balıkesir - Bandırma,Passenger trains,Number,435.0
Annual,Çiğli - Manisa,Goods trains,Number,556.0
Annual,Çiğli - Manisa,Other trains,Number,5.0
Annual,Çiğli - Manisa,Passenger trains,Number,870.0
Annual,Kaklık - Karakuyu,Goods trains,Number,196.0
Annual,Kaklık - Karakuyu,Other trains,Number,0.0
Annual,Kaklık - Karakuyu,Passenger trains,Number,174.0
Annual,Karakuyu - Afyon,Goods trains,Number,483.0
Annual,Karakuyu - Afyon,Other trains,Number,0.0
Annual,Karakuyu - Afyon,Passenger trains,Number,87.0
Annual,Karakuyu - Eğirdir,Goods trains,Number,139.0
Annual,Karakuyu - Eğirdir,Other trains,Number,2.0
Annual,Karakuyu - Eğirdir,Passenger trains,Number,87.0
Annual,Gümüşgün - Burdur,Goods trains,Number,195.0
Annual,Gümüşgün - Burdur,Other trains,Number,0.0
Annual,Gümüşgün - Burdur,Passenger trains,Number,0.0
Annual,Goncalı - Denizli,Goods trains,Number,353.0
Annual,Goncalı - Denizli,Other trains,Number,0.0
Annual,Goncalı - Denizli,Passenger trains,Number,945.0
Annual,Ortaklar - Söke,Goods trains,Number,17.0
Annual,Ortaklar - Söke,Other trains,Number,7.0
Annual,Ortaklar - Söke,Passenger trains,Number,367.0
Annual,Torbalı - Ödemiş,Goods trains,Number,1.0
Annual,Torbalı - Ödemiş,Other trains,Number,0.0
Annual,Torbalı - Ödemiş,Passenger trains,Number,894.0
Annual,Sivas - Kalın,Goods trains,Number,1195.0
Annual,Sivas - Kalın,Other trains,Number,0.0
Annual,Sivas - Kalın,Passenger trains,Number,252.0
Annual,Kalın - Hanlı,Goods trains,Number,415.0
Annual,Kalın - Hanlı,Other trains,Number,0.0
Annual,Kalın - Hanlı,Passenger trains,Number,252.0
Annual,Sivas - Bostankaya,Goods trains,Number,2355.0
Annual,Sivas - Bostankaya,Other trains,Number,0.0
Annual,Sivas - Bostankaya,Passenger trains,Number,426.0
Annual,Kalın - Samsun,Goods trains,Number,867.0
Annual,Kalın - Samsun,Other trains,Number,0.0
Annual,Kalın - Samsun,Passenger trains,Number,0.0
Annual,Divriği - Erzurum,Goods trains,Number,552.0
Annual,Divriği - Erzurum,Other trains,Number,0.0
Annual,Divriği - Erzurum,Passenger trains,Number,165.0
Annual,Erzurum - Kars,Goods trains,Number,168.0
Annual,Erzurum - Kars,Other trains,Number,0.0
Annual,Erzurum - Kars,Passenger trains,Number,165.0
Annual,Kars - Doğukapı,Goods trains,Number,7.0
Annual,Kars - Doğukapı,Other trains,Number,0.0
Annual,Kars - Doğukapı,Passenger trains,Number,159.0
Annual,Samsun - Gelemen,Goods trains,Number,575.0
Annual,Samsun - Gelemen,Other trains,Number,0.0
Annual,Samsun - Gelemen,Passenger trains,Number,0.0
Annual,Çetinkaya - Divriği,Goods trains,Number,4099.0
Annual,Çetinkaya - Divriği,Other trains,Number,0.0
Annual,Çetinkaya - Divriği,Passenger trains,Number,339.0
Annual,Malatya - Hekimhan,Goods trains,Number,5340.0
Annual,Malatya - Hekimhan,Other trains,Number,59.0
Annual,Malatya - Hekimhan,Passenger trains,Number,87.0
Annual,Hekimhan - Çetinkaya,Goods trains,Number,4020.0
Annual,Hekimhan - Çetinkaya,Other trains,Number,89.0
Annual,Hekimhan - Çetinkaya,Passenger trains,Number,87.0
Annual,Malatya - Yolçatı,Goods trains,Number,2693.0
Annual,Malatya - Yolçatı,Other trains,Number,37.0
Annual,Malatya - Yolçatı,Passenger trains,Number,112.0
Annual,Yolçatı - Maden,Goods trains,Number,984.0
Annual,Yolçatı - Maden,Other trains,Number,2.0
Annual,Yolçatı - Maden,Passenger trains,Number,63.0
Annual,Maden - Batman,Goods trains,Number,763.0
Annual,Maden - Batman,Other trains,Number,75.0
Annual,Maden - Batman,Passenger trains,Number,237.0
Annual,Batman - Kurtalan,Goods trains,Number,105.0
Annual,Batman - Kurtalan,Other trains,Number,0.0
Annual,Batman - Kurtalan,Passenger trains,Number,63.0
Annual,Yolçatı - Elazığ,Goods trains,Number,1850.0
Annual,Yolçatı - Elazığ,Other trains,Number,7.0
Annual,Yolçatı - Elazığ,Passenger trains,Number,25.0
Annual,Elazığ - Tatvan,Goods trains,Number,705.0
Annual,Elazığ - Tatvan,Other trains,Number,45.0
Annual,Elazığ - Tatvan,Passenger trains,Number,62.0
Annual,Malatya - Narlı,Goods trains,Number,4629.0
Annual,Malatya - Narlı,Other trains,Number,33.0
Annual,Malatya - Narlı,Passenger trains,Number,87.0
Annual,Van - Hudut,Goods trains,Number,532.0
Annual,Van - Hudut,Other trains,Number,83.0
Annual,Van - Hudut,Passenger trains,Number,0.0
Annual,Afyon - Horozluhan,Goods trains,Number,1594.0
Annual,Afyon - Horozluhan,Other trains,Number,0.0
Annual,Afyon - Horozluhan,Passenger trains,Number,87.0
Annual,Horozluhan - Ulukışla,Goods trains,Number,1572.0
Annual,Horozluhan - Ulukışla,Other trains,Number,10.0
Annual,Horozluhan - Ulukışla,Passenger trains,Number,83.0
Annual,Ulukışla - Yenice,Goods trains,Number,4037.0
Annual,Ulukışla - Yenice,Other trains,Number,57.0
Annual,Ulukışla - Yenice,Passenger trains,Number,83.0
Annual,Yenice - Mersin,Goods trains,Number,2553.0
Annual,Yenice - Mersin,Other trains,Number,25.0
Annual,Yenice - Mersin,Passenger trains,Number,2027.0
Annual,Yenice - Adana,Goods trains,Number,2717.0
Annual,Yenice - Adana,Other trains,Number,590.0
Annual,Yenice - Adana,Passenger trains,Number,2458.0
Annual,Adana - Toprakkale,Goods trains,Number,2357.0
Annual,Adana - Toprakkale,Other trains,Number,35.0
Annual,Adana - Toprakkale,Passenger trains,Number,261.0
Annual,Toprakkale - İskenderun,Goods trains,Number,5393.0
Annual,Toprakkale - İskenderun,Other trains,Number,66.0
Annual,Toprakkale - İskenderun,Passenger trains,Number,261.0
Annual,Toprakkale - Fevzipaşa,Goods trains,Number,5340.0
Annual,Toprakkale - Fevzipaşa,Other trains,Number,14.0
Annual,Toprakkale - Fevzipaşa,Passenger trains,Number,174.0
Annual,Fevzipaşa - Narlı,Goods trains,Number,5328.0
Annual,Fevzipaşa - Narlı,Other trains,Number,24.0
Annual,Fevzipaşa - Narlı,Passenger trains,Number,87.0
Annual,Köprüağzı - K.Maraş,Goods trains,Number,76.0
Annual,Köprüağzı - K.Maraş,Other trains,Number,11.0
Annual,Köprüağzı - K.Maraş,Passenger trains,Number,0.0
Annual,Fevzipaşa - Tahtaköprü,Goods trains,Number,11.0
Annual,Fevzipaşa - Tahtaköprü,Other trains,Number,1.0
Annual,Fevzipaşa - Tahtaköprü,Passenger trains,Number,87.0
Annual,Narlı - Gaziantep,Goods trains,Number,827.0
Annual,Narlı - Gaziantep,Other trains,Number,12.0
Annual,Narlı - Gaziantep,Passenger trains,Number,0.0
Annual,Gaziantep - Karkamış,Goods trains,Number,15.0
Annual,Gaziantep - Karkamış,Other trains,Number,1.0
Annual,Gaziantep - Karkamış,Passenger trains,Number,0.0
Annual,Karkamış - Hudut,Goods trains,Number,0.0
Annual,Karkamış - Hudut,Other trains,Number,1.0
Annual,Karkamış - Hudut,Passenger trains,Number,0.0
Annual,Afyon - D.Pınar,Goods trains,Number,332.0
Annual,Afyon - D.Pınar,Other trains,Number,0.0
Annual,Afyon - D.Pınar,Passenger trains,Number,87.0
Annual,Hanlı - Kayseri,Goods trains,Number,1988.0
Annual,Hanlı - Kayseri,Other trains,Number,0.0
Annual,Hanlı - Kayseri,Passenger trains,Number,0.0
Annual,Bostankaya - Çetinkaya,Goods trains,Number,2699.0
Annual,Bostankaya - Çetinkaya,Other trains,Number,0.0
Annual,Bostankaya - Çetinkaya,Passenger trains,Number,426.0
Annual,Hanlı - Bostankaya,Goods trains,Number,1142.0
Annual,Hanlı - Bostankaya,Other trains,Number,0.0
Annual,Hanlı - Bostankaya,Passenger trains,Number,0.0
Annual,Çatal - Tire,Goods trains,Number,0.0
Annual,Çatal - Tire,Other trains,Number,0.0
Annual,Çatal - Tire,Passenger trains,Number,90.0
Annual,Tekirdağ - Muratlı,Goods trains,Number,342.0
Annual,Tekirdağ - Muratlı,Other trains,Number,6.0
Annual,Tekirdağ - Muratlı,Passenger trains,Number,0.0
Annual,Polatlı - Konya,Other trains,Number,470.0
Annual,Polatlı - Konya,Passenger trains,Number,1636.0
Annual,Marmaray (Gebze - Halkalı),Other trains,Number,0.0
Annual,Marmaray (Gebze - Halkalı),Passenger trains,Number,45475.0
Annual,Eskişehir - Polatlı,Other trains,Number,342.0
Annual,Eskişehir - Polatlı,Passenger trains,Number,3094.0
Annual,Sincan - Polatlı,Other trains,Number,394.0
Annual,Sincan - Polatlı,Passenger trains,Number,2921.0
Annual,Eskişehir - Pendik,Goods trains,Number,10.0
Annual,Eskişehir - Pendik,Other trains,Number,28.0
Annual,Eskişehir - Pendik,Passenger trains,Number,2846.0
Annual,İZBAN Aliağa-Selçuk,Passenger trains,Number,40149.0
Annual,Gebze - Haydarpaşa,Goods trains,Number,0.0
Annual,Gebze - Haydarpaşa,Other trains,Number,0.0
Annual,Gebze - Haydarpaşa,Passenger trains,Number,45475.0
Annual,Arifiye - Gebze,Goods trains,Number,1125.0
Annual,Arifiye - Gebze,Other trains,Number,6.0
Annual,Arifiye - Gebze,Passenger trains,Number,2759.0
Annual,Adapazarı - Arifiye,Goods trains,Number,0.0
Annual,Adapazarı - Arifiye,Other trains,Number,0.0
Annual,Adapazarı - Arifiye,Passenger trains,Number,2324.0
Annual,Eskişehir - Arifiye,Goods trains,Number,1587.0
Annual,Eskişehir - Arifiye,Other trains,Number,339.0
Annual,Eskişehir - Arifiye,Passenger trains,Number,2411.0
Annual,Polatlı - Eskişehir,Goods trains,Number,1800.0
Annual,Polatlı - Eskişehir,Other trains,Number,266.0
Annual,Polatlı - Eskişehir,Passenger trains,Number,3354.0
Annual,Alayunt - Eskişehir,Goods trains,Number,1832.0
Annual,Alayunt - Eskişehir,Other trains,Number,0.0
Annual,Alayunt - Eskişehir,Passenger trains,Number,435.0
Annual,Seyitömer - Kütahya,Goods trains,Number,10.0
Annual,Seyitömer - Kütahya,Other trains,Number,0.0
Annual,Seyitömer - Kütahya,Passenger trains,Number,0.0
Annual,Tunçbilek - Tavşanlı,Goods trains,Number,179.0
Annual,Tunçbilek - Tavşanlı,Other trains,Number,172.0
Annual,Tunçbilek - Tavşanlı,Passenger trains,Number,0.0
Annual,Balıkesir - Alayunt,Goods trains,Number,1054.0
