Time frequency,Occurence,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Adulthood,Percentage,Austria,27.5
Annual,Adulthood,Percentage,Belgium,19.1
Annual,Adulthood,Percentage,Bulgaria,5.9
Annual,Adulthood,Percentage,Cyprus,14.6
Annual,Adulthood,Percentage,Czechia,9.7
Annual,Adulthood,Percentage,Germany,14.1
Annual,Adulthood,Percentage,Denmark,38.2
Annual,Adulthood,Percentage,Estonia,20.6
Annual,Adulthood,Percentage,Greece,24.8
Annual,Adulthood,Percentage,Spain,20.0
Annual,Adulthood,Percentage,European Union (aggregate changing according to the context),20.2 e
Annual,Adulthood,Percentage,Finland,46.5
Annual,Adulthood,Percentage,France,26.1
Annual,Adulthood,Percentage,Croatia,18.7
Annual,Adulthood,Percentage,Hungary,19.2
Annual,Adulthood,Percentage,Ireland,27.6
Annual,Adulthood,Percentage,Italy,24.8 d
Annual,Adulthood,Percentage,Lithuania,13.6
Annual,Adulthood,Percentage,Luxembourg,33.7
Annual,Adulthood,Percentage,Latvia,13.9
Annual,Adulthood,Percentage,Montenegro,6.2
Annual,Adulthood,Percentage,Malta,15.1
Annual,Adulthood,Percentage,Netherlands,35.5
Annual,Adulthood,Percentage,Poland,8.2
Annual,Adulthood,Percentage,Portugal,13.1
Annual,Adulthood,Percentage,Romania,14.1
Annual,Adulthood,Percentage,Serbia,10.1
Annual,Adulthood,Percentage,Sweden,42.0
Annual,Adulthood,Percentage,Slovenia,16.0
Annual,Adulthood,Percentage,Slovakia,16.9
Annual,Adulthood,Percentage,Kosovo*,6.1
Annual,Last 12 months,Percentage,Austria,1.2
Annual,Last 12 months,Percentage,Belgium,0.7
Annual,Last 12 months,Percentage,Bulgaria,2.1
Annual,Last 12 months,Percentage,Cyprus,: u
Annual,Last 12 months,Percentage,Czechia,: u
Annual,Last 12 months,Percentage,Germany,: u
Annual,Last 12 months,Percentage,Denmark,2.5
Annual,Last 12 months,Percentage,Estonia,0.8 u
Annual,Last 12 months,Percentage,Greece,1.5
Annual,Last 12 months,Percentage,Spain,1.1
Annual,Last 12 months,Percentage,European Union (aggregate changing according to the context),1.5 e
Annual,Last 12 months,Percentage,Finland,2.1
Annual,Last 12 months,Percentage,France,1.4
Annual,Last 12 months,Percentage,Croatia,3.4
Annual,Last 12 months,Percentage,Hungary,: u
Annual,Last 12 months,Percentage,Ireland,2.8 u
Annual,Last 12 months,Percentage,Italy,2.6 d
Annual,Last 12 months,Percentage,Lithuania,: u
Annual,Last 12 months,Percentage,Luxembourg,2.7
Annual,Last 12 months,Percentage,Latvia,0.7 u
Annual,Last 12 months,Percentage,Montenegro,: u
Annual,Last 12 months,Percentage,Malta,0.9 u
Annual,Last 12 months,Percentage,Netherlands,2.9
Annual,Last 12 months,Percentage,Poland,: u
Annual,Last 12 months,Percentage,Portugal,1.1
Annual,Last 12 months,Percentage,Romania,: u
Annual,Last 12 months,Percentage,Serbia,0.8 u
Annual,Last 12 months,Percentage,Sweden,3.3
Annual,Last 12 months,Percentage,Slovenia,: u
Annual,Last 12 months,Percentage,Slovakia,: u
Annual,Last 12 months,Percentage,Kosovo*,: u
Annual,Last 5 years,Percentage,Austria,5.9
Annual,Last 5 years,Percentage,Belgium,4.4
Annual,Last 5 years,Percentage,Bulgaria,3.4
Annual,Last 5 years,Percentage,Cyprus,3.4 u
Annual,Last 5 years,Percentage,Czechia,2.2 u
Annual,Last 5 years,Percentage,Germany,3.0
Annual,Last 5 years,Percentage,Denmark,9.2
Annual,Last 5 years,Percentage,Estonia,3.9
Annual,Last 5 years,Percentage,Greece,5.2
Annual,Last 5 years,Percentage,Spain,4.1
Annual,Last 5 years,Percentage,European Union (aggregate changing according to the context),5.0 e
Annual,Last 5 years,Percentage,Finland,8.2
Annual,Last 5 years,Percentage,France,5.2
Annual,Last 5 years,Percentage,Croatia,5.3
Annual,Last 5 years,Percentage,Hungary,3.9
Annual,Last 5 years,Percentage,Ireland,9.2
Annual,Last 5 years,Percentage,Italy,7.53 d
Annual,Last 5 years,Percentage,Lithuania,1.9
Annual,Last 5 years,Percentage,Luxembourg,8.1
Annual,Last 5 years,Percentage,Latvia,1.8
Annual,Last 5 years,Percentage,Montenegro,: u
Annual,Last 5 years,Percentage,Malta,3.8
Annual,Last 5 years,Percentage,Netherlands,9.3
Annual,Last 5 years,Percentage,Poland,: u
Annual,Last 5 years,Percentage,Portugal,2.6
Annual,Last 5 years,Percentage,Romania,3.3
Annual,Last 5 years,Percentage,Serbia,2.7
Annual,Last 5 years,Percentage,Sweden,10.1
Annual,Last 5 years,Percentage,Slovenia,3.5
Annual,Last 5 years,Percentage,Slovakia,: u
Annual,Last 5 years,Percentage,Kosovo*,: u
