Time frequency,Unit of measure,Live animals,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand heads (animals),Live bovine animals,Armenia,592.1,620.2,629.1,584.8,570.6,571.4,599.2,661.0,678.0,688.6,701.5,655.8,590.6,571.9,579.3,613.4,559.6,501.9
Annual,Thousand heads (animals),Live bovine animals,Azerbaijan,2369.8,2421.9,2486.8,2543.4,2582.4,2613.7,2647.9,2678.2,2703.3,2697.5,2708.3,2698.5,2673.0,2658.8,2646.6,2650.7,2648.8,2618.1
Annual,Thousand heads (animals),Live bovine animals,Belarus,3980.2 d,3988.7 d,4006.7 d,4130.5 d,4151.0 d,4151.3 d,4246.9 d,4367.0 d,4322.3 d,4363.7 d,4356.5 d,4298.3 d,4361.4 d,4340.4 d,4294.7 d,4292.4 d,:,:
Annual,Thousand heads (animals),Live bovine animals,Georgia,1190.6,1080.3 bd,1048.5,1045.5,1014.7,1049.4,1087.6,1128.8,1229.7,970.0 bd,992.1,962.7,909.7,878.9,869.5,925.8,928.6,853.7
Annual,Thousand heads (animals),Live bovine animals,Moldova,311.0 d,299.0 d,232.0 d,218.0 d,221.6 d,216.0 d,203.9 d,191.2 d,189.0 d,191.0 d,186.1 d,182.3 d,167.4 d,144.8 d,123.7 d,108.9 d,104.1 d,102.4 d
Annual,Thousand heads (animals),Live bovine animals,Ukraine,6514.1,6175.4,5490.9,5079.0,4826.7,4494.4,4425.8,4645.9,4534.0,3884.0 d,3750.0 d,3682.3 d,3530.8 d,3332.9 d,3092.0 d,2874.0 d,2644.0 d,2307.1 d
Annual,Thousand heads (animals),Dairy cows,Armenia,297.1,307.1,310.6,283.0,273.9,272.6,283.3,303.3,310.0,313.9,318.6,296.0,266.8,254.0,251.7,265.8,246.1,222.1
Annual,Thousand heads (animals),Dairy cows,Azerbaijan,1144.7,1170.5,1203.2,1228.4,1249.2,1261.4,1272.0,1289.2,1301.6,1299.2,1303.0,1299.0,1285.8,1279.1,1278.2,1280.5,1288.0,1288.8
Annual,Thousand heads (animals),Dairy cows,Belarus,1565.0 d,1505.6 d,1459.0 d,1452.2 d,1444.6 d,1478.1 d,1477.4 d,1519.3 d,1524.4 d,1533.5 d,1511.6 d,1501.5 d,1500.2 d,1497.5 d,1494.8 d,1485.2 d,:,:
Annual,Thousand heads (animals),Dairy cows,Georgia,709.9 d,591.2 bd,541.0 d,560.6 d,537.6 d,561.7 d,587.7 d,602.4 d,641.1 d,563.0 bd,545.0 d,509.3 d,477.4 d,458.0 d,441.8 d,450.8 d,451.7 d,431.4 d
