Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,Thousand tonnes,Municipal waste,Algeria,8500.0,:,:,:,9600.0 e,:,:,:,:,11000.0,11325.0,12000.0,13000.0,13100.0
Annual,Thousand tonnes,Municipal waste,Egypt,19200.0,16500.0,20000.0,20400.0,20800.0,21632.0,:,:,36444.1 i,:,35166.0,:,:,:
Annual,Thousand tonnes,Municipal waste,Israel,4085.9 d,4226.5 d,4304.0 d,4433.9 d,4550.8 d,4623.2 d,4745.9 d,4837.5 d,4861.9 d,4955.3 d,5081.7 d,5261.4 d,5438.9 d,5658.2 d
Annual,Thousand tonnes,Municipal waste,Jordan,2358.9,2309.5,2207.0,2111.0,1922.0,2069.0,2025.0,:,2566.0,2785.0,3458.0,:,3408.0,:
Annual,Thousand tonnes,Municipal waste,Lebanon,:,:,:,:,:,1570.0,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Municipal waste,Morocco,:,:,:,:,:,5000.0 i,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Municipal waste,Palestine*,996.0 e,1038.0 e,:,1044.0 e,847.0 e,:,785.0 e,:,737.0 e,:,931.0 e,:,:,:
Annual,Thousand tonnes,Municipal waste,Tunisia,2044.7 e,2064.9 e,2084.7 e,2105.7 e,:,:,:,2423.0,:,:,:,:,:,:
Annual,Thousand tonnes,Total - all NACE activities,Algeria,:,:,10300.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Total - all NACE activities,Egypt,54800.0,58300.0,62000.0,66000.0,70000.0,72800.0,42471.1 bd,28702.5 d,53062.0 di,:,:,:,:,:
Annual,Thousand tonnes,Total - all NACE activities,Morocco,:,:,:,:,:,7946.0,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Total - all NACE activities,Palestine*,1233.0 e,1271.0 e,1309.0 e,1346.0 e,1385.0 e,1425.0 e,1468.0 e,1512.0 e,1558.0 e,1604.0 e,1651.0 e,1699.0 e,:,:
