Time frequency,Statistical information,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2020.0
Annual,Median equivalised income,Above 60%,Percentage,Albania,65.0
Annual,Median equivalised income,Above 60%,Percentage,Austria,28.9
Annual,Median equivalised income,Above 60%,Percentage,Belgium,23.4
Annual,Median equivalised income,Above 60%,Percentage,Bulgaria,27.0
Annual,Median equivalised income,Above 60%,Percentage,Switzerland,28.1
Annual,Median equivalised income,Above 60%,Percentage,Cyprus,19.1
Annual,Median equivalised income,Above 60%,Percentage,Czechia,20.3
Annual,Median equivalised income,Above 60%,Percentage,Germany,: u
Annual,Median equivalised income,Above 60%,Percentage,Denmark,37.9
Annual,Median equivalised income,Above 60%,Percentage,Estonia,5.4
Annual,Median equivalised income,Above 60%,Percentage,Greece,16.3
Annual,Median equivalised income,Above 60%,Percentage,Spain,30.8
Annual,Median equivalised income,Above 60%,Percentage,European Union - 27 countries (from 2020),26.5 u
Annual,Median equivalised income,Above 60%,Percentage,Finland,56.5
Annual,Median equivalised income,Above 60%,Percentage,France,18.6
Annual,Median equivalised income,Above 60%,Percentage,Croatia,25.7
Annual,Median equivalised income,Above 60%,Percentage,Hungary,41.5
Annual,Median equivalised income,Above 60%,Percentage,Ireland,21.5
Annual,Median equivalised income,Above 60%,Percentage,Lithuania,23.6 u
Annual,Median equivalised income,Above 60%,Percentage,Luxembourg,18.7
Annual,Median equivalised income,Above 60%,Percentage,Latvia,14.4
Annual,Median equivalised income,Above 60%,Percentage,Montenegro,22.2
Annual,Median equivalised income,Above 60%,Percentage,North Macedonia,30.3
Annual,Median equivalised income,Above 60%,Percentage,Malta,23.0
Annual,Median equivalised income,Above 60%,Percentage,Netherlands,24.1
Annual,Median equivalised income,Above 60%,Percentage,Norway,14.5
Annual,Median equivalised income,Above 60%,Percentage,Poland,45.8
Annual,Median equivalised income,Above 60%,Percentage,Portugal,18.8
Annual,Median equivalised income,Above 60%,Percentage,Romania,19.1
Annual,Median equivalised income,Above 60%,Percentage,Serbia,31.7
Annual,Median equivalised income,Above 60%,Percentage,Sweden,16.8
Annual,Median equivalised income,Above 60%,Percentage,Slovenia,14.4
Annual,Median equivalised income,Above 60%,Percentage,Slovakia,23.8
Annual,Median equivalised income,Below 60%,Percentage,Albania,20.8
Annual,Median equivalised income,Below 60%,Percentage,Austria,34.0
Annual,Median equivalised income,Below 60%,Percentage,Belgium,22.5
Annual,Median equivalised income,Below 60%,Percentage,Bulgaria,22.2
Annual,Median equivalised income,Below 60%,Percentage,Switzerland,39.9
Annual,Median equivalised income,Below 60%,Percentage,Cyprus,26.7
Annual,Median equivalised income,Below 60%,Percentage,Czechia,24.6
Annual,Median equivalised income,Below 60%,Percentage,Germany,: u
Annual,Median equivalised income,Below 60%,Percentage,Denmark,46.6
Annual,Median equivalised income,Below 60%,Percentage,Estonia,6.6
Annual,Median equivalised income,Below 60%,Percentage,Greece,16.6
Annual,Median equivalised income,Below 60%,Percentage,Spain,31.1
Annual,Median equivalised income,Below 60%,Percentage,European Union - 27 countries (from 2020),33.7 u
Annual,Median equivalised income,Below 60%,Percentage,Finland,68.6
Annual,Median equivalised income,Below 60%,Percentage,France,34.5
Annual,Median equivalised income,Below 60%,Percentage,Croatia,25.0
Annual,Median equivalised income,Below 60%,Percentage,Hungary,49.6
Annual,Median equivalised income,Below 60%,Percentage,Ireland,27.5
Annual,Median equivalised income,Below 60%,Percentage,Lithuania,17.3 u
Annual,Median equivalised income,Below 60%,Percentage,Luxembourg,17.5
Annual,Median equivalised income,Below 60%,Percentage,Latvia,15.3
Annual,Median equivalised income,Below 60%,Percentage,Montenegro,12.5
Annual,Median equivalised income,Below 60%,Percentage,North Macedonia,12.6
Annual,Median equivalised income,Below 60%,Percentage,Malta,49.2
Annual,Median equivalised income,Below 60%,Percentage,Netherlands,29.1
Annual,Median equivalised income,Below 60%,Percentage,Norway,16.7
Annual,Median equivalised income,Below 60%,Percentage,Poland,57.6
Annual,Median equivalised income,Below 60%,Percentage,Portugal,20.6
Annual,Median equivalised income,Below 60%,Percentage,Romania,7.6
Annual,Median equivalised income,Below 60%,Percentage,Serbia,29.0
Annual,Median equivalised income,Below 60%,Percentage,Sweden,31.0
Annual,Median equivalised income,Below 60%,Percentage,Slovenia,20.7
Annual,Median equivalised income,Below 60%,Percentage,Slovakia,27.5
Annual,Median equivalised income,Total,Percentage,Albania,51.1
Annual,Median equivalised income,Total,Percentage,Austria,29.5
Annual,Median equivalised income,Total,Percentage,Belgium,23.3
Annual,Median equivalised income,Total,Percentage,Bulgaria,26.1
Annual,Median equivalised income,Total,Percentage,Switzerland,29.4
Annual,Median equivalised income,Total,Percentage,Cyprus,19.7
Annual,Median equivalised income,Total,Percentage,Czechia,20.5
Annual,Median equivalised income,Total,Percentage,Germany,: u
Annual,Median equivalised income,Total,Percentage,Denmark,38.9
Annual,Median equivalised income,Total,Percentage,Estonia,5.5
Annual,Median equivalised income,Total,Percentage,Greece,16.3
Annual,Median equivalised income,Total,Percentage,Spain,30.9
Annual,Median equivalised income,Total,Percentage,European Union - 27 countries (from 2020),27.3 u
Annual,Median equivalised income,Total,Percentage,Finland,57.6
Annual,Median equivalised income,Total,Percentage,France,20.0
Annual,Median equivalised income,Total,Percentage,Croatia,25.7
Annual,Median equivalised income,Total,Percentage,Hungary,42.1
Annual,Median equivalised income,Total,Percentage,Ireland,22.1
Annual,Median equivalised income,Total,Percentage,Lithuania,22.7 u
