Time frequency,Unit of measure,Main expenditure type,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Purchasing power standard (PPS) per inhabitant,Total,Albania,:,:,:,:,:,:,:,1093.58 p,1134.66 p,1239.64 p,1294.72 p,1422.29
Annual,Purchasing power standard (PPS) per inhabitant,Total,Austria,9475.23,9781.2,10058.58,10192.97,10400.86,10567.86,10567.06,10805.45,11067.7,12229.99,12830.75,12957.18
Annual,Purchasing power standard (PPS) per inhabitant,Total,Bosnia and Herzegovina,:,:,1463.68,1518.23,1639.14,1851.48,1852.19,1911.73,7103.18,7747.19,7810.71,2323.44
Annual,Purchasing power standard (PPS) per inhabitant,Total,Belgium,8894.8,8959.11,9255.01,9506.34,9747.83,9615.33,9676.04,9871.16,10199.66,11228.69,11354.23 p,11709.3
Annual,Purchasing power standard (PPS) per inhabitant,Total,Bulgaria,1999.26,2048.94,2235.78,2465.68,2512.02,2628.86,2675.24,2830.4,2952.53,3239.4,3742.95,4360.39
Annual,Purchasing power standard (PPS) per inhabitant,Total,Switzerland,9684.78,10036.62,10649.73,10944.96,11418.45,11486.76,11466.72,11569.03,11880.66,12995.64,13309.34,13816.48 p
Annual,Purchasing power standard (PPS) per inhabitant,Total,Cyprus,4784.6,4737.52,4895.95,4300.2,4474.38,4701.34,4703.49,4712.88,5176.4,6484.13,6585.4,6750.08
Annual,Purchasing power standard (PPS) per inhabitant,Total,Czechia,4445.59,4548.88,4638.49,4819.61,4875.59,4985.47,5193.74,5390.42,5735.61,6393.76,6989.39,6845.29
Annual,Purchasing power standard (PPS) per inhabitant,Total,Germany,9259.99,9434.07,9657.74,9941.85,10181.2,10578.55,10952.41,11338.68,11677.51,12446.54,12727.21,12911.58 p
Annual,Purchasing power standard (PPS) per inhabitant,Total,Denmark,10442.25,10592.06,11085.53,11213.29,11281.43,10987.76,11427.6,11650.67,11756.11,12504.19,12811.58,12355.59 p
Annual,Purchasing power standard (PPS) per inhabitant,Total,Euro area - 19 countries  (2015-2022),8044.25,8168.15,8337.27,8452.1,8612.39,8770.02,8974.54 p,9192.3 p,9512.97 p,10296.79 p,10551.66 p,10761.97 p
Annual,Purchasing power standard (PPS) per inhabitant,Total,Euro area – 20 countries (from 2023),7989.04,8113.51,8282.09,8397.27,8557.83,8716.67,8921.47 p,9139.49 p,9459.49 p,10239.43 p,10498.83 p,10711.91 p
Annual,Purchasing power standard (PPS) per inhabitant,Total,Estonia,2860.95,2914.58,2962.77,3120.44,3450.61,3666.46,3749.87,4028.8,4216.32,4818.52,4745.36,4570.07
Annual,Purchasing power standard (PPS) per inhabitant,Total,Greece,5270.63,5132.81,4835.77,4861.47,4971.1,5032.11,5003.26 p,5066.53 p,5126.52 p,5346.26 p,5500.31 p,5675.56 p
Annual,Purchasing power standard (PPS) per inhabitant,Total,Spain,5775.09,5719.66,5804.28,5872.27,5988.03,5937.83,6117.03,6264.88,6609.52 p,7171.03 p,7419.32,7625.29
Annual,Purchasing power standard (PPS) per inhabitant,Total,European Union - 27 countries (from 2020),7273.13,7416.72,7573.62,7692.4,7860.3 b,8030.49,8228.95 p,8443.97 p,8773.1 p,9538.49 p,9827.79 p,10049.76 p
Annual,Purchasing power standard (PPS) per inhabitant,Total,Finland,8508.73,8829.85,9119.76,9375.33,9635.27,9802.07,9929.9,10047.54,10166.15,10693.19,10897.41,11254.34
Annual,Purchasing power standard (PPS) per inhabitant,Total,France,9341.17,9620.25,10006.38,10121.35,10233.14,10413.03,10555.94,10691.42,11023.72,11970.5,12173.65 p,12378.19 p
Annual,Purchasing power standard (PPS) per inhabitant,Total,Croatia,3167.16,3280.61,3308.81,3438.42,3583.69,3798.14,3955.33,4133.55,4328.16,4535.47,4999.02,5322.62
Annual,Purchasing power standard (PPS) per inhabitant,Total,Hungary,3821.98,3763.06,3822.12,3810.96,3832.37 b,3806.58,3795.18,3928.71,3920.05,4237.93,4486.72,4658.74
Annual,Purchasing power standard (PPS) per inhabitant,Total,Ireland,7348.04,7367.18,7022.29,6849.55,6945.42,6904.56,6972.39,6998.56,7092.89,7950.09,8026.17,7938.12
Annual,Purchasing power standard (PPS) per inhabitant,Total,Iceland,7075.93,7082.15,7058.26,7347.56,7479.15,7606.77,8197.66,8450.7,8941.72,10298.99,10694.36,10691.89
Annual,Purchasing power standard (PPS) per inhabitant,Total,Italy,7532.64,7539.38,7489.55,7427.03,7582.57,7747.01,7906.07,8101.58,8535.58 p,9358.5 p,9598.62 p,9962.23 p
Annual,Purchasing power standard (PPS) per inhabitant,Total,Lithuania,2954.71,3044.17,3059.73,3227.6,3388.74,3440.84,3664.17,4054.64,4498.75,5265.93 p,5517.99 p,5313.99
Annual,Purchasing power standard (PPS) per inhabitant,Total,Luxembourg,12879.45,13262.54,13880.25,13905.5,13983.33,13841.77,14354.56,14967.39,14880.99,16032.61,16134.57,17063.85
Annual,Purchasing power standard (PPS) per inhabitant,Total,Latvia,2233.5,2276.56,2436.31,2489.16,2691.99,2781.52,2914.9,3190.23,3379.4 p,3746.67 p,4477.04 p,4486.29
Annual,Purchasing power standard (PPS) per inhabitant,Total,Montenegro,:,:,:,:,:,2342.61,2371.25,2396.24,2541.36,2864.75,2890.86 p,3235.62 p
Annual,Purchasing power standard (PPS) per inhabitant,Total,North Macedonia,:,:,:,:,1437.09,1518.12,1596.18,:,:,:,:,:
