Time frequency,Unit of measure,Smoking behaviour,Income quantile,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Austria,9.3,8.2
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Belgium,6.6 u,4.9 u
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Bulgaria,12.7,12.9
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Cyprus,12.1,9.7
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Czechia,6.0,5.4
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Germany,5.0,7.8
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Denmark,3.9,3.1
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Estonia,7.5,5.4
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Greece,15.1,10.8
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Spain,6.8,4.9
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,European Union - 27 countries (from 2020),6.1,5.9
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,European Union - 28 countries (2013-2020),5.8,:
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Finland,0.0,2.8
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,France,4.6,4.1
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Croatia,11.8,11.6
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Hungary,6.2,6.5
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Ireland,4.0,4.1
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Iceland,2.5,2.0
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Italy,5.6,4.7
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Lithuania,6.8,5.2
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Luxembourg,5.0,3.0
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Latvia,7.6,7.2
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Malta,8.1,6.6
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Netherlands,4.1,2.9
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Norway,2.1,1.8
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Poland,10.0,8.6
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Portugal,6.0,4.0
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Romania,4.9,5.4
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Serbia,:,15.8 u
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Sweden,1.2,1.0
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Slovenia,6.7,5.9
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Slovakia,5.0,5.3
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,Türkiye,14.8,14.8
Annual,Percentage,20 or more cigarettes per day,Total,Total,Total,United Kingdom,3.6,:
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Austria,14.6,12.1
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Belgium,10.6 u,9.7 u
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Bulgaria,14.6,15.8
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Cyprus,13.1,11.6
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Czechia,15.2,13.9
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Germany,10.0,14.1
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Denmark,8.3,8.6
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Estonia,15.2,13.5
Annual,Percentage,Less than 20 cigarettes per day,Total,Total,Total,Greece,11.9,12.8
