Time frequency,Live animals,Month,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Live sheep,December,Thousand heads (animals),Albania,:,:,1896.0,1918.00 e,1971.93 p,1925.51,1863.84,1758.33,1557.86,1480.45,1371.7,1206.21
Annual,Live sheep,December,Thousand heads (animals),Austria,364.65,357.44,349.09,353.71,378.38,401.48,406.34,402.66,393.76,402.35,400.66,391.87
Annual,Live sheep,December,Thousand heads (animals),Bosnia and Herzegovina,1004.00 e,1020.00 e,1025.00 e,1020.00 e,1016.00 e,1017.00 e,1012.00 e,1013.00 e,1014.00 e,1034.81,997.05,:
Annual,Live sheep,December,Thousand heads (animals),Belgium,119.26,0.0,:,117.32 e,:,:,:,117.32 e,:,:,110.12 e,:
Annual,Live sheep,December,Thousand heads (animals),Bulgaria,1361.55,1369.58,1335.28,1331.89,1360.09,1316.78,1350.03,1280.98,1307.77,1199.55,1096.4,1072.77
Annual,Live sheep,December,Thousand heads (animals),Switzerland,:,:,:,:,:,:,:,:,:,:,1758.33 e,:
Annual,Live sheep,December,Thousand heads (animals),Cyprus,346.84,314.4,292.98,296.86,304.19,321.49,310.99,323.24,326.33,350.55,343.40 e,:
Annual,Live sheep,December,Thousand heads (animals),Czechia,:,:,:,218.49 e,:,:,:,213.07 e,:,:,174.20 d,:
Annual,Live sheep,December,Thousand heads (animals),Germany,1641.01,1569.96,1600.78,1579.79,1574.27,1579.79,1569.9,1556.5,1483.7,1508.1,1516.9,1559.7
Annual,Live sheep,December,Thousand heads (animals),Denmark,:,:,:,144.95 e,:,:,:,138.01 e,:,:,132.51 e,:
Annual,Live sheep,December,Thousand heads (animals),Estonia,:,:,:,85.90 e,:,:,:,73.10 e,:,:,63.10 e,:
Annual,Live sheep,December,Thousand heads (animals),Greece,9213.0,9356.0,9072.0,8852.0,8739.0,8593.0,8430.0,8427.0,7721.8,7690.9,7378.4,7892.30 p
Annual,Live sheep,December,Thousand heads (animals),Spain,16339.37,16118.59,15431.83,16026.37,15962.89,15963.11,15852.53 p,15478.62,15439.22 p,15081.35 p,14452.59,13596.56
Annual,Live sheep,December,Thousand heads (animals),European Union - 27 countries (from 2020),63237.00 e,63088.00 e,62396.00 e,62951.08 e,63416.00 e,63587.00 e,63009.00 e,62470.44,61462.17 e,60450.61 e,59010.25,57513.88 e
Annual,Live sheep,December,Thousand heads (animals),Finland,:,:,:,155.20 e,:,:,:,144.88 e,:,:,132.08 d,:
Annual,Live sheep,December,Thousand heads (animals),France,7453.0,7193.0,7168.0,7057.0,7157.00 d,6877.00 d,7166.0,7105.0,6998.71 b,6994.63 p,6597.52,6576.00 p
Annual,Live sheep,December,Thousand heads (animals),Croatia,679.0,620.0,605.0,608.0,619.0,637.0,636.0,658.0,662.0,654.0,643.00 b,552.0
Annual,Live sheep,December,Thousand heads (animals),Hungary,1185.0,1214.0,1185.0,1190.0,1141.0,1146.0,1109.0,1061.0,944.0,887.0,871.7,907.1
