Time frequency,Age class,Unit of measure,Country of citizenship,Sex,Type of withdrawal,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Austria,:,:,:,:,:,:,:,:,:,0.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Belgium,:,:,:,:,:,:,:,:,:,: m
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Bulgaria,:,:,:,:,:,:,:,:,:,65.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Switzerland,:,:,:,:,:,:,:,:,:,350.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Cyprus,:,:,:,:,:,:,:,:,:,1330.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Czechia,:,:,:,:,:,:,:,:,:,85.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Germany,:,:,:,:,:,:,:,:,:,2490.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Denmark,:,:,:,:,:,:,:,:,:,145.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Estonia,:,:,:,:,:,:,:,:,:,10.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Greece,:,:,:,:,:,:,:,:,:,1105.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Spain,:,:,:,:,:,:,:,:,:,215.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,: m
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Finland,:,:,:,:,:,:,:,:,:,105.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,France,:,:,:,:,:,:,:,:,:,660.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Croatia,:,:,:,:,:,:,:,:,:,0.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Hungary,:,:,:,:,:,:,:,:,:,0.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Ireland,:,:,:,:,:,:,:,:,:,220.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Iceland,:,:,:,:,:,:,:,:,:,25.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Italy,:,:,:,:,:,:,:,:,:,0.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Liechtenstein,:,:,:,:,:,:,:,:,:,15.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Lithuania,:,:,:,:,:,:,:,:,:,155.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Luxembourg,:,:,:,:,:,:,:,:,:,55.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Latvia,:,:,:,:,:,:,:,:,:,30.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Montenegro,:,:,:,:,:,:,:,:,:,120.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Malta,:,:,:,:,:,:,:,:,:,110.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Netherlands,:,:,:,:,:,:,:,:,:,470.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Norway,:,:,:,:,:,:,:,:,:,35.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Poland,:,:,:,:,:,:,:,:,:,200.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Portugal,:,:,:,:,:,:,:,:,:,65.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Romania,:,:,:,:,:,:,:,:,:,0.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Sweden,:,:,:,:,:,:,1675.0,1405.0,955.0,675.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Slovenia,:,:,:,:,:,:,:,:,:,0.0
Annual,Total,Person,Extra-EU27 (from 2020),Total,Explicit,Slovakia,:,:,:,:,:,:,:,:,:,5.0
