Time frequency,Unit of measure,Traffic and transport measurement,Transport coverage,Type of schedule,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Passenger,Passengers carried,Total transport,Total,Austria,25965977.0,25749724.0,26378676.0,26754007.0,27181511.0,28327279.0,31138417.0,35644188.0,9168431.0,11105564.0,26381180.0,33063166.0
Annual,Passenger,Passengers carried,Total transport,Total,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,987659.0,1769813.0,:
Annual,Passenger,Passengers carried,Total transport,Total,Belgium,25919515.0,26389927.0,28776258.0,30958841.0,30115832.0,33260493.0,34506309.0,35385188.0,9465828.0,13500020.0,27873892.0,32341221.0
Annual,Passenger,Passengers carried,Total transport,Total,Bulgaria,6819103.0,7079292.0,7520697.0,7610949.0,9324217.0,11092651.0,12137714.0,11713068.0,3729017.0,5047877.0,8807502.0,10561597.0
Annual,Passenger,Passengers carried,Total transport,Total,Switzerland,43236086.0,44217568.0,46127426.0,48026375.0,50505492.0,53564943.0,56139549.0,57194328.0,16006811.0,19109708.0,42424182.0,51954419.0
Annual,Passenger,Passengers carried,Total transport,Total,Cyprus,7328300.0,7011437.0,7328546.0,7590787.0,8961817.0,10238913.0,10927101.0,11261410.0,2270577.0,5099704.0,9200931.0,11616238.0
Annual,Passenger,Passengers carried,Total transport,Total,Czechia,11742352.0,11891812.0,12079873.0,12672004.0,13672362.0,16245554.0,17838221.0,18767088.0,3821372.0,4755160.0,11532650.0,14924873.0
Annual,Passenger,Passengers carried,Total transport,Total,Germany,178591103.0,180783188.0,186445814.0,193936430.0,200687293.0,212389343.0,222422361.0,226764086.0,57795978.0,73597370.0,155302643.0,185279468.0
Annual,Passenger,Passengers carried,Total transport,Total,Denmark,26532730.0,27459623.0,29015133.0,30095505.0,32763142.0,33261214.0,34701139.0,34780127.0,8658654.0,10817817.0,26649573.0,31737374.0
Annual,Passenger,Passengers carried,Total transport,Total,Estonia,2202427.0,1958565.0,2019806.0,2160978.0,2214989.0,2635145.0,2995528.0,3258003.0,857837.0,1292941.0,2731365.0,2946375.0
Annual,Passenger,Passengers carried,Total transport,Total,Greece,32082336.0,34023934.0,39117833.0,42096402.0,45543371.0,50170728.0,54258826.0,56088527.0,17341192.0,32245559.0,57905970.0,63464819.0
Annual,Passenger,Passengers carried,Total transport,Total,Spain,159771261.0,157731973.0,165354382.0,174652503.0,193872037.0,209824089.0,220611429.0,228262372.0,57797305.0,91898241.0,200714943.0,236026566.0
Annual,Passenger,Passengers carried,Total transport,Total,European Union - 27 countries (from 2020),734860381.0,746100398.0,781202599.0,819698948.0,871695782.0,938854476.0,996295411.0,1035119832.0,276758108.0,373809763.0,815689131.0,973032747.0
Annual,Passenger,Passengers carried,Total transport,Total,Finland,16458815.0,16565391.0,17171931.0,17479246.0,18099954.0,20054947.0,22173530.0,23287929.0,5428622.0,4554497.0,13812577.0,16602938.0
Annual,Passenger,Passengers carried,Total transport,Total,France,129764462.0,132762875.0,136360671.0,140867569.0,145280602.0,154096485.0,161991179.0,168726788.0,50724011.0,66033809.0,136560938.0,160064262.0
Annual,Passenger,Passengers carried,Total transport,Total,Croatia,5422632.0,5722447.0,6140797.0,6571698.0,7475463.0,8843053.0,9731294.0,10623239.0,1943547.0,4458400.0,9415321.0,10820864.0
Annual,Passenger,Passengers carried,Total transport,Total,Hungary,8429843.0,8441319.0,9054848.0,10228352.0,11660366.0,13350029.0,15176493.0,16700750.0,3962687.0,4665369.0,12393512.0,14914925.0
Annual,Passenger,Passengers carried,Total transport,Total,Ireland,23594089.0,24603640.0,26310826.0,29545020.0,32595709.0,34271771.0,36345005.0,37947510.0,8268297.0,9097359.0,32405890.0,39039554.0
Annual,Passenger,Passengers carried,Total transport,Total,Iceland,2740691.0,3199266.0,3853614.0,4847288.0,6801814.0,8728509.0,10166386.0,7584197.0,1527633.0,2437139.0,6463479.0,8100446.0
Annual,Passenger,Passengers carried,Total transport,Total,Italy,116029388.0,115279105.0,121164587.0,127665221.0,134477781.0,144306325.0,153352444.0,160667939.0,40405355.0,59709143.0,132425719.0,162860378.0
Annual,Passenger,Passengers carried,Total transport,Total,Lithuania,3166628.0,3482358.0,3798110.0,4227389.0,4787561.0,5246101.0,6254178.0,6504685.0,1804500.0,2464603.0,5333890.0,5992018.0
Annual,Passenger,Passengers carried,Total transport,Total,Luxembourg,1893991.0,2169327.0,2433966.0,2651751.0,2984242.0,3554730.0,3988804.0,4365569.0,1426310.0,2002903.0,4057247.0,4791916.0
Annual,Passenger,Passengers carried,Total transport,Total,Latvia,4754530.0,4782257.0,4802282.0,5145856.0,5384160.0,6077854.0,7037070.0,7785726.0,1995133.0,2336134.0,5368369.0,6618744.0
Annual,Passenger,Passengers carried,Total transport,Total,Montenegro,:,:,:,:,1845464.0,2173494.0,2440486.0,2652801.0,521959.0,1309266.0,1908552.0,2493209.0
Annual,Passenger,Passengers carried,Total transport,Total,North Macedonia,:,:,:,1452373.0,1649374.0,1861282.0,2152746.0,2353327.0,709241.0,1266230.0,2134988.0,3142510.0
Annual,Passenger,Passengers carried,Total transport,Total,Malta,3650347.0,4032029.0,4290032.0,4619557.0,5080446.0,6007731.0,6805817.0,7318357.0,1752445.0,2547912.0,5861597.0,7813491.0
Annual,Passenger,Passengers carried,Total transport,Total,Netherlands,55680209.0,58077271.0,60963003.0,64570938.0,70317995.0,76240304.0,79644163.0,81192507.0,23594783.0,29082583.0,61289771.0,71335806.0
Annual,Passenger,Passengers carried,Total transport,Total,Norway,34592225.0,36686364.0,37603195.0,37503052.0,37727546.0,38739778.0,40030105.0,40348437.0,13216883.0,14136316.0,32562643.0,36378878.0
Annual,Passenger,Passengers carried,Total transport,Total,Poland,21800765.0,23274484.0,25714422.0,28907439.0,32266861.0,37684668.0,43767548.0,46942771.0,13825460.0,18893812.0,39347696.0,50168610.0
Annual,Passenger,Passengers carried,Total transport,Total,Portugal,28186254.0,29694146.0,32560621.0,36005814.0,40930044.0,47673057.0,51018598.0,55007894.0,16548993.0,22347692.0,51165525.0,61105311.0
