Time frequency,Reason,Country of citizenship,Duration,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Education reasons,Total,Total,Person,Austria,6298.0,5538.0,6350.0,7063.0,5770.0,4591.0,4422.0,4078.0,2718.0,4703.0,4743.0,6275.0
Annual,Education reasons,Total,Total,Person,Belgium,5813.0,5902.0,6286.0,6345.0,6303.0,6896.0,6908.0,8661.0,5675.0,9200.0,9297.0,9523.0
Annual,Education reasons,Total,Total,Person,Bulgaria,1396.0,935.0,911.0,874.0,1067.0,1267.0,1267.0,1642.0,1154.0,1326.0,1923.0,2306.0
Annual,Education reasons,Total,Total,Person,Switzerland,10239.0,11153.0,8767.0,10080.0,10222.0,10625.0,10670.0,11043.0,9470.0,11785.0,13037.0,13279.0
Annual,Education reasons,Total,Total,Person,Cyprus,1433.0,1397.0,1444.0,2226.0,3313.0,4923.0,3339.0,4372.0,2403.0,3281.0,1956.0,2810.0
Annual,Education reasons,Total,Total,Person,Czechia,6381.0,6215.0,6030.0,13658.0,17099.0,11076.0,12132.0,14446.0,7550.0,12777.0,10128.0,9764.0
Annual,Education reasons,Total,Total,Person,Germany,40479.0,45955.0,49406.0,16683.0,46083.0,48637.0,65232.0,61299.0,14605 b,67477.0,83215.0,77341.0
Annual,Education reasons,Total,Total,Person,Denmark,6535.0,7460.0,8096.0,9242.0,10446.0,10649.0,10954.0,12353.0,6184.0,5587.0,10932.0,13049.0
Annual,Education reasons,Total,Total,Person,Estonia,424.0,498.0,777.0,986.0,1114.0,1193.0,1272.0,1377.0,556.0,1120.0,579.0,449.0
Annual,Education reasons,Total,Total,Person,Greece,842.0,1074.0,835.0,871.0,902.0,850.0,813.0,961.0,687.0,681.0,893.0,676.0
Annual,Education reasons,Total,Total,Person,Spain,27114.0,26416.0,29668.0,33096.0,35636.0,39664.0,41983.0,45032.0,28550.0,51090.0,58418.0,90922 b
Annual,Education reasons,Total,Total,Person,European Union - 27 countries (from 2020),:,280743.0,299606.0,296755.0,328419.0,354414.0,397454.0,401039.0,249091.0,398165.0,470884.0,534558.0
Annual,Education reasons,Total,Total,Person,Finland,5405.0,5314.0,5528.0,5756.0,6235.0,5094.0,5090.0,5194.0,2780.0,5961.0,9314.0,12914.0
Annual,Education reasons,Total,Total,Person,France,59045.0,62988.0,65201.0,70250.0,73865.0,80566.0,83975.0,90668.0,73819.0,91100.0,105717.0,111719 p
Annual,Education reasons,Total,Total,Person,Croatia,:,185.0,418.0,387.0,526.0,591.0,495.0,332.0,225.0,244.0,328.0,377.0
Annual,Education reasons,Total,Total,Person,Hungary,4411.0,5515.0,5168.0,5876.0,7874.0,10852.0,10772.0,10188.0,8976.0,9590.0,10148.0,11575.0
Annual,Education reasons,Total,Total,Person,Ireland,16828.0,21394.0,23730.0,22075.0,21421.0,27588.0,30193 u,34735 u,14730.0,14611 u,41506 u,39847 u
Annual,Education reasons,Total,Total,Person,Iceland,286.0,293.0,373.0,384.0,423.0,467.0,525.0,378.0,377.0,535.0,585.0,694.0
Annual,Education reasons,Total,Total,Person,Italy,30631.0,27083.0,24373.0,22870.0,16847.0,17963.0,21795.0,20020.0,8428.0,17807.0,25466.0,27951.0
Annual,Education reasons,Total,Total,Person,Liechtenstein,:,26.0,35.0,43.0,50.0,45.0,43.0,46.0,34.0,28.0,22.0,26.0
Annual,Education reasons,Total,Total,Person,Lithuania,385.0,603.0,666.0,743.0,928.0,994.0,1194.0,1337.0,1353.0,1722.0,1970.0,4565.0
Annual,Education reasons,Total,Total,Person,Luxembourg,410.0,404.0,456.0,442.0,420.0,579.0,565.0,632.0,249.0,546.0,633.0,786.0
Annual,Education reasons,Total,Total,Person,Latvia,674.0,808.0,1050.0,1117.0,1314.0,1603.0,2339.0,2577.0,1211.0,1380.0,1985.0,3243.0
Annual,Education reasons,Total,Total,Person,Malta,195.0,1849.0,2924.0,2346.0,1848.0,3050.0,3397.0,4620.0,2041.0,2790.0,5260.0,7280.0
