Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Austria,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7
Annual,Rate,Belgium,1.5,1.6,1.6,1.6,1.6,1.7,1.7,1.8,1.7,1.6
Annual,Rate,Bulgaria,2.0,1.9,2.0,2.1,2.0,2.5,2.2,2.2,1.9,1.9
Annual,Rate,Switzerland,:,1.8,1.8,1.9,1.8 d,:,:,:,:,:
Annual,Rate,Cyprus,1.9,2.0,1.8,1.8,1.7,2.1,1.8,1.9,1.8,1.8
Annual,Rate,Czechia,2.5,2.3,2.3,2.3,2.1,2.1,2.6,2.5,2.1,2.2
Annual,Rate,Germany,2.3,2.2,2.1,2.1,2.1,2.0,2.0,2.0,1.9,1.9
Annual,Rate,Denmark,:,:,1.4,:,1.7,1.6,1.6,1.7,1.6,1.7
Annual,Rate,Estonia,1.3 d,1.5,1.7,2.4,2.7,2.1,2.2,1.9,1.8,1.8
Annual,Rate,Greece,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.6,:,:
Annual,Rate,Spain,1.6,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.5
Annual,Rate,Finland,2.5,2.5,2.5,2.7,2.8,2.8,2.7,2.5,2.6,2.5
Annual,Rate,France,2.3,2.3 d,2.2,2.2,2.1,2.0,2.0,1.9,1.9,1.9
Annual,Rate,Croatia,: d,: d,1.2 d,1.1 d,0.8 d,0.8,0.7,0.8 d,1.6 d,1.5 d
Annual,Rate,Hungary,1.8,1.7,2.5,1.8,2.0,2.5,2.5,1.6,1.8,2.4
Annual,Rate,Ireland,1.7,1.8,1.8,3.2,3.0,2.9,2.8,2.7,2.6,2.3
Annual,Rate,Iceland,1.1 d,1.2 d,1.1 d,: d,1.4,1.3,1.2,1.3,1.2,1.1
Annual,Rate,Italy,1.3 d,1.3,1.3,1.3,1.4,1.3,1.2,1.2,1.1,1.0
Annual,Rate,Liechtenstein,: d,: d,: d,: d,: d,:,:,:,:,:
Annual,Rate,Lithuania,1.8,1.8,2.0,1.9,1.3,1.3,1.5,1.5,1.7,1.6
Annual,Rate,Luxembourg,1.6,2.2,2.2,2.1,2.8,2.5,2.3,2.0,2.0,1.9
Annual,Rate,Latvia,1.0 d,1.0,1.0,1.1,1.0,1.4,1.5,1.3,1.7,1.6
Annual,Rate,Malta,2.4,2.4,2.4,2.4,2.4,2.1,2.1,2.5,2.4,2.3
Annual,Rate,Netherlands,2.3,2.2,2.2,2.2,2.2,2.2,2.0,2.0,1.9,:
Annual,Rate,Norway,: d,: d,1.7,1.7,1.8,1.7,1.8,1.8,1.6,1.6
Annual,Rate,Poland,1.5,:,1.6,1.7,1.6,1.5,1.6,1.8,1.4,1.6
Annual,Rate,Portugal,:,1.4,1.8 d,1.8 d,1.7,1.7,1.7,1.7,1.5,1.4
Annual,Rate,Romania,3.1,2.8,3.2,3.8,3.7,3.6,3.6,3.5,3.3,3.3
Annual,Rate,Serbia,:,: d,:,:,:,: m,:,:,:,:
Annual,Rate,Sweden,2.2,2.2,2.3,2.3,2.2,2.1,2.1,2.0,1.9,1.9
Annual,Rate,Slovenia,:,1.3,1.3,1.4,1.2,1.6,1.5,1.7,1.7,1.5
Annual,Rate,Slovakia,:,1.8,1.8,2.5,1.8,1.8,1.8,1.7,1.8,1.8
Annual,Rate,Türkiye,: d,2.4,2.1,3.1,2.4,2.5,3.0,2.5,3.2,3.3
Annual,Rate,United Kingdom,:,: m,:,: bm,: m,: m,: m,: m,:,:
