Time frequency,Activity and employment status,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2003.0
Annual,Employed persons,Females,Number,Austria,86.0
Annual,Employed persons,Females,Number,Belgium,67.0
Annual,Employed persons,Females,Number,Bulgaria,65.0
Annual,Employed persons,Females,Number,Switzerland,50.0
Annual,Employed persons,Females,Number,Cyprus,50.0
Annual,Employed persons,Females,Number,Czechia,54.0
Annual,Employed persons,Females,Number,Germany,71.0
Annual,Employed persons,Females,Number,Denmark,56.0
Annual,Employed persons,Females,Number,Estonia,53.0
Annual,Employed persons,Females,Number,Greece,82.0
Annual,Employed persons,Females,Number,Spain,108.0
Annual,Employed persons,Females,Number,European Union - 25 countries (2004-2006),68.0
Annual,Employed persons,Females,Number,Finland,50.0
Annual,Employed persons,Females,Number,France,94.0
Annual,Employed persons,Females,Number,Hungary,132.0
Annual,Employed persons,Females,Number,Ireland,39.0
Annual,Employed persons,Females,Number,Italy,56.0
Annual,Employed persons,Females,Number,Lithuania,51.0
Annual,Employed persons,Females,Number,Luxembourg,43.0
Annual,Employed persons,Females,Number,Latvia,62.0
Annual,Employed persons,Females,Number,Malta,70.0
Annual,Employed persons,Females,Number,Netherlands,75.0
Annual,Employed persons,Females,Number,Norway,32.0
Annual,Employed persons,Females,Number,Poland,40.0
Annual,Employed persons,Females,Number,Portugal,95.0
Annual,Employed persons,Females,Number,Romania,67.0
Annual,Employed persons,Females,Number,Sweden,48.0
Annual,Employed persons,Females,Number,Slovenia,43.0
Annual,Employed persons,Females,Number,Slovakia,38.0
Annual,Employed persons,Females,Number,United Kingdom,36.0
Annual,Employed persons,Males,Number,Austria,85.0
Annual,Employed persons,Males,Number,Belgium,71.0
Annual,Employed persons,Males,Number,Bulgaria,73.0
Annual,Employed persons,Males,Number,Switzerland,55.0
Annual,Employed persons,Males,Number,Cyprus,56.0
Annual,Employed persons,Males,Number,Czechia,42.0
Annual,Employed persons,Males,Number,Germany,78.0
Annual,Employed persons,Males,Number,Denmark,58.0
Annual,Employed persons,Males,Number,Estonia,61.0
Annual,Employed persons,Males,Number,Greece,78.0
Annual,Employed persons,Males,Number,Spain,96.0
Annual,Employed persons,Males,Number,European Union - 25 countries (2004-2006),64.0
Annual,Employed persons,Males,Number,Finland,45.0
Annual,Employed persons,Males,Number,France,76.0
Annual,Employed persons,Males,Number,Hungary,118.0
Annual,Employed persons,Males,Number,Ireland,36.0
Annual,Employed persons,Males,Number,Italy,60.0
Annual,Employed persons,Males,Number,Lithuania,56.0
Annual,Employed persons,Males,Number,Luxembourg,48.0
Annual,Employed persons,Males,Number,Latvia,49.0
Annual,Employed persons,Males,Number,Malta,85.0
Annual,Employed persons,Males,Number,Netherlands,76.0
Annual,Employed persons,Males,Number,Norway,39.0
Annual,Employed persons,Males,Number,Poland,40.0
Annual,Employed persons,Males,Number,Portugal,98.0
Annual,Employed persons,Males,Number,Romania,95.0
Annual,Employed persons,Males,Number,Sweden,51.0
Annual,Employed persons,Males,Number,Slovenia,46.0
Annual,Employed persons,Males,Number,Slovakia,33.0
Annual,Employed persons,Males,Number,United Kingdom,34.0
Annual,Employed persons,Total,Number,Austria,85.0
Annual,Employed persons,Total,Number,Belgium,69.0
Annual,Employed persons,Total,Number,Bulgaria,68.0
Annual,Employed persons,Total,Number,Switzerland,52.0
Annual,Employed persons,Total,Number,Cyprus,53.0
Annual,Employed persons,Total,Number,Czechia,47.0
Annual,Employed persons,Total,Number,Germany,74.0
Annual,Employed persons,Total,Number,Denmark,57.0
Annual,Employed persons,Total,Number,Estonia,56.0
Annual,Employed persons,Total,Number,Greece,80.0
Annual,Employed persons,Total,Number,Spain,102.0
Annual,Employed persons,Total,Number,European Union - 25 countries (2004-2006),66.0
Annual,Employed persons,Total,Number,Finland,48.0
Annual,Employed persons,Total,Number,France,85.0
Annual,Employed persons,Total,Number,Hungary,126.0
Annual,Employed persons,Total,Number,Ireland,37.0
Annual,Employed persons,Total,Number,Italy,58.0
Annual,Employed persons,Total,Number,Lithuania,52.0
Annual,Employed persons,Total,Number,Luxembourg,46.0
Annual,Employed persons,Total,Number,Latvia,58.0
Annual,Employed persons,Total,Number,Malta,80.0
Annual,Employed persons,Total,Number,Netherlands,76.0
Annual,Employed persons,Total,Number,Norway,36.0
Annual,Employed persons,Total,Number,Poland,40.0
Annual,Employed persons,Total,Number,Portugal,96.0
Annual,Employed persons,Total,Number,Romania,80.0
Annual,Employed persons,Total,Number,Sweden,50.0
Annual,Employed persons,Total,Number,Slovenia,44.0
Annual,Employed persons,Total,Number,Slovakia,35.0
Annual,Employed persons,Total,Number,United Kingdom,35.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Austria,79.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Belgium,138.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Switzerland,61.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Cyprus,68.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Czechia,90.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Germany,172.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Denmark,171.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Greece,110.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Spain,182.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,European Union - 25 countries (2004-2006),171.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Finland,88.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,France,383.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Hungary,305.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Ireland,48.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Italy,113.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Luxembourg,64.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Malta,47.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Netherlands,157.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Norway,221.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Poland,64.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Portugal,337.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Sweden,58.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Slovenia,61.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,Slovakia,70.0
Annual,Persons outside the labour force (former name: inactive persons),Females,Number,United Kingdom,61.0
Annual,Persons outside the labour force (former name: inactive persons),Males,Number,Austria,96.0
Annual,Persons outside the labour force (former name: inactive persons),Males,Number,Belgium,216.0
Annual,Persons outside the labour force (former name: inactive persons),Males,Number,Switzerland,93.0
Annual,Persons outside the labour force (former name: inactive persons),Males,Number,Germany,369.0
Annual,Persons outside the labour force (former name: inactive persons),Males,Number,Denmark,208.0
Annual,Persons outside the labour force (former name: inactive persons),Males,Number,Spain,286.0
Annual,Persons outside the labour force (former name: inactive persons),Males,Number,European Union - 25 countries (2004-2006),226.0
Annual,Persons outside the labour force (former name: inactive persons),Males,Number,Finland,123.0
Annual,Persons outside the labour force (former name: inactive persons),Males,Number,France,427.0
Annual,Persons outside the labour force (former name: inactive persons),Males,Number,Hungary,424.0
Annual,Persons outside the labour force (former name: inactive persons),Males,Number,Ireland,62.0
Annual,Persons outside the labour force (former name: inactive persons),Males,Number,Italy,121.0
Annual,Persons outside the labour force (former name: inactive persons),Males,Number,Sweden,97.0
Annual,Persons outside the labour force (former name: inactive persons),Males,Number,Slovenia,66.0
Annual,Persons outside the labour force (former name: inactive persons),Males,Number,United Kingdom,99.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Austria,84.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Belgium,160.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Bulgaria,99.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Switzerland,65.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Cyprus,72.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Czechia,84.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Germany,236.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Denmark,182.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Greece,113.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Spain,204.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,European Union - 25 countries (2004-2006),188.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Finland,98.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,France,396.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Hungary,334.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Ireland,50.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Italy,116.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Luxembourg,64.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Malta,62.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Netherlands,153.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Norway,225.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Poland,60.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Portugal,317.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Sweden,72.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Slovenia,63.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,Slovakia,63.0
Annual,Persons outside the labour force (former name: inactive persons),Total,Number,United Kingdom,74.0
Annual,Population,Females,Number,Austria,86.0
Annual,Population,Females,Number,Belgium,83.0
Annual,Population,Females,Number,Bulgaria,83.0
Annual,Population,Females,Number,Switzerland,54.0
Annual,Population,Females,Number,Cyprus,52.0
Annual,Population,Females,Number,Czechia,58.0
Annual,Population,Females,Number,Germany,100.0
Annual,Population,Females,Number,Denmark,73.0
Annual,Population,Females,Number,Estonia,56.0
Annual,Population,Females,Number,Greece,88.0
Annual,Population,Females,Number,Spain,141.0
Annual,Population,Females,Number,European Union - 25 countries (2004-2006),87.0
Annual,Population,Females,Number,Finland,57.0
Annual,Population,Females,Number,France,134.0
Annual,Population,Females,Number,Hungary,169.0
Annual,Population,Females,Number,Ireland,41.0
Annual,Population,Females,Number,Italy,62.0
Annual,Population,Females,Number,Lithuania,58.0
Annual,Population,Females,Number,Luxembourg,52.0
Annual,Population,Females,Number,Latvia,69.0
Annual,Population,Females,Number,Malta,62.0
Annual,Population,Females,Number,Netherlands,92.0
Annual,Population,Females,Number,Norway,44.0
Annual,Population,Females,Number,Poland,42.0
Annual,Population,Females,Number,Portugal,143.0
Annual,Population,Females,Number,Romania,71.0
Annual,Population,Females,Number,Sweden,50.0
Annual,Population,Females,Number,Slovenia,45.0
Annual,Population,Females,Number,Slovakia,44.0
Annual,Population,Females,Number,United Kingdom,41.0
Annual,Population,Males,Number,Austria,87.0
Annual,Population,Males,Number,Belgium,83.0
Annual,Population,Males,Number,Bulgaria,74.0
Annual,Population,Males,Number,Switzerland,60.0
Annual,Population,Males,Number,Cyprus,57.0
Annual,Population,Males,Number,Czechia,43.0
Annual,Population,Males,Number,Germany,110.0
Annual,Population,Males,Number,Denmark,69.0
Annual,Population,Males,Number,Estonia,65.0
Annual,Population,Males,Number,Greece,82.0
Annual,Population,Males,Number,Spain,118.0
Annual,Population,Males,Number,European Union - 25 countries (2004-2006),78.0
Annual,Population,Males,Number,Finland,56.0
Annual,Population,Males,Number,France,98.0
Annual,Population,Males,Number,Hungary,139.0
Annual,Population,Males,Number,Ireland,37.0
Annual,Population,Males,Number,Italy,65.0
Annual,Population,Males,Number,Lithuania,60.0
Annual,Population,Males,Number,Luxembourg,49.0
Annual,Population,Males,Number,Latvia,50.0
Annual,Population,Males,Number,Malta,88.0
Annual,Population,Males,Number,Netherlands,81.0
Annual,Population,Males,Number,Norway,52.0
Annual,Population,Males,Number,Poland,43.0
