Time frequency,Person/support service,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Police,Percentage,Austria,10.9
Annual,Police,Percentage,Belgium,18.4
Annual,Police,Percentage,Bulgaria,12.0 u
Annual,Police,Percentage,Cyprus,14.8
Annual,Police,Percentage,Czechia,: u
Annual,Police,Percentage,Germany,14.4 u
Annual,Police,Percentage,Denmark,12.4
Annual,Police,Percentage,Estonia,12.2
Annual,Police,Percentage,Greece,9.3
Annual,Police,Percentage,Spain,12.6
Annual,Police,Percentage,European Union (aggregate changing according to the context),13.9 e
Annual,Police,Percentage,Finland,10.7
Annual,Police,Percentage,France,18.5
Annual,Police,Percentage,Croatia,12.5
Annual,Police,Percentage,Hungary,: u
Annual,Police,Percentage,Ireland,18.0 u
Annual,Police,Percentage,Lithuania,10.8 u
Annual,Police,Percentage,Luxembourg,15.6
Annual,Police,Percentage,Latvia,13.3
Annual,Police,Percentage,Montenegro,16.9 u
Annual,Police,Percentage,Malta,22.1
Annual,Police,Percentage,Netherlands,11.5
Annual,Police,Percentage,Poland,15.0
Annual,Police,Percentage,Portugal,12.2
Annual,Police,Percentage,Romania,11.6 u
Annual,Police,Percentage,Serbia,8.9
Annual,Police,Percentage,Sweden,13.0
Annual,Police,Percentage,Slovenia,16.4 u
Annual,Police,Percentage,Slovakia,8.5
Annual,Police,Percentage,Kosovo*,: u
Annual,Legal or victim support service,Percentage,Austria,6.2
Annual,Legal or victim support service,Percentage,Belgium,13.1
Annual,Legal or victim support service,Percentage,Bulgaria,5.6 u
Annual,Legal or victim support service,Percentage,Cyprus,: u
Annual,Legal or victim support service,Percentage,Czechia,: u
Annual,Legal or victim support service,Percentage,Germany,: u
Annual,Legal or victim support service,Percentage,Denmark,10.8
Annual,Legal or victim support service,Percentage,Estonia,7.7
Annual,Legal or victim support service,Percentage,Greece,7.7
Annual,Legal or victim support service,Percentage,Spain,10.4
Annual,Legal or victim support service,Percentage,European Union (aggregate changing according to the context),7.2 e
Annual,Legal or victim support service,Percentage,Finland,4.8
Annual,Legal or victim support service,Percentage,France,7.9
Annual,Legal or victim support service,Percentage,Croatia,7.5 u
Annual,Legal or victim support service,Percentage,Hungary,: u
Annual,Legal or victim support service,Percentage,Ireland,11.6 u
Annual,Legal or victim support service,Percentage,Lithuania,8.1 u
Annual,Legal or victim support service,Percentage,Luxembourg,9.9
Annual,Legal or victim support service,Percentage,Latvia,6.8 u
Annual,Legal or victim support service,Percentage,Montenegro,11.4 u
Annual,Legal or victim support service,Percentage,Malta,12.0
Annual,Legal or victim support service,Percentage,Netherlands,8.1
Annual,Legal or victim support service,Percentage,Poland,12.1
Annual,Legal or victim support service,Percentage,Portugal,7.2
Annual,Legal or victim support service,Percentage,Romania,: u
Annual,Legal or victim support service,Percentage,Serbia,: u
Annual,Legal or victim support service,Percentage,Sweden,7.8
Annual,Legal or victim support service,Percentage,Slovenia,8.2 u
Annual,Legal or victim support service,Percentage,Slovakia,5.7
Annual,Legal or victim support service,Percentage,Kosovo*,: u
Annual,Support service or police,Percentage,Austria,13.6
Annual,Support service or police,Percentage,Belgium,23.1
Annual,Support service or police,Percentage,Bulgaria,16.7
Annual,Support service or police,Percentage,Cyprus,15.8
Annual,Support service or police,Percentage,Czechia,: u
Annual,Support service or police,Percentage,Germany,15.5 u
Annual,Support service or police,Percentage,Denmark,17.3
Annual,Support service or police,Percentage,Estonia,14.9
Annual,Support service or police,Percentage,Greece,12.6
Annual,Support service or police,Percentage,Spain,17.3
Annual,Support service or police,Percentage,European Union (aggregate changing according to the context),16.7 e
Annual,Support service or police,Percentage,Finland,12.5
Annual,Support service or police,Percentage,France,20.2
Annual,Support service or police,Percentage,Croatia,15.4
Annual,Support service or police,Percentage,Hungary,6.6 u
Annual,Support service or police,Percentage,Ireland,24.5
Annual,Support service or police,Percentage,Lithuania,12.3 u
Annual,Support service or police,Percentage,Luxembourg,19.9
Annual,Support service or police,Percentage,Latvia,16.2
Annual,Support service or police,Percentage,Montenegro,20.1 u
Annual,Support service or police,Percentage,Malta,25.2
Annual,Support service or police,Percentage,Netherlands,15.5
Annual,Support service or police,Percentage,Poland,21.2
Annual,Support service or police,Percentage,Portugal,14.7
Annual,Support service or police,Percentage,Romania,14.2 u
Annual,Support service or police,Percentage,Serbia,10.0
Annual,Support service or police,Percentage,Sweden,15.7
Annual,Support service or police,Percentage,Slovenia,18.1 u
Annual,Support service or police,Percentage,Slovakia,11.2
Annual,Support service or police,Percentage,Kosovo*,: u
