Time frequency,Country of citizenship,Age definition,Age class,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Total,Age in completed years,Total,Number,Total,Austria,82230.0,91557.0,101866.0,116262.0,166323.0,129509.0,111801.0,105633.0,109167.0,103565.0,118511.0,201622.0
Annual,Total,Age in completed years,Total,Number,Total,Belgium,147377 b,129477.0,120078.0,123158.0,146626.0,123702.0,126703.0,137860.0,150006.0,118683.0,139743.0,208356.0
Annual,Total,Age in completed years,Total,Number,Total,Bulgaria,:,14103 bp,18570 p,26615 p,25223 p,21241.0,25597 p,29559 p,37929 p,37364 p,39461.0,40619.0
Annual,Total,Age in completed years,Total,Number,Total,Switzerland,148799 b,149051.0,160157.0,156282.0,153627.0,149305.0,143377.0,144857.0,145129.0,138778.0,144907.0,167079.0
Annual,Total,Age in completed years,Total,Number,Total,Cyprus,23037.0,17476.0,13149.0,9212.0,15183.0,17391.0,21306.0,23442.0,26170.0,25861.0,24001.0,31052.0
Annual,Total,Age in completed years,Total,Number,Total,Czechia,27114 b,34337.0,30124 b,29897.0,29602.0,64083.0,51847.0,65910.0,105888.0,63095.0,69360.0,347429.0
Annual,Total,Age in completed years,Total,Number,Total,Germany,489422.0,592175.0,692713.0,866757 e,1549937 e,1046171 e,866541 e,825736 e,804821 e,642399 e,775946 e,1943445 e
Annual,Total,Age in completed years,Total,Number,Total,Denmark,52833.0,54409.0,60312.0,68388.0,78492.0,74383.0,68579.0,64669.0,61384.0,57230.0,63489.0,121183.0
Annual,Total,Age in completed years,Total,Number,Total,Estonia,3709.0,2639.0,4109.0,3904.0,15413 b,14822.0,17616.0,17547.0,18259.0,16209.0,19524.0,49414.0
Annual,Total,Age in completed years,Total,Number,Total,Greece,60089 b,58200.0,57946.0,59013.0,64446 b,116867 b,112247.0,119489.0,129459.0,84221.0,57120.0,96662.0
Annual,Total,Age in completed years,Total,Number,Total,Spain,371331.0,304053.0,280772.0,305454.0,342114.0,414746.0,532132.0,643684.0,750480.0,467918.0,887960 b,1258894.0
Annual,Total,Age in completed years,Total,Number,Total,European Union - 27 countries (from 2020),:,:,2901445 bep,3151967 ep,4051135 bep,3738024 bep,3731511 ep,3903785 ep,4175393 bep,3210557 ep,4053211 bep,6898752 ep
Annual,Total,Age in completed years,Total,Number,Total,Finland,29481.0,31278.0,31941.0,31507.0,28746.0,34905.0,31797.0,31106.0,32758.0,32898.0,36364.0,49998.0
Annual,Total,Age in completed years,Total,Number,Total,France,319816.0,327431.0,338752.0,340383.0,364221.0,377709.0,369621.0,387160.0,385596.0,283250.0,336398 p,431017 p
Annual,Total,Age in completed years,Total,Number,Total,Georgia,:,:,:,:,:,:,:,:,:,:,:,179778.0
Annual,Total,Age in completed years,Total,Number,Total,Croatia,8534.0,8959.0,10378.0,10638.0,11706.0,13985.0,15553.0,26029.0,37726.0,33414.0,35912.0,57972.0
