Time frequency,Sex,Age class,Unit of measure,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Hungary,14.8,14.8 b,14.4,16.3,18.5,17.9,19.4,20.6,22.8,24.0,26.1,28.2,29.8,32.3,34.1 b,34.3,33.0,32.1,33.5 b,33.3,33.3,35.9 b,35.0,32.8
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Ireland,27.5,30.6,32.0,35.1,38.6,39.2,41.9,45.2 b,47.9,50.4,51.4,51.0,52.2,53.6,54.6 b,53.8,54.6,54.5 b,56.3,55.4,58.1,62.4 b,62.6,63.7
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Iceland,32.6,31.0,33.6,38.2 b,38.8,41.1,36.4 u,36.3,38.3,41.7,40.9,44.6,42.8,43.9,46.4 b,47.1,48.8,53.7,51.7,52.8,46.0 b,45.3 b,45.9,50.4
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Italy,11.6,12.2,13.1,13.9,15.6 b,17.1,17.6,18.6,19.2,19.0,19.9,20.4,21.9,22.5,23.9 b,25.3,26.2,26.9,28.0 b,27.8,27.8,26.8 b,27.4,29.2
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Lithuania,42.6,21.2,23.4 b,25.2,30.9,37.7,39.4,36.4,39.9,40.4,43.8,45.7,48.6,51.3,53.3 b,57.6,58.7,58.0,57.6,57.8,59.6,60.2 b,61.0,59.5
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Luxembourg,21.2,23.9,23.6,17.3 b,31.4,37.6,35.5,35.3 b,39.8,46.6 b,46.1,48.2,49.6,52.5,52.7 b,52.3 b,54.6 u,52.7 u,56.2,56.2,62.2,62.5 b,62.9,61.9
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Latvia,18.6,16.3,17.3 b,18.3,18.2,18.5,19.3,25.7,26.3,30.5,32.6,35.9,37.2,40.7,39.9 b,41.3,42.8,43.8,42.7,45.7,49.2,47.7 b,45.7,47.4
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Montenegro,:,:,:,:,:,:,:,:,:,:,:,24.1,24.2,26.8,28.3 b,31.0,33.9,34.0,32.4,36.8,38.4,:,:,:
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),North Macedonia,:,:,:,:,:,:,11.6,12.2,12.4,14.3,17.1,20.4,21.7,23.1,24.9 b,28.6,29.1,30.6,33.3,35.7,39.7,:,:,:
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Malta,7.4 du,12.9 du,9.3 d,13.7 d,17.6 d,17.6 b,20.7,20.8,21.0,21.9,22.1,23.4 b,26.3,28.7,28.6 b,29.1,32.0,33.5,35.4,39.9,40.1,44.6 b,42.9,43.3
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Netherlands,26.5,27.2,28.6,31.7,33.6,32.6 b,34.2,34.9,38.0,38.3,41.4,41.2 b,42.2,43.2 b,44.8 b,46.3,45.7,47.9,49.4,51.4 b,54.0,53.4 b,56.0,54.3
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Norway,37.3,42.2,43.4,40.7,39.5,39.4,41.9 b,43.7,46.2,47.0,47.3,48.8,47.6,48.8,52.1 b,50.9,50.1,49.0,50.6,49.1,51.5,55.6 b,56.0,57.1
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Poland,12.5 b,13.2,14.4,17.2 b,20.4,22.7,24.7,27.0,29.7,32.8,34.8 b,36.5,39.1,40.5,42.1 b,43.4,44.6,45.7,45.7,47.0,47.7,46.7 b,47.7,49.2
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Portugal,11.1,11.6,12.9,14.7,16.3 b,17.5,18.3,19.5,21.6,21.3,24.0,26.6 b,27.7,30.1,31.6 b,32.1,34.3,33.5,33.8,36.7,39.7,42.5 b,41.5,39.7
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Romania,8.9,8.8,9.1,8.9 b,10.3,11.4,12.4,13.9,16.0,16.8,18.3 b,20.3,21.7,22.9,25.0 b,25.6,25.6,26.3,24.6,25.8,26.4,24.8 b,26.3,22.8
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Serbia,:,:,:,:,:,:,:,:,:,:,20.5,20.7,24.6,25.4,27.1 b,28.9,29.9,31.4,32.8,33.5,33.0,35.3 b,36.1,38.2
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Sweden,31.8,26.6 b,28.3,31.0,33.9,37.6 b,39.5 b,41.0,42.0,43.9,45.3,46.8,47.9,48.3,49.9 b,50.2,51.0,51.3,51.8 b,52.5,52.2,51.8 b,55.4,58.0
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Slovenia,18.5,18.1,20.7,23.6,25.1,24.6,28.1,31.0,30.9,31.6,34.8,37.9,39.2,40.1,41.0 b,43.4,44.2,46.4,42.7,44.9,46.9,49.2 b,48.8,40.0 b
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Slovakia,10.6,10.7,10.5,11.5,12.9,14.3,14.4,14.8,15.8,17.6,22.1,23.2 b,23.7,26.9,26.9 b,28.4,31.5,34.3,37.7,40.1,39.7,40.2 b,39.3,41.1
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),Türkiye,:,:,:,:,:,:,11.9,12.3,13.0,14.7,15.5,16.3,18.0,19.5,21.5 b,23.6,26.5,27.3,28.8,31.4,33.1,35.5 b,37.6,39.9
Annual,Total,From 30 to 34 years,Percentage,Tertiary education (levels 5-8),United Kingdom,29.0,29.9,31.5,31.5,33.6 b,34.5,36.4,38.3 b,39.5 b,41.4,43.1 b,45.5 b,46.9,47.4,47.7 b,47.8,48.1,48.2,48.8,50.0,:,:,:,:
