Time frequency,Classification of individual consumption by purpose (COICOP),Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Albania,114.20 d,114.26 d,114.33 d,114.57 d,114.84 d,114.75 d,114.78 d,114.98 d,115.09 d,114.88 d,114.99 d,115.27 d
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Austria,148.95,147.42,147.24,146.52,146.46,146.65,146.4,146.12,146.09,145.08,145.34,145.52
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Belgium,131.59,139.7,141.2,140.09,139.54,141.37,142.25,141.35,142.88,143.23,145.27,148.05
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Bulgaria,150.49,150.52,150.02,149.94,149.48,149.66,150.22,150.29,150.27,151.41,151.08,151.63
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Switzerland,116.31,116.81,116.94,117.0,117.51,117.62,117.77,118.06,118.1,118.16,118.48,118.6
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Cyprus,143.0,141.9,139.94,143.96,144.5,145.53,145.79,145.46,145.85,144.81,145.15,145.5
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Czechia,180.7,180.8,180.6,180.5,180.6,180.5,180.4,180.7,180.1,180.3,180.7,180.2
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Germany,130.7,130.7,130.5,131.5,131.4,131.4,131.6,131.5,131.5,131.6,131.6,131.7
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Denmark,122.8,123.0,122.8,120.2,120.2,120.4,120.5,122.5,121.2,123.5,124.6,124.1
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",131.33,131.71,131.49,131.11,131.05,131.4,132.21,132.34,132.39,132.78,133.16,133.57
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Euro area - 19 countries  (2015-2022),131.31,131.7,131.47,131.1,131.04,131.4,132.21,132.35,132.4,132.78,133.13,133.54
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Euro area – 20 countries (from 2023),131.26,131.64,131.42,131.05,130.98,131.34,132.14,132.28,132.32,132.72,133.09,133.5
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Estonia,203.49,194.47,193.58,190.71,192.18,194.99,199.34,200.42,197.37,199.29,198.18,198.69
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Greece,113.65,114.06,112.75,111.92,111.08,111.25,114.36,118.2,119.43,118.84,117.97,119.17
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Spain,112.5,111.11,113.57,114.15,115.09,115.97,113.91,114.65,113.9,114.51,116.3,116.95
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",136.28,136.56,136.43,135.99,135.78,136.16,137.46,137.64,137.73,138.21,138.78,139.13
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",European Union - 27 countries (from 2020),136.3,136.58,136.45,136.01,135.8,136.18,137.49,137.66,137.75,138.23,138.8,139.15
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Finland,129.05,130.34,127.99,128.35,127.53,127.64,127.84,126.65,126.71,128.99,127.69,127.91
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",France,128.76,131.28,130.96,130.61,130.7,130.83,131.75,131.89,131.82,132.62,132.71,133.01
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Croatia,119.31,119.89,119.91,119.06,118.37,118.38,118.28,117.78,117.35,119.61,122.76,123.33
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Hungary,144.55,145.43,147.53,146.17,145.74,144.63,144.21,144.53,145.33,145.63,146.2,147.87
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Ireland,162.6,162.8,159.1,158.9,159.0,159.4,159.6,159.7,160.0,161.3,161.0,161.7
Monthly,"Housing, water, electricity, gas and other fuels","Index, 2015=100",Iceland,147.16,150.15,150.84,151.44,152.52,153.29,154.52,156.31,157.02,158.12,160.33,160.94
