Annual,Per million inhabitants,Portugal,6.13,10.12,12.96,13.89,16.43,14.4,18.84,16.08,18.25,17.26,18.5,19.37,16.87
Annual,Per million inhabitants,Romania,:,0.05,0.28,0.28,1.09,0.87,1.32,1.77,2.48,2.69,2.75,3.06,2.77
Annual,Per million inhabitants,Russia,0.02,0.03,0.03,0.09,0.04,0.06,0.06,0.11,0.2,0.17,0.33,0.29,0.23 e
Annual,Per million inhabitants,Sweden,42.61,39.44,51.93,51.62,61.01,62.4,62.01,57.81,60.96,63.06,71.37,59.62,58.17
Annual,Per million inhabitants,Singapore,3.29 e,4.11 e,3.34 e,5.63 e,7.4 e,5.36 e,5.04 e,7.28 e,7.32 e,5.09 e,7.59 e,4.36 e,5.35 e
Annual,Per million inhabitants,Slovenia,3.01,13.52,9.01,18.97,19.9,23.38,27.55,29.8,32.19,36.49,42.74,50.46,40.72
Annual,Per million inhabitants,Slovakia,0.37,1.3,3.16,6.51,5.77,5.21,8.17,6.12,10.38,8.33,11.83,10.89,9.04
Annual,Per million inhabitants,Türkiye,0.5,0.7,0.81,0.68,1.22,1.36,0.76,0.72,1.04,0.94,0.9,0.98,0.88
Annual,Per million inhabitants,Taiwan,8.14,13.53,14.93,15.87,16.6,18.23,17.82,19.47,20.84,17.88,15.83,16.09,15.62 e
Annual,Per million inhabitants,United Kingdom,19.98,21.83,24.19,23.34,28.28,23.26,21.65,25.84,26.1,27.37,27.87,27.91,27.13
Annual,Per million inhabitants,United States,3.58,4.83,5.63,6.12,6.05,6.03,5.12,6.16,6.06,6.99,6.88,7.74 b,7.6 e
Annual,Per million inhabitants,South Africa,0.23,0.46,0.6,0.49,0.67,0.46,0.35,0.37,0.46,0.71,0.77 e,0.59 e,0.51 e
