Time frequency,Unit of measure,National accounts indicator (ESA 2010),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure,Armenia,86.0 d,82.3 d,81.8 d,81.8 d,93.7 d,95.1 d,96.6 d,96.7,98.7,97.6,91.0,89.8,92.4,91.3,96.0,90.2,84.9,79.3
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure,Azerbaijan,52.6,45.6,43.1,41.9,53.9,50.2 p,47.4,50.0,52.2 p,56.3,69.1,71.5,68.9,64.6,68.6,77.1,66.2,54.3
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure,Belarus,72.8 d,70.7 d,70.3 d,68.5 d,72.3,71.7,62.1,61.6,64.7,66.6,67.8,70.2,70.1,69.3,70.8,68.4 p,:,:
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure,Georgia,84.3 d,93.3 d,94.7 d,103.8 d,106.2 d,96.5 d,96.0 d,93.0 d,91.2 d,91.5 d,90.7 d,85.1 d,83.7 d,82.5 d,83.7 d,95.4 d,97.5 d,89.4 d
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure,Moldova,109.9 d,113.9 d,113.5 d,113.6 d,113.5 d,108.4 bd,109.5 d,109.8 d,106.6 d,107.4 bd,101.3 d,101.3 d,101.6,99.5 d,100.1 d,99.6 d,100.3 d,102.4 d
Annual,Percentage of gross domestic product (GDP),Final consumption expenditure,Ukraine,76.7,78.2,77.7,80.3,84.5,84.4,85.5,88.3,91.8,90.1 d,86.7 d,85.2 d,87.8 d,90.2 d,93.2 d,92.6 d,86.8 d,104.2 d
Annual,Percentage of gross domestic product (GDP),Household and NPISH final consumption expenditure,Armenia,75.5 d,72.3 d,71.6 d,71.6 d,80.4 d,82.0 d,83.7 d,85.8,86.8,85.5,77.9,76.3,80.1,79.8,83.5,75.2,71.3,66.6
Annual,Percentage of gross domestic product (GDP),Household and NPISH final consumption expenditure,Azerbaijan,42.1,37.1,33.4,33.4,42.8,39.3 p,37.3,39.5,41.9 p,45.4,56.7,58.7,57.6,54.1,57.5,60.9,52.3,43.4
Annual,Percentage of gross domestic product (GDP),Household and NPISH final consumption expenditure,Belarus,52.0 d,51.5 d,51.8 d,52.0 d,56.2,55.7,48.7,48.1,51.3,52.8,52.9,54.5,54.4,53.6,54.0,51.5 p,:,:
Annual,Percentage of gross domestic product (GDP),Household and NPISH final consumption expenditure,Georgia,67.0 d,77.9 d,72.8 d,77.9 d,81.7 d,81.2 d,82.2 d,79.4 d,77.1 d,77.2 d,76.5 d,69.8 d,69.8 d,69.3 d,70.6 d,80.7 d,83.5 d,76.9 d
