Time frequency,Unit of measure,Rail network segment (2005),Train category\Time,2005.0
Annual,Number,Basmane - ?Irinyer,Passenger trains,49453.0
Annual,Number,Adnan Menderes - Goncaly,Goods trains,401.0
Annual,Number,Adnan Menderes - Goncaly,Other trains,16.0
Annual,Number,Adnan Menderes - Goncaly,Passenger trains,2597.0
Annual,Number,D.Pynar - Ala?Ehir,Goods trains,451.0
Annual,Number,D.Pynar - Ala?Ehir,Other trains,26.0
Annual,Number,D.Pynar - Ala?Ehir,Passenger trains,531.0
Annual,Number,Ala?Ehir - Manisa,Goods trains,416.0
Annual,Number,Ala?Ehir - Manisa,Other trains,18.0
Annual,Number,Ala?Ehir - Manisa,Passenger trains,1021.0
Annual,Number,Manisa - Soma,Goods trains,620.0
Annual,Number,Manisa - Soma,Other trains,67.0
Annual,Number,Manisa - Soma,Passenger trains,1459.0
Annual,Number,Soma - Balykesir,Goods trains,623.0
Annual,Number,Soma - Balykesir,Other trains,90.0
Annual,Number,Soma - Balykesir,Passenger trains,1437.0
Annual,Number,Balykesir - Bandyrma,Goods trains,1351.0
Annual,Number,Balykesir - Bandyrma,Other trains,24.0
Annual,Number,Balykesir - Bandyrma,Passenger trains,4.0
Annual,Number,Ci?Li - Manisa,Goods trains,998.0
Annual,Number,Ci?Li - Manisa,Other trains,69.0
Annual,Number,Ci?Li - Manisa,Passenger trains,2331.0
Annual,Number,Goncaly - Karakuyu,Goods trains,471.0
Annual,Number,Goncaly - Karakuyu,Other trains,4.0
Annual,Number,Goncaly - Karakuyu,Passenger trains,1096.0
Annual,Number,Karakuyu - Afyon,Goods trains,877.0
Annual,Number,Karakuyu - Afyon,Other trains,31.0
Annual,Number,Karakuyu - Afyon,Passenger trains,722.0
Annual,Number,Karakuyu - E?Irdir,Goods trains,188.0
Annual,Number,Karakuyu - E?Irdir,Other trains,42.0
Annual,Number,Karakuyu - E?Irdir,Passenger trains,326.0
Annual,Number,Gumu?Gun - Burdur,Goods trains,215.0
Annual,Number,Gumu?Gun - Burdur,Other trains,41.0
Annual,Number,Gumu?Gun - Burdur,Passenger trains,1.0
Annual,Number,Bozanonu - Isparta,Goods trains,32.0
Annual,Number,Bozanonu - Isparta,Other trains,3.0
Annual,Number,Bozanonu - Isparta,Passenger trains,496.0
Annual,Number,Sutlac - Civril,Goods trains,0.0
Annual,Number,Sutlac - Civril,Other trains,1.0
Annual,Number,Sutlac - Civril,Passenger trains,0.0
Annual,Number,Goncaly - Denizli,Goods trains,263.0
Annual,Number,Goncaly - Denizli,Other trains,2.0
Annual,Number,Goncaly - Denizli,Passenger trains,1696.0
Annual,Number,Ortaklar - Soke,Goods trains,222.0
Annual,Number,Ortaklar - Soke,Other trains,3.0
Annual,Number,Ortaklar - Soke,Passenger trains,1444.0
