Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,From 65 to 74 years,Number,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,-2.3,-3.3,-4.9,:,:
Annual,From 65 to 74 years,Number,Austria,20.6,14.4,13.8,14.4,14.3,16.9,15.9,13.4,15.1,12.4,9.3,10.8,10.6,9.0,12.1,8.9,8.6,6.4,5.2,7.8,5.7
Annual,From 65 to 74 years,Number,Belgium,25.7,24.8,20.0,26.3,24.2,23.2,21.3,19.5,19.4,21.7,18.1,17.2,17.2,14.9,13.2,13.3,6.4,6.4,8.7,7.9,6.9
Annual,From 65 to 74 years,Number,Bulgaria,:,:,:,-0.1,-0.1,0.7,-2.5,-2.6,-1.1,-0.6,0.2,0.3,-1.4,-2.5,-2.8,-2.6,-2.4,-2.7,-2.5,-4.4,-4.5
Annual,From 65 to 74 years,Number,Switzerland,:,:,:,:,-0.4,-1.1,-1.2,-0.7,-0.4,-0.7,-0.7,-0.6,-0.3,0.1,-0.1,-0.6,-2.1,-1.5,-0.4,-0.5,-0.4
Annual,From 65 to 74 years,Number,Cyprus,:,:,1.3,-0.2,-0.5,-0.5,-0.3,0.1,-1.4,0.0,-0.5,1.5,1.3,0.5,0.3,1.0,0.4,1.5,3.0,2.4,2.0
Annual,From 65 to 74 years,Number,Czechia,:,:,-0.2,-1.9,-0.9,-1.9,-2.0,-1.8,-0.1,-1.0,0.0,0.3,0.6,-0.2,-0.2,-0.2,-1.3,-0.5,-0.8,-0.3,-1.1
Annual,From 65 to 74 years,Number,Germany,:,:,3.3,3.5,4.6,4.6,4.7,3.8,3.9,4.0,3.7,2.0,0.8,1.1,1.3,0.5,0.9,0.4,-0.5,0.3,-0.4
Annual,From 65 to 74 years,Number,Denmark,0.8,2.5,-1.8,-1.4,0.3,-2.0,-0.5,0.2,-0.6,-1.0,0.0,0.2,-0.6,-0.6,-0.4,-0.6,-0.7,-2.4,-6.0,-3.7,-4.3
Annual,From 65 to 74 years,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,9.4 e,10.7 e,4.2 e,9.7 e,9.1 e,10.3 e,9.8 e,9.5 e,9.3 e,9.2 e,9.1 e,9.3 e,8.6 e,8.6,7.6 b,6.8,:,:
Annual,From 65 to 74 years,Number,Euro area - 18 countries (2014),:,:,:,9.0 e,10.5,4.1,9.6,9.0,10.2,9.8,9.5,9.3,9.3,9.1,9.4,8.7,8.6,7.7 b,:,:,:
Annual,From 65 to 74 years,Number,Euro area - 19 countries  (2015-2022),:,:,:,8.9 e,10.4,4.0,9.5,8.9,10.1,9.7,9.4,9.2,9.2,9.1,9.3,8.6,8.6,7.6 b,6.8,:,:
Annual,From 65 to 74 years,Number,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,9.1,9.1,9.0,9.3,8.6,8.5,7.6,6.8,7.2,6.1
Annual,From 65 to 74 years,Number,Estonia,:,0.2,-1.0,-0.4,0.2,0.3,0.0,0.0,0.1,0.0,-0.1,-0.9,-0.9,-2.5,-0.6,-0.9,-0.7,-0.5,-0.3,-0.2,-1.0
Annual,From 65 to 74 years,Number,Greece,:,:,:,:,18.3,17.7,18.5,20.3,19.4,15.6,16.0,19.3,21.0,18.3,17.0,18.3,16.9,16.8,17.3,17.3,16.0
Annual,From 65 to 74 years,Number,Spain,:,:,:,34.8,32.4,29.4,32.1,28.5,30.1,28.2,27.6,27.7,28.7,28.5,29.9,26.2,27.1,26.5,24.4,23.6,24.5
Annual,From 65 to 74 years,Number,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,3.1 e,6.2 e,7.7 e,3.1 e,6.9 e,6.6 e,7.3 e,6.8 e,6.6 e,6.3 e,6.2 e,5.9 e,5.9 e,5.6 e,5.6 e,:,:,:,:
Annual,From 65 to 74 years,Number,European Union - 27 countries (2007-2013),:,:,:,:,:,3.1,6.9,6.6,7.3,6.8,6.7,6.4,6.2,5.9,5.9,5.6,5.6 e,:,:,:,:
Annual,From 65 to 74 years,Number,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,7.4 e,8.4 e,7.8 e,7.5 e,7.3 e,7.1 e,6.8 e,6.8 e,6.5 e,6.5 e,5.7 b,5.0,5.4,4.5
Annual,From 65 to 74 years,Number,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,6.6,7.3,6.8,6.6,6.3,6.2,5.9,5.9,5.6,5.6 e,:,:,:,:
Annual,From 65 to 74 years,Number,Finland,:,-0.1,-0.4,:,-1.1,-0.5,-0.1,0.0,-0.7,-0.9,-0.9,-0.1,-0.1,-0.3,-0.1,-0.4,-0.5,-0.5,-0.8,-1.2,-0.5
Annual,From 65 to 74 years,Number,France,:,5.8,6.0,0.5,2.7,-34.1,2.6,2.5,3.3,2.4,0.7,2.0,1.9,2.0,0.7,1.0,0.5,2.6,1.1,1.3 b,0.7
Annual,From 65 to 74 years,Number,Croatia,:,:,:,:,:,:,:,-3.3,1.8,1.8,-1.0,-2.4,1.5,6.2,7.3,6.1,4.8,4.3,5.9,5.2,3.9
Annual,From 65 to 74 years,Number,Hungary,:,:,1.5,2.0,1.3,0.7,0.2,0.6,0.6,-0.2,0.3,0.5,-0.7,-0.1,-1.0,0.1,0.0,-0.2,0.3,0.1,-0.9
Annual,From 65 to 74 years,Number,Ireland,12.4,14.8,18.7,18.9,19.6,19.0,22.9,19.7,18.0,25.5,21.9,17.4,11.8,6.5,7.7,6.0,10.2,7.2,4.0,8.6,-0.2
Annual,From 65 to 74 years,Number,Iceland,:,-2.6,-5.0,-8.0,-7.9,-5.2,-1.8,-4.2,-6.1,-6.0,-5.1,-5.7,-7.0,-5.9,-3.7,-8.6,0.6,:,:,:,:
Annual,From 65 to 74 years,Number,Italy,:,:,:,:,14.8,13.6,12.3,12.5,16.8,14.6,15.6,14.9,16.0,16.0,17.5,17.8,18.6,13.1,13.5,14.3,10.6
Annual,From 65 to 74 years,Number,Lithuania,:,:,-0.6,-0.2,-0.4,0.1,-0.8,-1.2,-1.6,-1.0,-0.9,-0.6,-0.7,0.1,0.0,-0.4,-1.1,-0.9,-0.4,-0.6,-0.7
Annual,From 65 to 74 years,Number,Luxembourg,19.4,9.4,6.6,5.0,2.8,1.9,3.8,0.0,1.6,3.9,8.1,8.9,6.3,8.2,5.5,7.0,7.4,5.7 b,3.3,5.3,3.1
Annual,From 65 to 74 years,Number,Latvia,:,:,:,:,-1.5,-1.1,-1.0,-1.1,-1.0,-0.3,-0.6,-0.3,0.2,-0.1,-0.6,0.5,1.4,-1.1,-0.1,-0.1,0.3
Annual,From 65 to 74 years,Number,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.5,5.0,8.3,10.3,6.6,:
Annual,From 65 to 74 years,Number,North Macedonia,:,:,:,:,:,:,:,28.9,28.7,26.7,26.8,24.8,24.6,24.7,23.4,20.7,17.7,18.1,:,:,:
Annual,From 65 to 74 years,Number,Malta,:,:,36.4,40.5,37.1,41.0,40.0,40.1,44.0,42.6,41.8,40.1,40.4,17.3 b,14.4,13.1,13.5,10.3,9.5,8.7,10.8
Annual,From 65 to 74 years,Number,Netherlands,:,:,-0.1,0.0,0.0,-0.2,-0.1,-0.1,0.0,-0.2,0.0,0.5,0.6,0.1,0.5,0.0,0.3,0.0,-0.9,-0.4,0.0
Annual,From 65 to 74 years,Number,Norway,3.5,2.4,-0.3,-2.4,-2.0,-0.4,-0.1,-3.8,-6.2,-0.6,3.2,1.0,2.2,-0.7,-0.3,1.3,1.1,3.1,1.0 b,1.6,3.5 b
Annual,From 65 to 74 years,Number,Poland,:,:,2.3,2.2,1.5,1.6,0.6,1.2,1.5,0.8,1.5,0.2,-0.9,-3.2,-5.9,-2.6,-1.5,-2.3,-2.2,-1.4,-1.5
Annual,From 65 to 74 years,Number,Portugal,:,:,:,:,8.7,0.5,1.0,2.9,4.1,5.9,7.7,7.4,6.4,8.9,6.9,7.7,5.4,5.7,4.7,6.3,5.0
Annual,From 65 to 74 years,Number,Romania,:,:,:,:,5.7,6.0,5.7,8.6,7.4,5.1,4.0,4.1,2.9,4.1,5.3,3.9,5.2,5.1,4.6,2.6,4.0
Annual,From 65 to 74 years,Number,Serbia,:,:,:,:,:,:,:,:,:,:,0.5,5.5,7.0,4.8,2.7,3.1,-1.1,-0.2,1.0,2.3,:
Annual,From 65 to 74 years,Number,Sweden,:,-0.4,-0.5,0.2,-1.1,-1.6,-0.3,0.1,-0.4,-0.3,0.3,0.0,-0.7,-1.0,-0.3,-1.3,-1.1,-0.6,-0.5,1.1,-1.5
Annual,From 65 to 74 years,Number,Slovenia,:,:,-8.3,-10.1,-8.1,-9.6,-11.2,-8.9,-10.2,-8.7,-6.8,-5.7,-4.6,-2.9,-2.9,-2.9,-2.7,-2.1,0.7,-0.8,0.0
Annual,From 65 to 74 years,Number,Slovakia,:,:,-0.3,-0.2,1.3,0.1,-0.8,-0.7,-0.3,-0.9,-0.5,-1.0,-0.5,-0.3,-0.8,-0.6,-0.8,-0.4,-1.0,-1.3,-0.9
Annual,From 65 to 74 years,Number,Türkiye,:,:,:,35.9,34.5,32.4,34.9,34.2,38.3,37.0,38.2,35.5,36.6,38.0,38.0,35.9,37.2,32.9,36.3,37.2,36.3
Annual,From 65 to 74 years,Number,United Kingdom,:,:,-1.1,-0.6,0.2,0.1,-0.2,0.0,-1.0,-0.2,0.0,0.0,0.0,0.0,0.0,-0.4,:,:,:,:,:
Annual,From 65 to 74 years,Number,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.4,:,:,:,:,:
Annual,From 65 to 79 years,Number,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,-1.7,-2.5,-3.3,:,:
Annual,From 65 to 79 years,Number,Austria,17.0,12.6,12.7,13.0,13.5,16.4,14.6,12.9,13.7,11.5,9.7,11.1,11.3,10.2,12.6,11.3,10.5,8.6,6.2,7.1,4.5
Annual,From 65 to 79 years,Number,Belgium,23.3,24.1,19.6,25.1,24.3,23.0,21.8,18.5,18.9,20.4,18.2,18.8,18.5,14.9,14.2,13.9,7.0,7.1,8.5,7.3,6.3
Annual,From 65 to 79 years,Number,Bulgaria,:,:,:,0.0,-0.1,0.2,-1.3,-1.8,-0.9,-0.5,0.1,0.2,-1.1,-1.8,-2.4,-1.7,-1.9,-2.2,-2.0,-3.5,-3.6
Annual,From 65 to 79 years,Number,Switzerland,:,:,:,:,-0.3,-0.7,-0.8,-0.6,-0.3,-0.6,-0.5,-0.5,-0.3,0.1,-0.1,-0.5,-1.5,-1.1,-0.2,-0.4,-0.3
Annual,From 65 to 79 years,Number,Cyprus,:,:,0.8,-0.4,-0.6,-0.6,-0.3,0.0,-1.1,0.1,-0.3,1.1,0.9,0.7,0.1,0.4,0.4,1.4,2.4,1.8,1.5
Annual,From 65 to 79 years,Number,Czechia,:,:,0.0,-1.2,-0.9,-1.6,-2.0,-2.3,0.0,-0.8,0.0,0.2,0.4,-0.2,-0.1,-0.2,-1.1,-0.3,-0.6,-0.2,-0.8
Annual,From 65 to 79 years,Number,Germany,:,:,3.2,3.1,4.4,4.3,4.1,3.6,3.7,3.9,3.7,2.6,1.2,1.3,1.2,0.9,1.3,0.9,0.0,0.5,-0.1
Annual,From 65 to 79 years,Number,Denmark,-0.8,-0.1,-2.8,-1.2,0.1,-1.6,-0.5,0.2,-0.5,-0.8,0.0,0.1,-0.5,-0.5,-0.4,-0.5,-0.5,-1.6,-4.3,-2.7,-2.8
Annual,From 65 to 79 years,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,8.7 e,10.1 e,2.9 e,9.0 e,8.7 e,9.7 e,8.9 e,8.9 e,8.7 e,8.6 e,8.4 e,8.5 e,8.0 e,8.2,7.5 b,6.9,:,:
Annual,From 65 to 79 years,Number,Euro area - 18 countries (2014),:,:,:,8.4 e,9.9,2.9,8.9,8.6,9.6,8.8,8.9,8.7,8.6,8.5,8.6,8.1,8.3,7.6 b,:,:,:
Annual,From 65 to 79 years,Number,Euro area - 19 countries  (2015-2022),:,:,:,8.3 e,9.8,2.8,8.8,8.5,9.5,8.7,8.8,8.7,8.6,8.4,8.5,8.0,8.2,7.5 b,6.9,:,:
Annual,From 65 to 79 years,Number,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,8.6,8.5,8.4,8.5,8.0,8.2,7.5,6.9,7.1,6.1
Annual,From 65 to 79 years,Number,Estonia,:,0.1,-1.0,-0.3,0.1,0.2,0.0,0.0,0.1,0.0,-0.3,-0.9,-0.5,-1.9,-1.1,-1.1,-0.8,-0.4,-0.3,-0.2,-0.7
Annual,From 65 to 79 years,Number,Greece,:,:,:,:,16.2,16.9,16.7,16.7,17.7,13.5,15.0,17.0,18.8,16.8,16.0,16.2,15.7,15.6,16.4,16.6,15.7
Annual,From 65 to 79 years,Number,Spain,:,:,:,31.2,30.1,27.4,29.8,28.3,29.0,25.6,25.3,26.3,27.2,27.2,27.7,24.6,25.9,25.3,24.4,23.6,24.2
Annual,From 65 to 79 years,Number,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,3.0 e,5.7 e,7.2 e,2.3 e,6.4 e,6.2 e,6.8 e,6.3 e,6.3 e,6.1 e,5.9 e,5.7 e,5.7 e,5.4 e,5.6 e,:,:,:,:
Annual,From 65 to 79 years,Number,European Union - 27 countries (2007-2013),:,:,:,:,:,2.3,6.4,6.3,6.9,6.3,6.3,6.2,6.0,5.7,5.6,5.4,5.6 e,:,:,:,:
Annual,From 65 to 79 years,Number,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,7.1 e,7.8 e,7.1 e,7.1 e,6.9 e,6.7 e,6.5 e,6.4 e,6.2 e,6.4 e,5.8 b,5.2,5.3,4.6
Annual,From 65 to 79 years,Number,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,6.2,6.8,6.3,6.3,6.1,5.9,5.7,5.7,5.4,5.6 e,:,:,:,:
Annual,From 65 to 79 years,Number,Finland,:,-0.1,-0.3,:,-0.9,-0.2,0.0,-0.1,-0.8,-0.9,-0.8,-0.1,-0.1,-0.4,-0.1,-0.1,-0.4,-0.4,-0.7,-1.0,-0.4
