Time frequency,Rail network segment (2020),Train category,Unit of measure\Time,2020.0
Annual,Tabanovce(Border  Crossing R. Serbija) - Skopje,Goods trains,Number,1502.0
Annual,Tabanovce(Border  Crossing R. Serbija) - Skopje,Passenger trains,Number,1130.0
Annual,Skopje - Gevgelija(Border Crossing  R. Greece),Goods trains,Number,2739.0
Annual,Skopje - Gevgelija(Border Crossing  R. Greece),Passenger trains,Number,3682.0
Annual,Volkovo(Border Crossing R. Kosovo) - Skopje,Goods trains,Number,112.0
Annual,Volkovo(Border Crossing R. Kosovo) - Skopje,Passenger trains,Number,252.0
Annual,Skopje - Tabanovce(Border  Crossing R. Serbija),Goods trains,Number,1424.0
Annual,Skopje - Tabanovce(Border  Crossing R. Serbija),Passenger trains,Number,1225.0
Annual,Gevgelija(Border Crossing  R. Greece) - Skopje,Goods trains,Number,2955.0
Annual,Gevgelija(Border Crossing  R. Greece) - Skopje,Passenger trains,Number,3250.0
Annual,Skopje - Volkovo(Border Crossing R. Kosovo),Goods trains,Number,134.0
Annual,Skopje - Volkovo(Border Crossing R. Kosovo),Passenger trains,Number,312.0
