Time frequency,Classification of individual consumption by purpose (COICOP),Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Overall index excluding energy,"Index, 2015=100",Albania,130.05 d,130.51 d,131.54 d,131.54 d,131.56 d,131.31 d,131.05 d,131.51 d,132.53 d,132.71 d,132.32 d,132.99 d
Monthly,Overall index excluding energy,"Index, 2015=100",Austria,130.02,130.79,131.74,131.91,132.22,132.4,131.91,131.9,132.51,133.25,133.64,134.57
Monthly,Overall index excluding energy,"Index, 2015=100",Belgium,125.93,127.74,128.05,127.78,128.37,128.78,127.7,130.25,129.51,130.31,130.2,130.79
Monthly,Overall index excluding energy,"Index, 2015=100",Bulgaria,135.87,136.21,136.62,136.45,136.67,137.09,138.82,139.06,137.51,138.56,138.97,139.31
Monthly,Overall index excluding energy,"Index, 2015=100",Switzerland,104.6,104.78,104.7,105.24,105.54,105.43,105.89,105.91,105.63,105.7,105.11,105.03
Monthly,Overall index excluding energy,"Index, 2015=100",Cyprus,110.24,111.23,112.14,112.96,114.39,115.08,115.96,117.32,117.2,117.13,115.84,115.39
Monthly,Overall index excluding energy,"Index, 2015=100",Czechia,145.2,145.6,145.9,147.0,147.1,146.9,148.1,148.6,148.3,148.7,148.7,148.3
Monthly,Overall index excluding energy,"Index, 2015=100",Germany,123.3,124.1,125.0,125.5,126.0,126.5,127.1,127.2,127.3,127.8,126.9,127.8
Monthly,Overall index excluding energy,"Index, 2015=100",Denmark,116.6,117.2,117.3,117.7,117.8,117.9,119.5,118.5,118.5,118.7,118.0,117.7
Monthly,Overall index excluding energy,"Index, 2015=100","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",120.57,121.21,122.26,123.01,123.48,123.87,123.72,124.06,124.16,124.58,124.06,124.47
Monthly,Overall index excluding energy,"Index, 2015=100",Euro area - 19 countries  (2015-2022),120.55,121.19,122.24,122.99,123.45,123.84,123.68,124.01,124.12,124.53,124.02,124.43
Monthly,Overall index excluding energy,"Index, 2015=100",Euro area – 20 countries (from 2023),120.6,121.25,122.3,123.05,123.52,123.91,123.76,124.1,124.19,124.61,124.1,124.51
Monthly,Overall index excluding energy,"Index, 2015=100",Estonia,143.2,144.43,145.14,146.97,147.01,147.6,147.76,148.57,148.78,149.92,148.92,149.04
Monthly,Overall index excluding energy,"Index, 2015=100",Greece,114.8,114.79,117.09,118.28,118.09,119.52,118.61,118.38,120.84,120.98,119.51,119.54
Monthly,Overall index excluding energy,"Index, 2015=100",Spain,120.26,120.78,122.21,122.84,123.2,123.78,123.04,123.18,123.45,123.9,123.65,124.1
Monthly,Overall index excluding energy,"Index, 2015=100","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",124.8,125.42,126.37,127.17,127.62,127.99,127.97,128.27,128.38,128.85,128.46,128.82
Monthly,Overall index excluding energy,"Index, 2015=100",European Union - 27 countries (from 2020),124.3,124.92,125.87,126.67,127.11,127.48,127.46,127.75,127.87,128.33,127.95,128.31
Monthly,Overall index excluding energy,"Index, 2015=100",Finland,116.81,117.28,117.4,117.56,117.78,118.02,118.34,117.88,118.65,119.23,119.15,119.18
Monthly,Overall index excluding energy,"Index, 2015=100",France,117.79,118.52,118.94,119.81,120.15,120.46,120.56,121.51,119.99,120.3,120.08,120.26
Monthly,Overall index excluding energy,"Index, 2015=100",Croatia,129.2,129.32,130.64,132.2,132.75,134.13,135.35,135.77,135.21,136.09,135.57,135.78
Monthly,Overall index excluding energy,"Index, 2015=100",Hungary,164.38,164.87,165.92,167.07,167.66,168.32,169.5,169.74,169.72,169.76,170.43,171.03
Monthly,Overall index excluding energy,"Index, 2015=100",Ireland,113.6,114.9,115.7,115.8,116.6,117.2,117.4,117.6,116.5,116.8,116.1,117.2
Monthly,Overall index excluding energy,"Index, 2015=100",Iceland,121.94,123.75,124.42,124.74,125.87,127.83,128.82,128.52,127.29,127.11,126.65,126.99
Monthly,Overall index excluding energy,"Index, 2015=100",Italy,115.5,115.6,117.3,118.4,118.8,119.1,117.4,117.3,119.0,119.4,119.2,119.3
Monthly,Overall index excluding energy,"Index, 2015=100",Lithuania,149.07,149.65,150.16,151.3,152.13,152.25,152.01,151.34,152.43,152.39,152.77,152.54
Monthly,Overall index excluding energy,"Index, 2015=100",Luxembourg,120.31,121.81,122.18,122.58,123.28,123.54,122.69,124.52,124.46,124.26,123.78,123.99
Monthly,Overall index excluding energy,"Index, 2015=100",Latvia,139.57,139.44,141.48,142.46,143.71,144.39,144.32,143.97,144.79,144.89,145.14,145.5
Monthly,Overall index excluding energy,"Index, 2015=100",Montenegro,135.96 d,136.23 d,136.88 d,137.15 d,137.59 d,138.51 d,139.64 d,140.94 d,140.33 d,139.79 d,139.83 d,139.43 d
Monthly,Overall index excluding energy,"Index, 2015=100",North Macedonia,138.47 d,138.95 d,140.27 d,141.28 d,142.83 d,142.54 d,144.16 d,145.80 d,147.32 d,145.64 d,147.30 d,147.13 d
Monthly,Overall index excluding energy,"Index, 2015=100",Malta,119.24,119.56,120.83,124.44,126.55,128.39,129.08,129.73,128.38,126.95,122.7,122.17
Monthly,Overall index excluding energy,"Index, 2015=100",Netherlands,123.68,124.84,125.68,127.18,127.91,128.26,130.09,130.72,129.63,130.34,128.7,129.18
Monthly,Overall index excluding energy,"Index, 2015=100",Norway,128.4,128.8,129.0,130.1,130.7,131.0,132.0,131.0,131.3,131.5,131.6,131.5
Monthly,Overall index excluding energy,"Index, 2015=100",Poland,143.2,143.5,143.9,145.4,145.6,146.0,146.1,146.2,146.5,147.2,147.6,147.6
Monthly,Overall index excluding energy,"Index, 2015=100",Portugal,117.86,117.91,120.79,122.17,123.67,123.15,122.08,122.03,124.08,123.52,122.15,121.75
Monthly,Overall index excluding energy,"Index, 2015=100",Romania,145.77,146.79,147.4,148.24,148.65,148.68,149.19,149.79,150.79,151.88,152.31,152.68
Monthly,Overall index excluding energy,"Index, 2015=100",Serbia,146.7 d,147.3 d,147.9 d,148.8 d,149.5 d,150.0 d,150.6 d,151.6 d,152.4 d,153.2 d,153.6 d,153.8 d
Monthly,Overall index excluding energy,"Index, 2015=100",Sweden,125.64,126.51,126.6,127.13,128.23,128.06,128.47,128.07,128.56,128.92,128.58,129.07
Monthly,Overall index excluding energy,"Index, 2015=100",Slovenia,125.11,125.73,126.17,126.99,127.67,128.17,127.83,127.44,128.03,128.28,128.59,128.35
Monthly,Overall index excluding energy,"Index, 2015=100",Slovakia,143.44,144.2,144.27,144.81,145.2,145.37,145.87,146.5,146.82,148.08,148.47,147.56
