Time frequency,Currency,Balance of payments item,Sector (ESA 2010),Sector (ESA 2010),Seasonal adjustment,Stock or flow,Geopolitical entity (partner),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Albania,:,:,:,-2298.8,-2602.5,-2823.1,-2869.7,-3144.1,-2982.1,-3828.9,-4267.8,-4539.8
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Austria,-3162.0,-1381.0,824.0,2176.0,2518.0,1065.0,1380.0,4403.0,4461.0,49.0,-8770.0,4005.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Bosnia and Herzegovina,-3977.1,-3629.5,-4025.7,-3668.9,-3624.6,-3792.2,-3845.5,-4071.4,-3204.5,-3666.0,-5206.6,-5245.2
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Belgium,-9629.0,-6622.0,-5302.0,1681.0,1777.0,2355.0,-1803.0,5680.0,8945.0,10808.0,-1330.0,2831.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Bulgaria,-3992.1,-2932.7,-2776.6,-2630.7,-992.4,-773.2,-2706.3,-2908.7,-1941.1,-2886.7,-5083.8,-3927.1
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Switzerland,36781.3,45518.9,49039.3,57292.0,55772.3,56817.1,61198.8,63776.7,55564.9,98126.1,114945.3,115490.9
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Cyprus,-3778.9,-3193.3,-3282.9,-3239.8,-4165.4,-4955.8,-4536.6,-4631.4,-4211.4,-4341.6,-5774.6,-7204.4
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Czechia,4922.5,6449.8,7994.9,6860.3,9561.4,9792.2,7853.1,9340.7,10600.2,4223.3,-920.0,12103.9
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Germany,200916.0,199951.0,218515.0,245055.0,250396.0,257041.0,218739.0,213201.0,177741.0,188037.0,134785.0,225511.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Denmark,11421.9,11644.4,11907.9,12891.8,15107.2,13230.0,10672.1,15314.4,15708.9,11427.2,10543.6,27952.6
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Euro area - 19 countries  (2015-2022),129478.0,198932.0,231643.0,345804.0,360801.0,347514.0,284985.0,308783.0,342038.0,290260.0,:,:
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Estonia,-1280.1,-990.3,-1035.8,-936.0,-888.6,-1062.6,-1322.0,-1013.6,-417.5,-1362.7,-2826.3,-2276.5
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Greece,-20351.0,-19672.0,-20631.0,-17666.0,-17960.0,-19834.0,-22488.0,-22834.0,-18528.0,-26720.0,-39557.0,-33026.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Spain,-27976.0,-12612.0,-21259.0,-20675.0,-13743.0,-21188.0,-28250.0,-25195.0,-7030.0,-21303.0,-60081.0,-34632.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,European Union - 27 countries (from 2020),119319.1,190858.8,212375.8,336970.5,356703.0,325651.5,256306.9,298047.5,347435.4,268183.9,-125666.4,265950.8
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Finland,2420.0,2353.0,1414.0,1910.0,24.0,1653.0,435.0,2502.0,2917.0,2195.0,-232.0,9431.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,France,-54476.0,-46225.0,-41742.0,-24085.0,-26416.0,-37773.0,-41621.0,-36548.0,-51919.0,-65417.0,-132833.0,-76144.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Croatia,-6296.0,-6625.0,-6634.0,-7130.0,-7621.0,-8466.0,-9668.0,-10494.0,-8850.0,-11403.0,-18359.0,-17520.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Hungary,2159.1,2677.6,1485.0,3675.8,3519.5,1301.7,-2439.6,-3823.5,-1410.0,-4569.8,-15319.1,57.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Ireland,36895.0,34506.0,40731.0,113394.0,106165.0,108244.0,108595.0,117265.0,142445.0,168415.0,205133.0,156059.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Iceland,76.2,44.2,-39.7,-222.4,-718.5,-1351.0,-1240.3,-751.6,-520.8,-886.9,-1415.8,-1939.5
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Italy,18275.0,37390.0,48218.0,51671.0,57780.0,51335.0,45175.0,58380.0,66523.0,46408.0,-26228.0,33898.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Lithuania,-1119.9,-990.0,-1042.0,-2130.0,-1891.4,-2051.8,-2846.7,-2349.4,-407.8,-2898.9,-7343.4,-4548.8
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Luxembourg,311.0,1340.0,1748.0,1022.0,1904.0,1869.0,1685.0,1581.0,1392.0,649.0,-487.0,-480.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Latvia,-2803.0,-2766.0,-2692.0,-2341.0,-2067.0,-2456.0,-2536.0,-2623.0,-1554.0,-2765.0,-4123.0,-3649.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Montenegro,:,-1328.0,-1377.0,-1463.0,-1658.0,-1860.0,-2050.0,-2065.0,-1643.0,-1914.0,-2671.0,-2986.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,North Macedonia,-2007.9,-1863.3,-1855.8,-1822.8,-1812.9,-1787.3,-1736.2,-1948.8,-1803.6,-2336.9,-3481.6,-2634.1
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Malta,-1099.5,-1134.3,-1212.3,-1977.0,-1983.2,-1359.6,-1113.7,-1288.8,-1099.0,-1997.9,-3177.4,-2446.6
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Netherlands,61212.0,65625.0,65402.0,67741.0,70966.0,75131.0,76588.0,63861.0,61913.0,64955.0,55000.0,85108.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Norway,55895.1,47954.2,39525.8,24742.2,11762.1,20652.9,28659.0,14063.9,1842.4,54527.8,159744.6,72582.8
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Poland,-9452.4,-3750.9,-7905.9,-2121.2,-1339.7,-4818.2,-11254.2,-4357.2,6979.1,-7684.3,-22023.2,4746.3
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Portugal,-9346.0,-8127.0,-9670.0,-9746.0,-10000.0,-13297.0,-15665.0,-16316.0,-12620.0,-16040.0,-26466.0,-25459.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Romania,-9452.9,-6069.2,-6695.8,-8134.0,-9653.3,-12804.1,-15338.8,-17844.7,-18944.6,-23116.1,-32085.9,-29006.3
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Serbia,-5635.0,-4160.0,-4029.0,-3936.0,-3423.0,-3997.0,-5244.0,-5680.0,-5200.0,-5923.0,-9352.0,-6606.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Sweden,17076.6,15418.5,14300.2,12986.3,10519.4,11762.0,11110.4,20174.6,22675.4,25772.3,22291.0,30932.4
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Slovenia,-81.3,714.1,1175.1,1476.1,1523.7,1616.6,1272.4,1297.6,2333.3,882.3,-2459.0,430.5
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Slovakia,2505.8,2937.7,2520.1,603.3,1120.5,54.0,-189.2,-1512.1,-241.3,-1462.3,-7229.2,290.3
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Türkiye,-50905.9,-61722.1,-50275.0,-44152.5,-36013.9,-51370.2,-33861.9,-15027.1,-33199.5,-24850.1,-85472.1,-79815.6
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,United Kingdom,-131392.9,-140191.1,-150244.8,-159801.5,-161974.4,-154399.2,-154642.9,-148839.4,:,:,:,:
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Kosovo*,-2050.1,-1995.6,-1933.0,-2109.3,-2290.7,-2464.2,-2737.7,-2840.2,-2573.2,-3567.0,-4287.2,-4598.3
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Credit,Rest of the world,Albania,:,:,:,771.3,713.6,797.2,986.2,906.7,793.5,1264.8,1932.7,1834.3
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Credit,Rest of the world,Austria,124660.0,123601.0,126080.0,129074.0,131419.0,139951.0,149035.0,152509.0,139300.0,167841.0,198489.0,197588.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Credit,Rest of the world,Bosnia and Herzegovina,3102.1,3397.3,3500.9,3679.4,3936.7,4775.8,5326.8,5204.7,4818.0,6498.5,8368.7,7928.5
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Credit,Rest of the world,Belgium,234042.0,235488.0,233881.0,225961.0,243154.0,266109.0,276853.0,286100.0,264102.0,338517.0,404550.0,360706.0
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Credit,Rest of the world,Bulgaria,19675.2,21218.1,21026.6,21915.4,23100.5,26948.0,27742.2,29119.5,27272.1,34405.1,47145.7,43540.3
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Credit,Rest of the world,Switzerland,263824.5,285731.5,254723.1,281294.9,295580.1,291010.7,292628.5,306323.8,309629.6,370757.7,453088.6,452116.2
Annual,Million euro,Goods,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Credit,Rest of the world,Cyprus,3039.6,2712.5,2668.7,2877.8,2597.3,2784.7,3688.6,3079.8,2969.0,3745.0,5026.9,4340.3
