Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Industry (except construction),Hour,Austria,6.7,7.4,4.9
Annual,Industry (except construction),Hour,Belgium,15.6,15.9,10.3
Annual,Industry (except construction),Hour,Bulgaria,6.4,9.0,6.5
Annual,Industry (except construction),Hour,Cyprus,5.6,3.7,1.3
Annual,Industry (except construction),Hour,Czechia,5.8,6.8 b,5.4
Annual,Industry (except construction),Hour,Germany,7.1,7.5,5.8
Annual,Industry (except construction),Hour,Denmark,10.5,4.7,2.6
Annual,Industry (except construction),Hour,Estonia,5.2,15.8,4.6
Annual,Industry (except construction),Hour,Greece,3.6,4.0,5.0
Annual,Industry (except construction),Hour,Spain,7.1,8.4,2.6
Annual,Industry (except construction),Hour,European Union - 27 countries (from 2020),7.6,8.1,6.0
Annual,Industry (except construction),Hour,European Union - 28 countries (2013-2020),7.1,7.9,:
Annual,Industry (except construction),Hour,Finland,7.0,5.4,4.6
Annual,Industry (except construction),Hour,France,9.9,10.5,8.1
Annual,Industry (except construction),Hour,Croatia,3.9,6.0,5.1
Annual,Industry (except construction),Hour,Hungary,4.3,3.8,3.1 b
Annual,Industry (except construction),Hour,Ireland,:,19.0,6.9
Annual,Industry (except construction),Hour,Italy,5.7,7.0,7.4
Annual,Industry (except construction),Hour,Lithuania,4.6,4.9,4.8
Annual,Industry (except construction),Hour,Luxembourg,13.2,13.7,4.7
Annual,Industry (except construction),Hour,Latvia,4.3,4.3,2.8
Annual,Industry (except construction),Hour,North Macedonia,:,3.4,4.7
Annual,Industry (except construction),Hour,Malta,11.8,13.3,10.6
Annual,Industry (except construction),Hour,Netherlands,10.6,10.5,8.5
Annual,Industry (except construction),Hour,Norway,8.2,6.7,8.3
Annual,Industry (except construction),Hour,Poland,6.8,6.7,4.9
Annual,Industry (except construction),Hour,Portugal,14.5,9.2,7.3
Annual,Industry (except construction),Hour,Romania,8.4,9.5,7.7
Annual,Industry (except construction),Hour,Serbia,:,:,4.7
Annual,Industry (except construction),Hour,Sweden,6.7,7.0 b,6.1 b
Annual,Industry (except construction),Hour,Slovenia,14.3,11.5,7.6
Annual,Industry (except construction),Hour,Slovakia,9.2,7.1,5.7
Annual,Industry (except construction),Hour,United Kingdom,3.1,6.0,:
Annual,Construction,Hour,Austria,5.5,5.2,4.6
Annual,Construction,Hour,Belgium,8.8,9.4,6.3
Annual,Construction,Hour,Bulgaria,7.4,3.9,2.3
Annual,Construction,Hour,Cyprus,2.3,2.5,1.9
Annual,Construction,Hour,Czechia,6.2,8.6 b,6.6
Annual,Construction,Hour,Germany,4.7,5.6,5.0
Annual,Construction,Hour,Denmark,39.7,4.7,1.4
Annual,Construction,Hour,Estonia,7.7,4.7,4.6
Annual,Construction,Hour,Greece,1.6,2.0,1.5
Annual,Construction,Hour,Spain,7.0,6.8,2.6
Annual,Construction,Hour,European Union - 27 countries (from 2020),7.1,6.6,5.6
Annual,Construction,Hour,European Union - 28 countries (2013-2020),7.1,7.1,:
Annual,Construction,Hour,Finland,6.1,4.9,3.8
Annual,Construction,Hour,France,7.5,7.7,7.0
Annual,Construction,Hour,Croatia,3.4,3.4,2.4
Annual,Construction,Hour,Hungary,4.4,4.0,3.0 b
Annual,Construction,Hour,Ireland,:,16.0,8.1
Annual,Construction,Hour,Italy,5.1,6.8,10.8
Annual,Construction,Hour,Lithuania,5.0,3.3,4.2
Annual,Construction,Hour,Luxembourg,10.1,6.2,5.5
Annual,Construction,Hour,Latvia,3.3,8.1,4.4
Annual,Construction,Hour,North Macedonia,:,1.5,0.9
Annual,Construction,Hour,Malta,0.8,1.2,1.6
Annual,Construction,Hour,Netherlands,9.5,9.5,10.9
Annual,Construction,Hour,Norway,6.3,7.6,8.7
Annual,Construction,Hour,Poland,5.0,5.8,4.3
Annual,Construction,Hour,Portugal,11.3,9.0,5.2
Annual,Construction,Hour,Romania,4.8,4.8,3.0
Annual,Construction,Hour,Serbia,:,:,1.5
Annual,Construction,Hour,Sweden,5.7,5.1 b,4.5 b
Annual,Construction,Hour,Slovenia,15.3,2.6,2.2
Annual,Construction,Hour,Slovakia,6.5,7.3,10.5
Annual,Construction,Hour,United Kingdom,7.6,9.8,:
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Austria,5.5,5.7,3.6
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Belgium,10.3,11.7,6.6
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Bulgaria,5.4,5.3,3.4
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Cyprus,4.7,5.2,2.1
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Czechia,5.3,6.1 b,4.7
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Germany,5.5,4.7,16.6
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Denmark,8.9,7.1,1.1
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Estonia,3.9,5.4,4.5
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Greece,2.5,3.4,2.5
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Spain,5.8,6.5,2.7
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,European Union - 27 countries (from 2020),6.7,6.7,8.2
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,European Union - 28 countries (2013-2020),6.3,5.8,:
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Finland,5.1,5.2,3.9
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,France,8.3,7.3,6.2
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Croatia,0.5,5.2,3.2
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Hungary,5.3,5.2,11.0 b
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Ireland,:,15.7,8.9
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Italy,6.6,7.2,10.9
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Lithuania,5.2,3.5,4.6
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Luxembourg,9.8,13.6,11.5
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Latvia,2.8,5.1,3.7
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,North Macedonia,:,7.6,2.9
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Malta,7.6,6.9,3.3
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Netherlands,10.7,7.4,10.1
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Norway,7.4,7.8,5.5
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Poland,7.4,9.1,5.0
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Portugal,15.9,11.5,8.5
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Romania,7.8,6.9,9.3
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Serbia,:,:,2.5
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Sweden,7.5,5.9 b,5.0 b
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Slovenia,10.9,6.8,8.4
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,Slovakia,7.1,5.4,4.7
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Hour,United Kingdom,5.0,3.4,:
Annual,Information and communication; financial and insurance activities,Hour,Austria,13.1,15.0,13.9
Annual,Information and communication; financial and insurance activities,Hour,Belgium,17.6,13.9,9.9
Annual,Information and communication; financial and insurance activities,Hour,Bulgaria,10.1,14.0,7.7
Annual,Information and communication; financial and insurance activities,Hour,Cyprus,12.2,9.2,17.1
Annual,Information and communication; financial and insurance activities,Hour,Czechia,13.8,14.7 b,9.7
Annual,Information and communication; financial and insurance activities,Hour,Germany,11.8,9.9,11.3
Annual,Information and communication; financial and insurance activities,Hour,Denmark,14.3,21.4,2.8
Annual,Information and communication; financial and insurance activities,Hour,Estonia,17.5,16.6,12.2
Annual,Information and communication; financial and insurance activities,Hour,Greece,5.8,19.1,4.9
Annual,Information and communication; financial and insurance activities,Hour,Spain,11.7,14.6,5.6
Annual,Information and communication; financial and insurance activities,Hour,European Union - 27 countries (from 2020),12.6,12.7,11.0
Annual,Information and communication; financial and insurance activities,Hour,European Union - 28 countries (2013-2020),12.0,12.8,:
Annual,Information and communication; financial and insurance activities,Hour,Finland,10.3,6.2,4.9
Annual,Information and communication; financial and insurance activities,Hour,France,12.9,12.4,11.4
Annual,Information and communication; financial and insurance activities,Hour,Croatia,9.8,9.8,13.1
Annual,Information and communication; financial and insurance activities,Hour,Hungary,9.7,8.9,12.2 b
Annual,Information and communication; financial and insurance activities,Hour,Ireland,:,11.3,12.4
Annual,Information and communication; financial and insurance activities,Hour,Italy,18.5,16.8,19.6
Annual,Information and communication; financial and insurance activities,Hour,Lithuania,8.8,9.6,12.8
Annual,Information and communication; financial and insurance activities,Hour,Luxembourg,13.7,12.6,8.1
Annual,Information and communication; financial and insurance activities,Hour,Latvia,7.3,9.0,6.1
Annual,Information and communication; financial and insurance activities,Hour,North Macedonia,:,5.6,4.8
Annual,Information and communication; financial and insurance activities,Hour,Malta,9.6,12.2,10.9
Annual,Information and communication; financial and insurance activities,Hour,Netherlands,9.4,13.5,15.8
Annual,Information and communication; financial and insurance activities,Hour,Norway,11.1,9.4,14.5
Annual,Information and communication; financial and insurance activities,Hour,Poland,13.4,12.9,10.0
Annual,Information and communication; financial and insurance activities,Hour,Portugal,15.9,13.7,12.3
Annual,Information and communication; financial and insurance activities,Hour,Romania,9.6,12.7,11.5
Annual,Information and communication; financial and insurance activities,Hour,Serbia,:,:,4.8
