Time frequency,Type of household,Income situation in relation to the risk of poverty threshold,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2023.0
Annual,Total,Total,Percentage of total population,Total,Females,Albania,:,:,:,:,:,:,:,4.2,4.9,3.2,3.1,:
Annual,Total,Total,Percentage of total population,Total,Females,Austria,1.2,1.3,0.9,0.9,0.8,1.0,0.9,0.6,0.5,0.4,0.9,0.4
Annual,Total,Total,Percentage of total population,Total,Females,Belgium,0.2,1.4,2.1,1.9,1.9,2.2,1.7,1.1,0.9,0.7 b,0.7,0.7
Annual,Total,Total,Percentage of total population,Total,Females,Bulgaria,24.4,24.4,22.2,21.3,20.5,18.5,18.4 b,16.8,15.4,13.3,12.8,9.1
Annual,Total,Total,Percentage of total population,Total,Females,Switzerland,0.1,0.1,0.1,0.0 n,0.2 b,0.0 n,0.0 n,0.0 n,0.0,0.1,0.0 n,:
Annual,Total,Total,Percentage of total population,Total,Females,Cyprus,1.1,1.2,1.0,1.2,1.1,1.0,0.8,0.7,0.6,0.5,0.4,:
Annual,Total,Total,Percentage of total population,Total,Females,Czechia,0.7,0.7,0.9,0.9,0.7,0.5,0.4,0.4,0.5,0.4,0.3,:
Annual,Total,Total,Percentage of total population,Total,Females,Germany,1.7,0.9,1.0,0.2,0.0 n,0.1,0.1,0.1,0.1,0.2,0.0 b,:
Annual,Total,Total,Percentage of total population,Total,Females,Denmark,0.0,0.5,0.4,0.8,0.6,0.7,0.6,0.4,0.4,0.2,0.3,:
Annual,Total,Total,Percentage of total population,Total,Females,Euro area - 19 countries  (2015-2022),1.0,0.9,0.9,0.8,0.6,0.6,0.6,0.6,0.5,0.6,0.5,:
Annual,Total,Total,Percentage of total population,Total,Females,Estonia,10.7,9.4,8.4,7.9,6.9 b,6.4,6.3,5.5,4.8,4.3,3.6,:
Annual,Total,Total,Percentage of total population,Total,Females,Greece,1.3,1.0,0.5,0.6,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3
Annual,Total,Total,Percentage of total population,Total,Females,Spain,0.0,0.0 n,0.1,0.1,0.1,0.1,0.3,0.1,0.3,0.4,0.4,:
Annual,Total,Total,Percentage of total population,Total,Females,European Union - 27 countries (2007-2013),3.3,3.0,2.8,2.7,2.5,2.3,2.3,2.3 e,2.0 e,1.8 e,:,:
Annual,Total,Total,Percentage of total population,Total,Females,European Union - 27 countries (from 2020),3.6 e,3.4 e,3.2 e,3.0 e,2.8 e,2.6 e,2.6 e,2.3 e,2.1 e,1.9 e,1.8,:
Annual,Total,Total,Percentage of total population,Total,Females,European Union - 28 countries (2013-2020),3.3,3.0,2.8,2.7,2.5,2.3,2.3,2.3 e,2.0 e,1.8 e,:,:
Annual,Total,Total,Percentage of total population,Total,Females,Finland,0.6,0.6,0.5,0.4,0.5,0.4,0.4,0.3,0.2,0.2,0.2,:
Annual,Total,Total,Percentage of total population,Total,Females,France,0.6,0.6,0.5,0.6,0.5,0.4,0.6,0.6,0.4,0.4,0.7 b,0.8
Annual,Total,Total,Percentage of total population,Total,Females,Croatia,0.7,1.7,2.4 b,1.6,1.8,1.8,1.5,1.6,1.2,1.1,1.4,:
Annual,Total,Total,Percentage of total population,Total,Females,Hungary,6.4,4.8,4.8,4.7,4.7,3.6,4.0,3.7,3.7,2.8,1.4,:
Annual,Total,Total,Percentage of total population,Total,Females,Ireland,0.1,4.1,1.8,2.2,0.1,0.1,0.1,0.1,0.4,0.2 b,0.3 bu,:
Annual,Total,Total,Percentage of total population,Total,Females,Iceland,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Total,Total,Percentage of total population,Total,Females,Italy,0.2,0.4,0.5,1.1,0.7,0.6,0.4,0.6,0.5,0.7,0.7,0.8
Annual,Total,Total,Percentage of total population,Total,Females,Lithuania,16.4,16.4,15.4,13.6,12.1,11.4,12.4,11.2,10.0,9.5,7.5,3.8
Annual,Total,Total,Percentage of total population,Total,Females,Luxembourg,0.3,0.1,0.6,0.1,0.1,0.0,0.5 b,0.0 n,0.0,0.0 n,0.0 b,:
Annual,Total,Total,Percentage of total population,Total,Females,Latvia,15.6,15.4,15.8,14.6,13.9,13.0,12.1,10.1,9.2,8.5,7.7,5.7
Annual,Total,Total,Percentage of total population,Total,Females,Montenegro,:,:,:,3.5,3.4,4.3,4.3,2.2,0.8,0.8,0.9,:
Annual,Total,Total,Percentage of total population,Total,Females,North Macedonia,12.6,11.0,12.2,10.0,9.6,5.8,5.6,4.2,4.0,3.7,3.2,:
Annual,Total,Total,Percentage of total population,Total,Females,Malta,0.1,0.2,0.1,0.2,0.0 n,0.0 n,0.0 n,0.0,0.2,0.2,0.1,0.0
Annual,Total,Total,Percentage of total population,Total,Females,Netherlands,0.0 n,0.0 n,0.0 n,0.0,0.0 n,0.0 n,0.1 b,0.1,0.0 n,0.0 n,0.0 n,:
Annual,Total,Total,Percentage of total population,Total,Females,Norway,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Total,Total,Percentage of total population,Total,Females,Poland,4.1,3.8,3.2,3.1,2.9,2.6,2.3,2.3,1.8,1.5,1.2,0.6
Annual,Total,Total,Percentage of total population,Total,Females,Portugal,1.7,1.3,0.9,0.9,1.0,1.0,1.1,1.0,0.8,0.6,0.5,0.4
Annual,Total,Total,Percentage of total population,Total,Females,Romania,40.4,38.2,36.4,35.2,33.7,32.4,32.2,29.3,27.4,24.1,22.9,15.1
Annual,Total,Total,Percentage of total population,Total,Females,Serbia,:,:,:,4.6,4.1,4.2,4.4,4.1,2.8,2.7,1.9,:
Annual,Total,Total,Percentage of total population,Total,Females,Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 n,0.0,0.0,0.0,:
Annual,Total,Total,Percentage of total population,Total,Females,Slovenia,0.3,0.4,0.3,0.4,0.4,0.3,0.3,0.2,0.1,0.1,0.1,0.2
Annual,Total,Total,Percentage of total population,Total,Females,Slovakia,1.1,1.3,1.1,0.7,1.2,1.4,1.3,1.4,1.5,1.7,0.9,:
Annual,Total,Total,Percentage of total population,Total,Females,Türkiye,:,8.9,9.2,8.9,7.7,6.7,5.3,4.7,4.4,3.8,3.6,2.1
Annual,Total,Total,Percentage of total population,Total,Females,United Kingdom,0.4,0.1,0.3 b,0.2,0.4,0.5,0.3,0.5 bu,0.5 u,:,:,:
Annual,Total,Total,Percentage of total population,Total,Males,Albania,:,:,:,:,:,:,:,4.5,5.6,3.5,3.3,:
Annual,Total,Total,Percentage of total population,Total,Males,Austria,1.2,1.2,1.2,1.1,1.1,1.1,0.8,0.6,0.8,0.5,0.8,0.5
Annual,Total,Total,Percentage of total population,Total,Males,Belgium,0.4,1.3,2.1,2.1,2.4,2.4,1.6,1.1,0.9,0.6 b,0.8,0.8
Annual,Total,Total,Percentage of total population,Total,Males,Bulgaria,24.8,25.2,22.7,21.4,20.8,18.7,18.5 b,16.6,15.3,14.1,13.6,10.0
Annual,Total,Total,Percentage of total population,Total,Males,Switzerland,0.1,0.0 n,0.0 n,0.0 n,0.2 b,0.1,0.0,0.0 n,0.1,0.1,0.0 n,:
Annual,Total,Total,Percentage of total population,Total,Males,Cyprus,1.2,1.1,0.9,1.0,0.9,0.7,0.6,0.5,0.4,0.4,0.5,:
Annual,Total,Total,Percentage of total population,Total,Males,Czechia,0.7,0.7,1.0,0.9,0.7,0.6,0.5,0.4,0.5,0.5,0.3,:
Annual,Total,Total,Percentage of total population,Total,Males,Germany,1.6,0.8,0.9,0.1,0.0 n,0.1,0.1,0.1,0.0 n,0.3,0.0 b,:
Annual,Total,Total,Percentage of total population,Total,Males,Denmark,0.0,0.7,0.3,0.5,0.4,0.5,0.5,0.6,0.4,0.3,0.6,:
Annual,Total,Total,Percentage of total population,Total,Males,Euro area - 19 countries  (2015-2022),1.0,1.0,0.9,0.8,0.7,0.7,0.7,0.6,0.5,0.6,0.5,:
Annual,Total,Total,Percentage of total population,Total,Males,Estonia,11.5,9.9,8.8,8.2,7.7 b,7.4,7.5,6.9,5.9,5.1,4.4,:
Annual,Total,Total,Percentage of total population,Total,Males,Greece,1.4,0.9,0.5,0.7,0.5,0.4,0.4,0.3,0.2,0.3,0.3,0.3
Annual,Total,Total,Percentage of total population,Total,Males,Spain,0.0,0.0 n,0.1,0.1,0.1,0.1,0.3,0.1,0.2,0.4,0.4,:
Annual,Total,Total,Percentage of total population,Total,Males,European Union - 27 countries (2007-2013),3.3,3.1,2.9,2.7,2.6,2.4,2.4,2.4 e,2.1 e,1.9 e,:,:
Annual,Total,Total,Percentage of total population,Total,Males,European Union - 27 countries (from 2020),3.7 e,3.5 e,3.3 e,3.1 e,2.9 e,2.7 e,2.7 e,2.5 e,2.2 e,2.1 e,1.8,:
Annual,Total,Total,Percentage of total population,Total,Males,European Union - 28 countries (2013-2020),3.3,3.1,2.9,2.7,2.6,2.4,2.4,2.4 e,2.1 e,1.9 e,:,:
Annual,Total,Total,Percentage of total population,Total,Males,Finland,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,:
Annual,Total,Total,Percentage of total population,Total,Males,France,0.7,0.6,0.6,0.5,0.5,0.5,0.6,0.7,0.6,0.6,0.6 b,0.8
Annual,Total,Total,Percentage of total population,Total,Males,Croatia,0.5,1.8,2.6 b,1.9,2.2,2.1,2.0,1.7,1.4,1.2,1.4,:
Annual,Total,Total,Percentage of total population,Total,Males,Hungary,6.8,5.2,5.6,5.9,6.0,4.4,4.7,4.1,4.1,3.3,1.7,:
Annual,Total,Total,Percentage of total population,Total,Males,Ireland,0.4,4.6,2.0,2.1,0.2,0.1,0.2,0.1,0.2,0.2 b,0.2 bu,:
Annual,Total,Total,Percentage of total population,Total,Males,Iceland,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Total,Total,Percentage of total population,Total,Males,Italy,0.2,0.5,0.6,1.2,0.8,0.7,0.5,0.7,0.6,0.8,0.7,0.9
Annual,Total,Total,Percentage of total population,Total,Males,Lithuania,15.9,17.1,16.3,13.6,12.9,13.5,15.2,13.3,11.3,10.6,7.7,6.4
Annual,Total,Total,Percentage of total population,Total,Males,Luxembourg,0.7,0.1,0.7,0.1,0.1,0.0 n,0.5 b,0.2,0.0 n,0.2,0.1 b,:
