Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Unit of measure,Geopolitical entity (reporting)\Time,2005.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,European Union - 27 countries (from 2020),6.9
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,European Union - 28 countries (2013-2020),5.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Finland,5.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,France,7.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Hungary,5.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Ireland,7.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Italy,7.9
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Lithuania,4.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Luxembourg,8.9
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Latvia,3.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Malta,10.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Netherlands,7.9
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Norway,9.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Poland,7.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Portugal,7.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Romania,4.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Sweden,7.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Slovenia,7.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Slovakia,10.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,United Kingdom,2.3
Annual,Financial intermediation,Hour,Austria,19.8
Annual,Financial intermediation,Hour,Belgium,15.1
Annual,Financial intermediation,Hour,Bulgaria,7.0
Annual,Financial intermediation,Hour,Cyprus,8.8
Annual,Financial intermediation,Hour,Czechia,27.7
Annual,Financial intermediation,Hour,Germany,14.2
Annual,Financial intermediation,Hour,Denmark,9.9
Annual,Financial intermediation,Hour,Estonia,26.5
Annual,Financial intermediation,Hour,Greece,7.3
Annual,Financial intermediation,Hour,Spain,11.7
Annual,Financial intermediation,Hour,European Union - 27 countries (from 2020),14.6
Annual,Financial intermediation,Hour,European Union - 28 countries (2013-2020),13.3
Annual,Financial intermediation,Hour,Finland,11.1
Annual,Financial intermediation,Hour,France,17.4
Annual,Financial intermediation,Hour,Hungary,7.9
Annual,Financial intermediation,Hour,Ireland,8.3
Annual,Financial intermediation,Hour,Italy,18.3
Annual,Financial intermediation,Hour,Lithuania,12.7
Annual,Financial intermediation,Hour,Luxembourg,13.4
Annual,Financial intermediation,Hour,Latvia,7.4
Annual,Financial intermediation,Hour,Malta,8.6
Annual,Financial intermediation,Hour,Netherlands,12.5
Annual,Financial intermediation,Hour,Norway,17.9
Annual,Financial intermediation,Hour,Poland,14.9
Annual,Financial intermediation,Hour,Portugal,10.4
Annual,Financial intermediation,Hour,Romania,8.8
Annual,Financial intermediation,Hour,Sweden,7.3
Annual,Financial intermediation,Hour,Slovenia,15.8
Annual,Financial intermediation,Hour,Slovakia,22.5
Annual,Financial intermediation,Hour,United Kingdom,5.6
Annual,Real estate; other service activities,Hour,Austria,4.0
Annual,Real estate; other service activities,Hour,Belgium,11.5
Annual,Real estate; other service activities,Hour,Bulgaria,13.3
Annual,Real estate; other service activities,Hour,Cyprus,7.9
Annual,Real estate; other service activities,Hour,Czechia,10.1
Annual,Real estate; other service activities,Hour,Germany,8.9
Annual,Real estate; other service activities,Hour,Denmark,15.2
Annual,Real estate; other service activities,Hour,Estonia,8.6
Annual,Real estate; other service activities,Hour,Greece,4.2
Annual,Real estate; other service activities,Hour,Spain,6.3
Annual,Real estate; other service activities,Hour,European Union - 27 countries (from 2020),8.4
Annual,Real estate; other service activities,Hour,European Union - 28 countries (2013-2020),7.6
Annual,Real estate; other service activities,Hour,Finland,7.8
Annual,Real estate; other service activities,Hour,France,8.4
Annual,Real estate; other service activities,Hour,Hungary,4.4
Annual,Real estate; other service activities,Hour,Ireland,9.3
Annual,Real estate; other service activities,Hour,Italy,7.2
Annual,Real estate; other service activities,Hour,Lithuania,6.2
Annual,Real estate; other service activities,Hour,Luxembourg,13.6
Annual,Real estate; other service activities,Hour,Latvia,4.9
Annual,Real estate; other service activities,Hour,Malta,13.9
Annual,Real estate; other service activities,Hour,Netherlands,11.5
Annual,Real estate; other service activities,Hour,Norway,9.0
Annual,Real estate; other service activities,Hour,Poland,5.2
Annual,Real estate; other service activities,Hour,Portugal,6.8
Annual,Real estate; other service activities,Hour,Romania,6.7
Annual,Real estate; other service activities,Hour,Sweden,14.3
Annual,Real estate; other service activities,Hour,Slovenia,11.1
Annual,Real estate; other service activities,Hour,Slovakia,6.5
Annual,Real estate; other service activities,Hour,United Kingdom,5.7
