Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Unit of measure,Geopolitical entity (reporting)\Time,2005.0
Annual,Industry (except construction),Hour,Austria,9.8
Annual,Industry (except construction),Hour,Belgium,16.0
Annual,Industry (except construction),Hour,Bulgaria,8.0
Annual,Industry (except construction),Hour,Cyprus,6.3
Annual,Industry (except construction),Hour,Czechia,14.6
Annual,Industry (except construction),Hour,Germany,12.5
Annual,Industry (except construction),Hour,Denmark,11.9
Annual,Industry (except construction),Hour,Estonia,6.1
Annual,Industry (except construction),Hour,Greece,6.6
Annual,Industry (except construction),Hour,Spain,12.5
Annual,Industry (except construction),Hour,European Union - 27 countries (from 2020),12.7
Annual,Industry (except construction),Hour,European Union - 28 countries (2013-2020),12.1
Annual,Industry (except construction),Hour,Finland,12.7
Annual,Industry (except construction),Hour,France,14.3
Annual,Industry (except construction),Hour,Hungary,7.9
Annual,Industry (except construction),Hour,Ireland,16.8
Annual,Industry (except construction),Hour,Italy,10.7
Annual,Industry (except construction),Hour,Lithuania,9.3
Annual,Industry (except construction),Hour,Luxembourg,26.2
Annual,Industry (except construction),Hour,Latvia,7.7
Annual,Industry (except construction),Hour,Malta,22.2
Annual,Industry (except construction),Hour,Netherlands,14.4
Annual,Industry (except construction),Hour,Norway,18.8
Annual,Industry (except construction),Hour,Poland,9.3
Annual,Industry (except construction),Hour,Portugal,12.2
Annual,Industry (except construction),Hour,Romania,10.0
Annual,Industry (except construction),Hour,Sweden,23.9
Annual,Industry (except construction),Hour,Slovenia,18.2
Annual,Industry (except construction),Hour,Slovakia,19.0
Annual,Industry (except construction),Hour,United Kingdom,6.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Austria,10.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Belgium,15.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Bulgaria,10.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Cyprus,9.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Czechia,15.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Germany,11.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Denmark,11.3
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Estonia,8.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Greece,7.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Spain,12.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,European Union - 27 countries (from 2020),12.6
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,European Union - 28 countries (2013-2020),11.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Finland,11.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,France,14.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Hungary,8.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Ireland,14.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Italy,12.6
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Lithuania,9.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Luxembourg,19.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Latvia,7.2
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Malta,18.4
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Netherlands,14.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Norway,15.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Poland,10.8
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Portugal,12.1
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Romania,9.5
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Sweden,17.0
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Slovenia,16.9
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,Slovakia,17.7
Annual,All NACE activities covered by CVTS (Continuing Vocational Training),Hour,United Kingdom,7.9
Annual,Construction,Hour,Austria,5.6
Annual,Construction,Hour,Belgium,8.4
Annual,Construction,Hour,Bulgaria,5.7
Annual,Construction,Hour,Cyprus,4.3
Annual,Construction,Hour,Czechia,16.1
Annual,Construction,Hour,Germany,8.1
Annual,Construction,Hour,Denmark,8.6
Annual,Construction,Hour,Estonia,6.1
Annual,Construction,Hour,Greece,2.2
Annual,Construction,Hour,Spain,9.9
Annual,Construction,Hour,European Union - 27 countries (from 2020),9.5
Annual,Construction,Hour,European Union - 28 countries (2013-2020),9.5
Annual,Construction,Hour,Finland,10.5
Annual,Construction,Hour,France,10.4
Annual,Construction,Hour,Hungary,5.9
Annual,Construction,Hour,Ireland,12.2
Annual,Construction,Hour,Italy,7.8
Annual,Construction,Hour,Lithuania,6.6
Annual,Construction,Hour,Luxembourg,10.8
Annual,Construction,Hour,Latvia,5.1
Annual,Construction,Hour,Malta,8.8
Annual,Construction,Hour,Netherlands,15.3
Annual,Construction,Hour,Norway,11.0
Annual,Construction,Hour,Poland,7.4
Annual,Construction,Hour,Portugal,7.1
Annual,Construction,Hour,Romania,8.0
Annual,Construction,Hour,Sweden,8.9
Annual,Construction,Hour,Slovenia,6.4
Annual,Construction,Hour,Slovakia,10.9
Annual,Construction,Hour,United Kingdom,9.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Austria,8.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Belgium,15.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Bulgaria,11.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Cyprus,8.8
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Czechia,13.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Germany,7.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Denmark,7.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Estonia,8.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Greece,6.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Spain,15.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,European Union - 27 countries (from 2020),11.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,European Union - 28 countries (2013-2020),9.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Finland,8.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,France,12.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Hungary,9.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Ireland,13.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Italy,12.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Lithuania,7.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Luxembourg,16.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Latvia,6.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Malta,17.9
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Netherlands,10.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Norway,13.8
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Poland,11.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Portugal,13.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Romania,7.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Sweden,10.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Slovenia,13.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Slovakia,17.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,United Kingdom,4.7
Annual,Financial intermediation,Hour,Austria,32.3
Annual,Financial intermediation,Hour,Belgium,19.5
Annual,Financial intermediation,Hour,Bulgaria,11.9
Annual,Financial intermediation,Hour,Cyprus,14.7
Annual,Financial intermediation,Hour,Czechia,47.1
Annual,Financial intermediation,Hour,Germany,22.8
Annual,Financial intermediation,Hour,Denmark,11.3
Annual,Financial intermediation,Hour,Estonia,42.4
Annual,Financial intermediation,Hour,Greece,12.8
Annual,Financial intermediation,Hour,Spain,19.9
Annual,Financial intermediation,Hour,European Union - 27 countries (from 2020),23.4
Annual,Financial intermediation,Hour,European Union - 28 countries (2013-2020),22.2
Annual,Financial intermediation,Hour,Finland,18.6
Annual,Financial intermediation,Hour,France,27.1
Annual,Financial intermediation,Hour,Hungary,13.1
Annual,Financial intermediation,Hour,Ireland,14.7
Annual,Financial intermediation,Hour,Italy,28.2
Annual,Financial intermediation,Hour,Lithuania,20.8
Annual,Financial intermediation,Hour,Luxembourg,23.3
Annual,Financial intermediation,Hour,Latvia,12.0
