Time frequency,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Females,Percentage,Austria,17.51,18.29,18.3,19.07,19.58,20.03,20.3,21.54
Annual,Females,Percentage,Belgium,17.93 d,17.79 d,: bd,: d,: d,17.87 bd,17.52 d,17.89 d
Annual,Females,Percentage,Bulgaria,3.63,2.81,4.36,4.59,4.51,4.71,4.11,4.34
Annual,Females,Percentage,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Females,Percentage,Cyprus,18.95,19.49,21.95,22.7,23.77,22.67,20.55,23.8
Annual,Females,Percentage,Czechia,4.69,5.39,6.02,6.16,6.02,5.5,4.1,3.75
Annual,Females,Percentage,Germany,37.19,37.36,37.17,37.63,38.52,39.11,38.57,39.63
Annual,Females,Percentage,Denmark,58.37,57.12,55.33,55.59,55.65,55.31,54.1,53.54
Annual,Females,Percentage,Estonia,23.96,25.23,25.72,27.22,25.81,25.56,26.62,27.17
Annual,Females,Percentage,Greece,:,:,:,0.00 d,10.36 d,:,:,:
Annual,Females,Percentage,Spain,33.68,34.47,36.03,37.82,39.21,40.71,35.38,41.31
Annual,Females,Percentage,European Union - 27 countries (from 2020),16.60 d,17.03 d,17.33 d,17.69 d,18.38 d,18.63 d,17.58 d,18.71 d
Annual,Females,Percentage,Finland,27.7,30.46,31.09,33.31,35.62,36.94,36.78,35.21
Annual,Females,Percentage,France,4.29,4.21,4.44,4.32 p,4.17 p,3.96 p,3.49 p,3.65 p
Annual,Females,Percentage,Croatia,19.68,20.05,21.84,22.97,22.53,26.16,27.5,29.31
Annual,Females,Percentage,Hungary,4.7,4.99,5.17,5.41,4.98,4.83,4.24,4.19
Annual,Females,Percentage,Ireland,:,:,7.89,26.68 b,24.55,17.85,2.17,15.49
Annual,Females,Percentage,Iceland,46.66,47.2,47.16,47.76,49.13,47.69,48.71,49.6
Annual,Females,Percentage,Italy,5.44,5.31,5.37,5.24,5.27,5.27,4.48,4.82
Annual,Females,Percentage,Liechtenstein,:,:,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Females,Percentage,Lithuania,21.94,23.17,24.8,28.24,29.8,29.6,30.54,34.85
Annual,Females,Percentage,Luxembourg,1.33,1.67,1.26,1.38,1.38,1.26,0.88,0.87
Annual,Females,Percentage,Latvia,25.93,27.62,29.06,29.92,30.72,30.79,31.62,33.65
Annual,Females,Percentage,Montenegro,:,17.49,:,:,:,:,:,:
Annual,Females,Percentage,North Macedonia,8.75,4.58,10.77,12.99,12.85,7.67,10.92,14.91
Annual,Females,Percentage,Malta,6.03,6.28 d,6.00 d,6.76 d,6.53 d,6.56 d,5.74 d,6.41 dp
Annual,Females,Percentage,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Females,Percentage,Norway,55.03,55.13,56.51,57.58,58.38,58.39,59.18,58.7
Annual,Females,Percentage,Poland,2.71,3.29,2.49,2.52,2.71,2.43,2.09,2.33
Annual,Females,Percentage,Portugal,:,:,: d,: d,:,:,:,:
Annual,Females,Percentage,Romania,6.56,6.32,7.73,7.84,8.85,8.33,5.84,7.83
Annual,Females,Percentage,Serbia,18.84,22.23,23.2,25.17,26.49,28.16,26.66,28.65
Annual,Females,Percentage,Sweden,44.81,45.09,45.24,46.06,47.16,47.46,47.54,46.89
Annual,Females,Percentage,Slovenia,37.65,38.53,41.02,42.53,44.64,45.35,45.03,46.31
Annual,Females,Percentage,Slovakia,4.72,5.53,5.14,5.25,5.1,5.29,4.62,4.28
Annual,Females,Percentage,Türkiye,0.05,0.31,0.25,0.19,0.21 d,0.16,0.26,0.72
Annual,Males,Percentage,Austria,16.31,18.26,18.32,18.9,19.56,20.31,20.3,21.33
Annual,Males,Percentage,Belgium,17.77 d,17.61 d,: bd,: d,: d,17.79 bd,17.51 d,17.76 d
Annual,Males,Percentage,Bulgaria,3.58,2.86,4.33,4.54,4.34,4.43,4.11,4.11
Annual,Males,Percentage,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Males,Percentage,Cyprus,19.51,19.69,22.71,24.96,25.61,24.33,22.01,24.66
Annual,Males,Percentage,Czechia,4.29,4.93,5.58,5.68,5.7,5.15,3.71,3.38
Annual,Males,Percentage,Germany,37.2,37.27,37.2,37.68,38.51,39.19,38.63,39.66
Annual,Males,Percentage,Denmark,58.61,57.26,55.55,56.32,55.98,55.23,54.5,54.05
Annual,Males,Percentage,Estonia,24.29,25.0,24.59,26.48,26.15,26.11,26.48,26.75
Annual,Males,Percentage,Greece,:,:,:,0.00 d,10.29 d,:,:,:
Annual,Males,Percentage,Spain,34.3,35.15,36.77,38.56,40.0,41.41,36.17,42.19
Annual,Males,Percentage,European Union - 27 countries (from 2020),16.56 d,17.04 d,17.34 d,17.71 d,18.40 d,18.67 d,17.62 d,18.75 d
Annual,Males,Percentage,Finland,27.66,30.47,31.23,33.43,35.2,37.04,37.03,35.72
Annual,Males,Percentage,France,3.91,3.88,4.05,4.01 p,3.96 p,3.71 p,3.23 p,3.38 p
Annual,Males,Percentage,Croatia,19.98,20.99,22.25,23.48,22.17,26.68,27.82,29.28
Annual,Males,Percentage,Hungary,4.54,4.91,5.13,5.14,4.89,4.71,4.24,4.11
Annual,Males,Percentage,Ireland,:,:,7.66,26.46 b,25.46,18.55,2.25,15.7
Annual,Males,Percentage,Iceland,46.45,46.34,49.28,48.32,46.9,49.57,48.95,48.69
Annual,Males,Percentage,Italy,5.41,5.37,5.31,5.23,5.21,5.17,4.41,4.69
Annual,Males,Percentage,Liechtenstein,:,:,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Males,Percentage,Lithuania,22.21,23.01,24.88,28.35,30.03,30.05,30.59,35.84
Annual,Males,Percentage,Luxembourg,1.25,1.26,1.35,1.24,1.27,0.92,0.9,0.86
Annual,Males,Percentage,Latvia,25.71,26.96,29.2,29.4,30.33,30.87,31.26,33.08
Annual,Males,Percentage,Montenegro,:,18.22,:,:,:,:,:,:
Annual,Males,Percentage,North Macedonia,8.71,11.14,10.69,12.71,13.42,7.84,11.93,14.31
Annual,Males,Percentage,Malta,6.51,6.20 d,6.10 d,6.36 d,6.82 d,6.58 d,5.90 d,5.80 dp
Annual,Males,Percentage,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Males,Percentage,Norway,55.13,55.41,56.1,57.04,57.71,58.18,59.26,59.18
Annual,Males,Percentage,Poland,2.36,3.01,2.24,2.28,2.43,2.19,1.92,2.16
Annual,Males,Percentage,Portugal,:,:,: d,: d,:,:,:,:
Annual,Males,Percentage,Romania,6.51,6.25,7.52,7.58,8.48,7.93,5.52,7.41
Annual,Males,Percentage,Serbia,19.23,22.27,23.03,25.07,26.13,28.15,26.89,28.98
Annual,Males,Percentage,Sweden,45.25,45.29,45.51,46.49,47.43,47.68,47.62,47.68
Annual,Males,Percentage,Slovenia,37.78,38.94,41.13,42.59,44.0,45.71,45.7,46.73
Annual,Males,Percentage,Slovakia,4.32,5.21,4.66,4.81,4.66,4.96,4.44,3.96
Annual,Males,Percentage,Türkiye,0.06,0.31,0.32,0.24,0.27 d,0.22,0.33,0.78
Annual,Total,Percentage,Austria,16.89,18.28,18.31,18.98,19.57,20.17,20.3,21.43
Annual,Total,Percentage,Belgium,17.85 d,17.70 d,45.39 bd,45.59 d,46.26 d,17.83 bd,17.52 d,17.82 d
Annual,Total,Percentage,Bulgaria,3.61,2.83,4.34,4.56,4.42,4.57,4.11,4.23
Annual,Total,Percentage,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Total,Percentage,Cyprus,19.24,19.59,22.34,23.86,24.71,23.52,21.3,24.25
Annual,Total,Percentage,Czechia,4.48,5.15,5.79,5.91,5.86,5.32,3.9,3.56
Annual,Total,Percentage,Germany,37.19,37.32,37.19,37.66,38.52,39.15,38.6,39.65
Annual,Total,Percentage,Denmark,58.49,57.2,55.45,55.97,55.82,55.27,54.31,53.8
