Time frequency,Unit of measure,Classification of activities for time use,Sex,Geopolitical entity (reporting)\Time,2000.0,2010.0
Annual,Time spent (hh:mm),Productive unpaid secondary activities,Total,Belgium,0:12,0:22
Annual,Time spent (hh:mm),Productive unpaid secondary activities,Total,Bulgaria,0:15,:
Annual,Time spent (hh:mm),Productive unpaid secondary activities,Total,Germany,0:21,0:31
Annual,Time spent (hh:mm),Productive unpaid secondary activities,Total,Estonia,0:24,0:24
Annual,Time spent (hh:mm),Productive unpaid secondary activities,Total,Spain,:,0:15
Annual,Time spent (hh:mm),Productive unpaid secondary activities,Total,Finland,0:18,0:28
Annual,Time spent (hh:mm),Productive unpaid secondary activities,Total,France,0:05,0:13
Annual,Time spent (hh:mm),Productive unpaid secondary activities,Total,Italy,0:11,0:17
Annual,Time spent (hh:mm),Productive unpaid secondary activities,Total,Lithuania,0:11,:
Annual,Time spent (hh:mm),Productive unpaid secondary activities,Total,Latvia,0:13,:
Annual,Time spent (hh:mm),Productive unpaid secondary activities,Total,Norway,0:13,0:14
Annual,Time spent (hh:mm),Productive unpaid secondary activities,Total,Poland,0:09,0:13
Annual,Time spent (hh:mm),Productive unpaid secondary activities,Total,Slovenia,0:13,:
Annual,Time spent (hh:mm),Productive unpaid secondary activities,Total,United Kingdom,0:26,0:31
Annual,Time spent (hh:mm),Paid and unpaid productive main activities,Total,Belgium,5:47,5:41
Annual,Time spent (hh:mm),Paid and unpaid productive main activities,Total,Bulgaria,7:01,:
Annual,Time spent (hh:mm),Paid and unpaid productive main activities,Total,Germany,6:11,5:58
Annual,Time spent (hh:mm),Paid and unpaid productive main activities,Total,Estonia,7:39,6:36
Annual,Time spent (hh:mm),Paid and unpaid productive main activities,Total,Spain,6:36,6:27
Annual,Time spent (hh:mm),Paid and unpaid productive main activities,Total,Finland,6:25,6:01
Annual,Time spent (hh:mm),Paid and unpaid productive main activities,Total,France,6:38,6:07
Annual,Time spent (hh:mm),Paid and unpaid productive main activities,Total,Italy,6:40,6:43
Annual,Time spent (hh:mm),Paid and unpaid productive main activities,Total,Lithuania,7:40,:
Annual,Time spent (hh:mm),Paid and unpaid productive main activities,Total,Latvia,7:16,:
Annual,Time spent (hh:mm),Paid and unpaid productive main activities,Total,Norway,6:30,6:27
Annual,Time spent (hh:mm),Paid and unpaid productive main activities,Total,Poland,6:49,6:55
Annual,Time spent (hh:mm),Paid and unpaid productive main activities,Total,Slovenia,7:08,:
Annual,Time spent (hh:mm),Paid and unpaid productive main activities,Total,United Kingdom,6:36,6:05
