Time frequency,Unit of measure,Traffic and transport measurement,Type of schedule,Transport coverage,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Austria,197543.0,196459.0,217785.0,216621.0,223421.2,227642.8,237700.6,228223.4,165013.2,194820.2,188182.2,190293.5
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,11518.7,16195.0,:
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Belgium,963614.7,957012.2,1014585.6,1126234.1,1088734.0,1251173.0,1416428.0,1397513.0,1584640.0,2083632.0,1729332.0,1519106.0
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Bulgaria,18529.1,19574.9,23072.8,31520.0,32976.9,34806.7,29867.3,28748.6,25844.0,25686.0,26457.0,21957.3
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Switzerland,398715.2,400028.4,407703.6,401924.6,428495.5,486164.2,493201.9,459877.0,272379.7,341402.7,364304.6,359146.6
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Cyprus,27581.0,28327.9,28095.0,27626.2,28430.0,30880.4,32186.1,32360.1,24006.6,25149.5,25141.9,26702.4
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Czechia,58707.0,58147.0,58312.0,58445.0,77704.0,89278.5,90525.8,93669.1,71095.4,92726.4,73300.5,68786.7
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Germany,4218146.4,4231473.9,4336163.0,4325665.0,4467022.0,4773359.0,4842716.0,4684570.8,4497805.1,5289724.0,4938859.1,4592645.6
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Denmark,166283.0,148980.0,208590.0,210570.0,200133.0,235937.0,242068.0,244997.0,181967.0,246912.0,265889.0,252198.0
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Estonia,23760.0,20862.0,19432.0,16034.0,13868.0,11232.9,11474.6,10865.6,9131.7,10533.1,10789.1,8349.1
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Greece,72191.6,67262.4,60324.4,62331.9,69949.5,69073.6,96889.2,105403.4,72990.4,108850.4,116835.1,100231.9
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Spain,593523.0,580847.0,593902.0,594393.0,639237.0,742442.5,806518.3,815612.4,599930.3,782676.9,844705.7,995699.7
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,European Union - 27 countries (from 2020),11212391.3,11348327.0,12377851.1,12524664.1,12979930.9,13954132.4,14243667.3,13739927.9,12426326.6,15045040.0,13862510.1,13141089.1
Annual,Tonne,Freight and mail loaded and unloaded,Total,Total transport,Finland,195630.8,192512.4,190586.3,182089.0,186470.8,188721.6,196809.5,225242.3,146547.4,178606.1,160726.7,175259.2
