Time frequency,Level of activity limitation,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Limited but not severely or not limited at all,Percentage,Austria,27.3
Annual,Limited but not severely or not limited at all,Percentage,Belgium,18.6
Annual,Limited but not severely or not limited at all,Percentage,Bulgaria,4.0
Annual,Limited but not severely or not limited at all,Percentage,Cyprus,14.5
Annual,Limited but not severely or not limited at all,Percentage,Czechia,9.2
Annual,Limited but not severely or not limited at all,Percentage,Germany,13.7
Annual,Limited but not severely or not limited at all,Percentage,Denmark,37.9
Annual,Limited but not severely or not limited at all,Percentage,Estonia,19.9
Annual,Limited but not severely or not limited at all,Percentage,Greece,24.7
Annual,Limited but not severely or not limited at all,Percentage,Spain,19.6
Annual,Limited but not severely or not limited at all,Percentage,European Union (aggregate changing according to the context),19.1 e
Annual,Limited but not severely or not limited at all,Percentage,Finland,45.0
Annual,Limited but not severely or not limited at all,Percentage,France,25.8
Annual,Limited but not severely or not limited at all,Percentage,Croatia,19.5
Annual,Limited but not severely or not limited at all,Percentage,Hungary,19.3
Annual,Limited but not severely or not limited at all,Percentage,Ireland,27.4
Annual,Limited but not severely or not limited at all,Percentage,Lithuania,13.9
Annual,Limited but not severely or not limited at all,Percentage,Luxembourg,32.9
Annual,Limited but not severely or not limited at all,Percentage,Latvia,13.7
Annual,Limited but not severely or not limited at all,Percentage,Montenegro,6.4
Annual,Limited but not severely or not limited at all,Percentage,Malta,15.0
Annual,Limited but not severely or not limited at all,Percentage,Netherlands,36.0
Annual,Limited but not severely or not limited at all,Percentage,Poland,8.2
Annual,Limited but not severely or not limited at all,Percentage,Portugal,13.2
Annual,Limited but not severely or not limited at all,Percentage,Romania,13.6
Annual,Limited but not severely or not limited at all,Percentage,Serbia,9.9
Annual,Limited but not severely or not limited at all,Percentage,Sweden,41.3
Annual,Limited but not severely or not limited at all,Percentage,Slovenia,16.0
Annual,Limited but not severely or not limited at all,Percentage,Slovakia,15.8
Annual,Limited but not severely or not limited at all,Percentage,Kosovo*,6.3
Annual,None,Percentage,Austria,26.1
Annual,None,Percentage,Belgium,16.5
Annual,None,Percentage,Bulgaria,3.7
Annual,None,Percentage,Cyprus,14.5
Annual,None,Percentage,Czechia,9.4
Annual,None,Percentage,Germany,12.3
Annual,None,Percentage,Denmark,34.7
Annual,None,Percentage,Estonia,18.7
Annual,None,Percentage,Greece,24.1
Annual,None,Percentage,Spain,18.9
Annual,None,Percentage,European Union (aggregate changing according to the context),17.8 e
Annual,None,Percentage,Finland,41.2
Annual,None,Percentage,France,25.1
Annual,None,Percentage,Croatia,23.6
Annual,None,Percentage,Hungary,19.2
Annual,None,Percentage,Ireland,26.6
Annual,None,Percentage,Lithuania,13.6
Annual,None,Percentage,Luxembourg,31.0
Annual,None,Percentage,Latvia,13.2
Annual,None,Percentage,Montenegro,6.6
Annual,None,Percentage,Malta,14.4
Annual,None,Percentage,Netherlands,34.2
Annual,None,Percentage,Poland,7.9
Annual,None,Percentage,Portugal,11.8
Annual,None,Percentage,Romania,12.9
Annual,None,Percentage,Serbia,9.5
Annual,None,Percentage,Sweden,39.3
Annual,None,Percentage,Slovenia,15.4
Annual,None,Percentage,Slovakia,13.1
Annual,None,Percentage,Kosovo*,5.9
Annual,Severe,Percentage,Austria,33.0
Annual,Severe,Percentage,Belgium,26.8
Annual,Severe,Percentage,Bulgaria,41.8
Annual,Severe,Percentage,Cyprus,: u
Annual,Severe,Percentage,Czechia,: u
Annual,Severe,Percentage,Germany,: u
Annual,Severe,Percentage,Denmark,56.2
Annual,Severe,Percentage,Estonia,29.1
Annual,Severe,Percentage,Greece,26.7
Annual,Severe,Percentage,Spain,30.0 u
Annual,Severe,Percentage,European Union (aggregate changing according to the context),29.4 e
Annual,Severe,Percentage,Finland,76.6
Annual,Severe,Percentage,France,33.9
Annual,Severe,Percentage,Croatia,: u
Annual,Severe,Percentage,Hungary,: u
Annual,Severe,Percentage,Ireland,: u
Annual,Severe,Percentage,Lithuania,: u
Annual,Severe,Percentage,Luxembourg,56.9 u
Annual,Severe,Percentage,Latvia,19.0 u
Annual,Severe,Percentage,Montenegro,: u
Annual,Severe,Percentage,Malta,: u
Annual,Severe,Percentage,Netherlands,51.6
Annual,Severe,Percentage,Poland,: u
Annual,Severe,Percentage,Portugal,13.4 u
Annual,Severe,Percentage,Romania,: u
Annual,Severe,Percentage,Serbia,14.8 u
Annual,Severe,Percentage,Sweden,56.2
Annual,Severe,Percentage,Slovenia,: u
Annual,Severe,Percentage,Slovakia,31.0
Annual,Severe,Percentage,Kosovo*,: u
Annual,Some or severe,Percentage,Austria,32.7
Annual,Some or severe,Percentage,Belgium,27.9
Annual,Some or severe,Percentage,Bulgaria,16.3
Annual,Some or severe,Percentage,Cyprus,16.2 u
Annual,Some or severe,Percentage,Czechia,10.2 u
Annual,Some or severe,Percentage,Germany,23.2
Annual,Some or severe,Percentage,Denmark,48.3
Annual,Some or severe,Percentage,Estonia,25.8
Annual,Some or severe,Percentage,Greece,28.6
Annual,Some or severe,Percentage,Spain,25.6
Annual,Some or severe,Percentage,European Union (aggregate changing according to the context),26.7 e
Annual,Some or severe,Percentage,Finland,57.7
Annual,Some or severe,Percentage,France,30.1
Annual,Some or severe,Percentage,Croatia,2.5 u
Annual,Some or severe,Percentage,Hungary,18.9 u
Annual,Some or severe,Percentage,Ireland,33.0 u
Annual,Some or severe,Percentage,Lithuania,15.5
Annual,Some or severe,Percentage,Luxembourg,45.8
Annual,Some or severe,Percentage,Latvia,16.4
Annual,Some or severe,Percentage,Montenegro,: u
Annual,Some or severe,Percentage,Malta,20.2
Annual,Some or severe,Percentage,Netherlands,42.9
Annual,Some or severe,Percentage,Poland,10.8
Annual,Some or severe,Percentage,Portugal,16.6
Annual,Some or severe,Percentage,Romania,17.6
Annual,Some or severe,Percentage,Serbia,14.1
Annual,Some or severe,Percentage,Sweden,49.7
Annual,Some or severe,Percentage,Slovenia,19.0 u
Annual,Some or severe,Percentage,Slovakia,25.2
Annual,Some or severe,Percentage,Kosovo*,: u
Annual,Some,Percentage,Austria,32.6
Annual,Some,Percentage,Belgium,28.4
Annual,Some,Percentage,Bulgaria,6.5 u
Annual,Some,Percentage,Cyprus,: u
Annual,Some,Percentage,Czechia,8.3 u
Annual,Some,Percentage,Germany,22.2
Annual,Some,Percentage,Denmark,47.3
Annual,Some,Percentage,Estonia,24.5
Annual,Some,Percentage,Greece,29.0
Annual,Some,Percentage,Spain,24.7
Annual,Some,Percentage,European Union (aggregate changing according to the context),26.1 e
Annual,Some,Percentage,Finland,54.6
Annual,Some,Percentage,France,28.8
Annual,Some,Percentage,Croatia,: u
Annual,Some,Percentage,Hungary,20.0 u
Annual,Some,Percentage,Ireland,32.3 u
Annual,Some,Percentage,Lithuania,16.4
Annual,Some,Percentage,Luxembourg,43.3
Annual,Some,Percentage,Latvia,15.9
Annual,Some,Percentage,Montenegro,: u
Annual,Some,Percentage,Malta,20.2
Annual,Some,Percentage,Netherlands,41.8
Annual,Some,Percentage,Poland,11.0
Annual,Some,Percentage,Portugal,17.1
Annual,Some,Percentage,Romania,17.7 u
Annual,Some,Percentage,Serbia,13.9
Annual,Some,Percentage,Sweden,48.4
Annual,Some,Percentage,Slovenia,21.3 u
Annual,Some,Percentage,Slovakia,23.4
Annual,Some,Percentage,Kosovo*,: u
Annual,Total,Percentage,Austria,27.5
Annual,Total,Percentage,Belgium,19.1
Annual,Total,Percentage,Bulgaria,5.9
Annual,Total,Percentage,Cyprus,14.6
Annual,Total,Percentage,Czechia,9.7
Annual,Total,Percentage,Germany,14.1
Annual,Total,Percentage,Denmark,38.2
Annual,Total,Percentage,Estonia,20.6
Annual,Total,Percentage,Greece,24.8
Annual,Total,Percentage,Spain,20.0
Annual,Total,Percentage,European Union (aggregate changing according to the context),19.6 e
Annual,Total,Percentage,Finland,46.5
Annual,Total,Percentage,France,26.1
Annual,Total,Percentage,Croatia,18.7
Annual,Total,Percentage,Hungary,19.2
Annual,Total,Percentage,Ireland,27.6
Annual,Total,Percentage,Lithuania,13.6
Annual,Total,Percentage,Luxembourg,33.7
Annual,Total,Percentage,Latvia,13.9
Annual,Total,Percentage,Montenegro,6.2
Annual,Total,Percentage,Malta,15.1
Annual,Total,Percentage,Netherlands,35.5
Annual,Total,Percentage,Poland,8.2
Annual,Total,Percentage,Portugal,13.1
Annual,Total,Percentage,Romania,14.1
Annual,Total,Percentage,Serbia,10.1
Annual,Total,Percentage,Sweden,42.0
Annual,Total,Percentage,Slovenia,16.0
Annual,Total,Percentage,Slovakia,16.9
Annual,Total,Percentage,Kosovo*,6.1
