Time frequency,Business trend indicator,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Austria,120.9,114.8,112.7,115.2,114.6,114.8,120.8,124.0,115.6,114.5,112.3,107.4 p
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Bosnia and Herzegovina,90.5,:,:,:,:,:,:,:,:,:,:,:
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Belgium,82.7,81.8,81.5,75.3,83.0,81.9,84.2,83.9,83.6,86.7,83.5,80.2
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Bulgaria,90.7,84.1 p,80.4 p,81.6 p,88.9 p,90.8 p,76.3 p,98.1,81.8,87.4,81.2,84.1 p
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Switzerland,99.5,102.3,102.3,105.5,105.8,102.5,114.5,130.0,120.7,115.7,:,:
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Cyprus,97.7,97.1,102.5,99.6,103.0,99.0,124.6,111.0,106.8,101.1,103.4,108.0
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Czechia,84.3,86.3,83.0,84.0,82.0,85.6,85.3,87.0,84.3,87.2,84.0,85.1
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Germany,88.4,86.8,81.9,80.8,81.5,82.0,83.0,80.7,81.6,81.6,76.7,81.0
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Denmark,103.0,104.6,101.5,104.0,109.9,103.6,111.2,101.7,110.5,100.6,108.2,105.2
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Euro area - 19 countries  (2015-2022),92.8,93.5,90.7,90.6,90.5,91.0,92.5,92.3,92.7,:,:,:
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Euro area – 20 countries (from 2023),92.9,93.5,90.7,90.6,90.5,90.7,92.2,92.3,92.5,91.6,90.4,91.4
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Estonia,114.8,112.2,103.6,106.7,105.8,100.3,97.9,90.2,92.1,89.8,93.5,101.4
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Greece,93.0 p,100.5 p,96.9 p,98.2 p,109.0 p,106.2 p,114.9 p,112.4 p,104.2 p,93.7 p,96.7 p,105.3 p
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Spain,99.9 p,100.7 p,101.0 p,99.3 p,97.8 p,99.9 p,99.6 p,99.4 p,99.2 p,100.0 p,99.6 p,98.2 p
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",European Union - 27 countries (from 2020),94.6,95.1,92.2,92.4,92.4,92.4,93.6,93.6,93.9,92.7,92.0,93.2
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Finland,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",France,94.4,95.6,93.2,93.3,94.0,95.7,97.7,98.1,98.3,98.0,97.4,97.4
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Croatia,91.9,88.2,84.5,82.3,81.3,92.9,88.3,99.7,97.5,103.4,98.1,105.8
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Hungary,74.9,80.0,77.5,77.0,75.2,77.2,75.7,78.7,76.1,75.5,77.8,82.0
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Ireland,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Italy,91.0,92.9,90.6,92.3,90.3,93.1,91.8,93.6,95.6,92.3,93.8,95.3
Monthly,Production (volume),MIG - energy (except section E),"Index, 2021=100 (SCA)",Lithuania,97.5,112.5,90.9,91.2,116.6,109.1,102.8,110.0,107.8,104.1,81.5,91.4
