Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,From 1 to 15 years,Percentage,Austria,7.5
Annual,From 1 to 15 years,Percentage,Belgium,13.1
Annual,From 1 to 15 years,Percentage,Bulgaria,36.7
Annual,From 1 to 15 years,Percentage,Switzerland,6.5
Annual,From 1 to 15 years,Percentage,Cyprus,24.1
Annual,From 1 to 15 years,Percentage,Czechia,7.0
Annual,From 1 to 15 years,Percentage,Germany,6.1
Annual,From 1 to 15 years,Percentage,Denmark,4.8
Annual,From 1 to 15 years,Percentage,Estonia,3.9
Annual,From 1 to 15 years,Percentage,Greece,34.3
Annual,From 1 to 15 years,Percentage,Spain,20.2
Annual,From 1 to 15 years,Percentage,European Union - 27 countries (from 2020),13.2
Annual,From 1 to 15 years,Percentage,Finland,3.6
Annual,From 1 to 15 years,Percentage,France,12.8
Annual,From 1 to 15 years,Percentage,Croatia,5.9
Annual,From 1 to 15 years,Percentage,Hungary,25.0
Annual,From 1 to 15 years,Percentage,Ireland,13.0
Annual,From 1 to 15 years,Percentage,Italy,13.6
Annual,From 1 to 15 years,Percentage,Lithuania,10.0
Annual,From 1 to 15 years,Percentage,Luxembourg,8.1
Annual,From 1 to 15 years,Percentage,Latvia,9.7
Annual,From 1 to 15 years,Percentage,Malta,10.6
Annual,From 1 to 15 years,Percentage,Netherlands,5.6
Annual,From 1 to 15 years,Percentage,Poland,4.9
Annual,From 1 to 15 years,Percentage,Portugal,14.6
Annual,From 1 to 15 years,Percentage,Romania,42.7
Annual,From 1 to 15 years,Percentage,Sweden,3.4
Annual,From 1 to 15 years,Percentage,Slovenia,3.1
Annual,From 1 to 15 years,Percentage,Slovakia,13.7
Annual,From 1 to 5 years,Percentage,Austria,6.1
Annual,From 1 to 5 years,Percentage,Belgium,12.3
Annual,From 1 to 5 years,Percentage,Bulgaria,32.1
Annual,From 1 to 5 years,Percentage,Switzerland,8.4
Annual,From 1 to 5 years,Percentage,Cyprus,20.3
Annual,From 1 to 5 years,Percentage,Czechia,5.8
Annual,From 1 to 5 years,Percentage,Germany,6.3
Annual,From 1 to 5 years,Percentage,Denmark,5.1
Annual,From 1 to 5 years,Percentage,Estonia,3.9
Annual,From 1 to 5 years,Percentage,Greece,32.1
Annual,From 1 to 5 years,Percentage,Spain,20.4
Annual,From 1 to 5 years,Percentage,European Union - 27 countries (from 2020),11.7
Annual,From 1 to 5 years,Percentage,Finland,3.9
Annual,From 1 to 5 years,Percentage,France,11.6
Annual,From 1 to 5 years,Percentage,Croatia,3.3
Annual,From 1 to 5 years,Percentage,Hungary,28.6
Annual,From 1 to 5 years,Percentage,Ireland,10.6
Annual,From 1 to 5 years,Percentage,Italy,13.4
Annual,From 1 to 5 years,Percentage,Lithuania,5.8
Annual,From 1 to 5 years,Percentage,Luxembourg,6.7
Annual,From 1 to 5 years,Percentage,Latvia,7.9
Annual,From 1 to 5 years,Percentage,Malta,12.6
Annual,From 1 to 5 years,Percentage,Netherlands,6.0
Annual,From 1 to 5 years,Percentage,Poland,3.6
Annual,From 1 to 5 years,Percentage,Portugal,11.3
Annual,From 1 to 5 years,Percentage,Romania,35.5
Annual,From 1 to 5 years,Percentage,Sweden,3.5
Annual,From 1 to 5 years,Percentage,Slovenia,2.4
Annual,From 1 to 5 years,Percentage,Slovakia,12.6
Annual,From 12 to 15 years,Percentage,Austria,6.5
Annual,From 12 to 15 years,Percentage,Belgium,13.1
Annual,From 12 to 15 years,Percentage,Bulgaria,44.7
Annual,From 12 to 15 years,Percentage,Switzerland,6.2
Annual,From 12 to 15 years,Percentage,Cyprus,27.8
Annual,From 12 to 15 years,Percentage,Czechia,7.1
Annual,From 12 to 15 years,Percentage,Germany,5.9
Annual,From 12 to 15 years,Percentage,Denmark,5.7
Annual,From 12 to 15 years,Percentage,Estonia,4.8
Annual,From 12 to 15 years,Percentage,Greece,35.8
Annual,From 12 to 15 years,Percentage,Spain,19.9
Annual,From 12 to 15 years,Percentage,European Union - 27 countries (from 2020),14.6
Annual,From 12 to 15 years,Percentage,Finland,3.6
Annual,From 12 to 15 years,Percentage,France,13.1
Annual,From 12 to 15 years,Percentage,Croatia,7.5
Annual,From 12 to 15 years,Percentage,Hungary,21.9
Annual,From 12 to 15 years,Percentage,Ireland,13.8
Annual,From 12 to 15 years,Percentage,Italy,14.8
Annual,From 12 to 15 years,Percentage,Lithuania,16.9
Annual,From 12 to 15 years,Percentage,Luxembourg,9.5
Annual,From 12 to 15 years,Percentage,Latvia,12.0
Annual,From 12 to 15 years,Percentage,Malta,11.1
Annual,From 12 to 15 years,Percentage,Netherlands,3.8
Annual,From 12 to 15 years,Percentage,Poland,5.8
Annual,From 12 to 15 years,Percentage,Portugal,16.4
Annual,From 12 to 15 years,Percentage,Romania,51.3
Annual,From 12 to 15 years,Percentage,Sweden,3.3
Annual,From 12 to 15 years,Percentage,Slovenia,4.4
Annual,From 12 to 15 years,Percentage,Slovakia,16.1
Annual,From 6 to 11 years,Percentage,Austria,9.5
Annual,From 6 to 11 years,Percentage,Belgium,13.6
Annual,From 6 to 11 years,Percentage,Bulgaria,34.7
Annual,From 6 to 11 years,Percentage,Switzerland,5.1
Annual,From 6 to 11 years,Percentage,Cyprus,25.3
Annual,From 6 to 11 years,Percentage,Czechia,8.0
Annual,From 6 to 11 years,Percentage,Germany,6.0
Annual,From 6 to 11 years,Percentage,Denmark,4.1
Annual,From 6 to 11 years,Percentage,Estonia,3.2
Annual,From 6 to 11 years,Percentage,Greece,34.7
Annual,From 6 to 11 years,Percentage,Spain,20.3
Annual,From 6 to 11 years,Percentage,European Union - 27 countries (from 2020),13.7
Annual,From 6 to 11 years,Percentage,Finland,3.5
Annual,From 6 to 11 years,Percentage,France,13.3
Annual,From 6 to 11 years,Percentage,Croatia,6.4
Annual,From 6 to 11 years,Percentage,Hungary,23.8
Annual,From 6 to 11 years,Percentage,Ireland,14.1
Annual,From 6 to 11 years,Percentage,Italy,12.9
Annual,From 6 to 11 years,Percentage,Lithuania,9.1
Annual,From 6 to 11 years,Percentage,Luxembourg,8.2
Annual,From 6 to 11 years,Percentage,Latvia,9.6
Annual,From 6 to 11 years,Percentage,Malta,8.7
Annual,From 6 to 11 years,Percentage,Netherlands,6.4
Annual,From 6 to 11 years,Percentage,Poland,5.4
Annual,From 6 to 11 years,Percentage,Portugal,15.6
Annual,From 6 to 11 years,Percentage,Romania,39.7
Annual,From 6 to 11 years,Percentage,Sweden,3.5
Annual,From 6 to 11 years,Percentage,Slovenia,2.9
Annual,From 6 to 11 years,Percentage,Slovakia,13.3
Annual,Less than 16 years,Percentage,Austria,7.5
Annual,Less than 16 years,Percentage,Belgium,12.8
Annual,Less than 16 years,Percentage,Bulgaria,36.5
Annual,Less than 16 years,Percentage,Switzerland,6.4
Annual,Less than 16 years,Percentage,Cyprus,23.4
Annual,Less than 16 years,Percentage,Czechia,6.9
Annual,Less than 16 years,Percentage,Germany,6.0
Annual,Less than 16 years,Percentage,Denmark,4.8
Annual,Less than 16 years,Percentage,Estonia,3.8
Annual,Less than 16 years,Percentage,Greece,33.9
Annual,Less than 16 years,Percentage,Spain,19.7
Annual,Less than 16 years,Percentage,European Union - 27 countries (from 2020),13.0
Annual,Less than 16 years,Percentage,Finland,3.7
Annual,Less than 16 years,Percentage,France,12.7
Annual,Less than 16 years,Percentage,Croatia,5.8
Annual,Less than 16 years,Percentage,Hungary,24.7
Annual,Less than 16 years,Percentage,Ireland,12.7
Annual,Less than 16 years,Percentage,Italy,13.5
Annual,Less than 16 years,Percentage,Lithuania,9.6
Annual,Less than 16 years,Percentage,Luxembourg,8.1
Annual,Less than 16 years,Percentage,Latvia,9.4
Annual,Less than 16 years,Percentage,Malta,10.1
Annual,Less than 16 years,Percentage,Netherlands,5.4
Annual,Less than 16 years,Percentage,Poland,4.8
Annual,Less than 16 years,Percentage,Portugal,14.0
Annual,Less than 16 years,Percentage,Romania,42.5
