Time frequency,Unit of measure,Air pollutants and greenhouse gases,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand tonnes,Methane,Egypt,2058.1,2088.5,2202.8,2742.9,2886.7,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Methane,Israel,262.5,276.7,286.9,298.0,304.0,320.5,322.3,332.3,333.6,339.8,340.7,348.0,349.5,352.6,349.8,351.7,362.2,373.1
Annual,Thousand tonnes,Methane,Morocco,10909.3 d,10951.4,:,11083.0,:,11841.9,:,12547.5,:,12801.8,:,13590.8,:,14094.5,:,13376.4,:,:
Annual,Thousand tonnes,Methane,Palestine*,15.1 de,33.4 de,33.6 de,33.9 de,34.0 de,35.7 de,38.2 de,38.5 de,38.5 de,40.5 de,42.8 de,44.2 de,44.2 de,47.9 de,49.3 e,48.9 e,43.3 e,:
Annual,Thousand tonnes,Methane,Tunisia,:,:,:,:,:,278.6,:,285.8,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Carbon dioxide,Egypt,142600.0,144700.0,184600.0,190300.0,200000.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Carbon dioxide,Israel,62358.6,63364.6,66200.5,65722.2,62877.5,64699.0,66750.5,72106.8,66077.9,64262.8,66101.5,65072.0,64810.8,64385.8,65599.4,62521.9,62034.3,64219.8
Annual,Thousand tonnes,Carbon dioxide,Morocco,38300.7 d,42812.2,:,47333.6,:,50223.5,:,56655.9,:,57499.0,:,59636.0,:,63636.0,:,80835.9,:,:
Annual,Thousand tonnes,Carbon dioxide,Palestine*,2583.0 de,1510.6 de,1479.6 de,1374.4 de,1779.2 de,2049.7 de,1900.2 de,2059.3 de,2294.7 de,3180.3 de,3013.4 de,3254.5 de,3284.3 de,2968.0 de,3288.3 de,3348.8 de,3751.9 de,:
Annual,Thousand tonnes,Carbon dioxide,Tunisia,:,:,:,:,:,22666.6 d,:,22539.8 d,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Egypt,216100.0,219300.0,231300.0,288400.0,303100.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Israel,71363.7 d,72812.3 d,76052.8 d,77737.9 d,74033.2 d,76883.3 d,79418.9 d,85226.6 d,79693.9 d,77621.1 d,80713.0 d,80630.8 d,79930.6 d,80091.4 d,81114.3 d,79481.3 d,78368.9 d,81063.1 d
Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Jordan,20938.0,20916.6,20866.3,21545.8,22369.0,26576.7,:,:,:,:,31191.1,31456.1,32241.3,34365.8,34824.1,38150.6,39752.3,41592.0
Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Morocco,58697.6 d,63140.9,:,68386.5,:,72979.0,:,80368.5,:,82381.0,:,85101.7,:,90944.5,:,106039.6,:,:
Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Palestine*,4090.6 de,2739.9 de,2710.7 de,2620.3 de,3026.6 de,3276.5 de,3226.3 de,3380.6 de,3612.0 de,4614.9 de,4496.1 de,4645.5 de,4777.2 de,4527.7 de,4879.6 de,4829.4 de,5259.5 de,:
Annual,Thousand tonnes,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Tunisia,:,:,:,:,:,32356.6 d,:,32604.1 d,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Nitrous oxide,Egypt,90.6,91.9,97.0,121.0,127.1,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Nitrous oxide,Israel,6.2,6.4,6.9,6.4,6.2,6.1,5.5,5.6,5.6,5.7,5.8,5.8,5.6,5.7,5.6,5.4,5.3,5.3
Annual,Thousand tonnes,Nitrous oxide,Morocco,9478.4 d,9365.1,:,9960.8,:,10904.5,:,11143.7,:,12042.6,:,11811.8,:,13108.2,:,11773.4,:,:
Annual,Thousand tonnes,Nitrous oxide,Palestine*,8.4 de,1.7 de,1.7 de,1.7 de,1.7 de,1.5 de,1.7 de,1.7 de,1.6 de,1.9 de,1.9 de,1.5 de,1.8 de,1.8 de,1.8 e,1.5 e,1.9 e,:
Annual,Thousand tonnes,Nitrous oxide,Tunisia,:,:,:,:,:,8.3,:,8.6,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Nitrogen oxides,Israel,196.4,191.2,192.3,183.7,167.4,163.3,158.1,177.8,145.1,125.4,117.9,102.2,96.4,92.5,85.9,77.5,72.4,72.5
Annual,Thousand tonnes,Nitrogen oxides,Morocco,:,:,:,:,:,302.0,:,327.0,:,:,:,196.6,:,115.5,:,:,:,:
Annual,Thousand tonnes,Nitrogen oxides,Tunisia,:,:,:,:,:,85.1,:,78.4,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Sulphur dioxide,Egypt,:,:,533.0 d,559.0 d,551.0 d,470.0 d,508.0 d,328.0 d,308.0 d,248.0 d,459.0 d,311.0 d,:,:,:,:,:,:
Annual,Thousand tonnes,Sulphur dioxide,Israel,198.0,182.1,178.2,168.3,154.2,145.4,153.2,135.0,109.2,93.2,91.5,75.3,57.5,46.5,34.9,29.2,26.7,25.7
Annual,Thousand tonnes,Sulphur dioxide,Morocco,:,:,:,:,:,577.0,:,636.0,:,:,:,226.0,:,189.3,:,:,:,:
Annual,Thousand tonnes,Sulphur dioxide,Tunisia,:,:,:,:,:,78.8,:,71.3,:,:,:,:,:,:,:,:,:,:
