Time frequency,Currency,Balance of payments item,Sector (ESA 2010),Sector (ESA 2010),Seasonal adjustment,Stock or flow,Geopolitical entity (partner),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Million euro,Primary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Albania,:,:,:,122.2,174.0,18.3,-13.6,-180.3,-227.6,-211.0,-314.5,-277.9
Annual,Million euro,Primary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Austria,405.0,854.0,358.0,-3489.0,-153.0,-3481.0,-3963.0,-898.0,4185.0,6699.0,2015.0,193.0
Annual,Million euro,Primary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Bosnia and Herzegovina,104.8,182.3,114.4,99.7,20.7,-134.6,-99.6,-30.8,-98.4,-255.2,-305.6,-147.3
Annual,Million euro,Primary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Belgium,8961.0,9679.0,8458.0,5897.0,4081.0,4080.0,4071.0,4014.0,4008.0,6365.0,6838.0,7656.0
Annual,Million euro,Primary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Bulgaria,-1053.2,-1580.9,-843.3,-1999.1,-2460.8,-2381.5,-2957.1,-2954.1,-2301.4,-3451.6,-4649.7,-4534.9
Annual,Million euro,Primary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Switzerland,12571.9,12291.0,1390.0,7129.6,-2470.5,-7052.3,-17724.1,-20597.4,-21172.5,-25088.6,-20595.3,-34041.6
Annual,Million euro,Primary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Cyprus,-136.2,-238.2,-477.1,-121.1,-753.9,-617.8,-788.1,-1253.4,-1501.7,-2274.5,-2331.3,-2999.0
Annual,Million euro,Primary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Czechia,-9444.4,-9577.5,-9470.1,-9353.4,-9366.9,-10743.5,-11266.7,-12439.3,-9750.4,-13155.0,-15184.8,-13466.4
Annual,Million euro,Primary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Germany,67296.0,66871.0,61801.0,60039.0,90870.0,83865.0,134180.0,130093.0,87061.0,124429.0,143192.0,146422.0
Annual,Million euro,Primary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Denmark,5746.0,8192.6,9649.4,8394.3,7091.7,6468.5,8422.7,8969.3,10101.9,13629.9,12141.6,10707.7
Annual,Million euro,Primary income,Total economy,Total economy,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Balance,Rest of the world,Euro area - 19 countries  (2015-2022),32074.0,72611.0,59556.0,12987.0,56342.0,53556.0,74271.0,79392.0,20127.0,65837.0,:,:
