Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage change (t/t-1),Italy,-7.2,9.9,-1.0,1.5,-0.7,-4.9,0.5,2.3,6.6,1.6,-1.6,-0.5,0.9,1.4,1.3,-4.5,0.1,-1.9,1.9,0.3,-4.4,0.9,0.7,1.9,-2.2,0.9,-0.4,-2.2,3.4
Annual,Percentage change (t/t-1),Lithuania,11.7,15.7,15.3,15.6,9.4,7.5,0.5,2.8,2.0,-0.6,-1.8,-0.3,3.0,6.0,6.8,-5.3,0.5,-2.0,0.9,2.9,0.5,1.9,0.4,4.1,-0.7,3.3,1.8,4.4,6.3
Annual,Percentage change (t/t-1),Luxembourg,3.2,-3.7,-5.2,0.3,-0.7,-1.3,0.4,0.8,3.7,1.8,1.0,0.5,0.9,2.0,1.0,-1.6,0.8,-1.5,1.6,0.6,-2.7,0.7,1.1,1.6,-0.5,0.5,0.8,-1.7,-0.5
Annual,Percentage change (t/t-1),Latvia,7.8,2.6,6.4,10.0,8.3,6.0,-0.4,-3.1,-4.4,0.7,-1.7,2.8,6.5,10.3,5.1,-7.9,0.8,-1.5,-0.9,2.9,0.7,1.2,0.0,3.8,0.0,2.1,0.3,3.2,7.2
Annual,Percentage change (t/t-1),Malta,2.0,0.0,3.1,4.4,-0.3,-1.3,1.1,2.0,3.9,2.8,-0.9,0.7,1.3,3.8,0.7,-5.0,-0.7,-2.0,1.5,0.7,-4.8,1.4,1.3,1.9,-1.4,1.5,-1.2,-3.4,4.2
Annual,Percentage change (t/t-1),Netherlands,3.0,-3.1,-4.8,1.4,0.1,-3.5,3.5,3.0,4.5,0.2,-1.5,-0.8,0.2,0.6,1.9,-3.9,-0.3,-1.8,2.7,0.0,-3.4,1.2,0.6,1.5,0.4,1.9,0.0,1.3,1.0
Annual,Percentage change (t/t-1),Poland,5.1,5.9,2.2,8.6,-1.2,9.7,11.8,-4.6,-10.8,-0.9,11.0,1.5,3.2,9.0,-14.6,6.0,-2.3,-2.2,0.2,1.0,-2.6,-3.5,2.8,0.9,-1.0,1.1,-0.5,-0.7,10.6
Annual,Percentage change (t/t-1),Portugal,3.3,-0.1,-2.8,0.1,0.2,-2.7,2.6,2.6,4.9,1.2,-0.9,0.4,1.0,0.6,-0.6,-3.1,0.7,-1.6,0.3,-0.5,-2.9,1.6,0.7,1.0,-1.8,0.8,-1.7,-1.9,2.2
Annual,Percentage change (t/t-1),Romania,-4.6,-10.2,18.0,30.4,-13.0,12.3,1.4,0.1,-2.7,2.1,17.6,6.7,8.3,-5.2,-7.3,1.6,2.8,-6.1,4.0,1.4,-2.6,-1.3,-1.7,2.3,-0.3,1.4,0.0,1.2,5.5
Annual,Percentage change (t/t-1),Sweden,-0.6,7.3,-4.9,-1.2,-1.2,-2.4,-8.2,2.6,7.1,1.2,-4.4,-0.7,0.9,-2.2,-7.2,6.6,4.1,-0.7,1.8,-4.5,-5.5,0.8,-0.7,-4.0,-3.8,3.2,2.9,-7.0,-3.4
