Time frequency,Unit of measure,National accounts indicator (ESA 2010),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Million euro,Net lending (+)/net borrowing (-),Armenia,-67.6,-65.8,-103.6,-59.1,-464.9,-345.9,-207.1,-119.8,-126.5,-164.0,-456.6,-525.5,-485.7,-168.7,-97.3,-566.3,-533.3,-411.2
Annual,Million euro,Net lending (+)/net borrowing (-),Azerbaijan,-72.4,70.2,-67.7,-9.5,-158.7,-341.4,275.8,-133.6,338.5,-295.7,-251.8,-139.1,-554.9,-110.8,-109.2,-894.0,-509.8,-772.5
Annual,Million euro,Net lending (+)/net borrowing (-),Belarus,-161.0 d,421.3 d,143.5 d,589.3 d,-246.1 d,-739.9 d,1191.0 d,331.8 d,81.2 d,615.2 d,718.8 d,635.2 d,1437.2 d,2045.1 d,1389.3 d,-888.2 d,:,:
Annual,Million euro,Net lending (+)/net borrowing (-),Georgia,71.8,164.4,23.1,-175.2,-503.7,-395.6,-89.8,-72.9,-137.5,-247.0,-135.3,-183.2,-114.4,-108.1,-428.7,-1287.8,-988.4,-573.5
Annual,Million euro,Net lending (+)/net borrowing (-),Moldova,36.8 e,-7.6 e,-7.4 e,-41.2 e,-247.2 e,-108.9 e,-120.0 e,-118.5 e,-104.8 e,-104.5 e,-129.9 e,-113.8 e,-55.0 e,-81.4 e,-153.9 e,-538.0 e,-221.7 e,-852.4 p
Annual,Million euro,Net lending (+)/net borrowing (-),Ukraine,-921.7 d,-869.4 d,-609.7 d,-2004.2 d,-4866.7 d,-6738.1 d,-2672.4 d,-5299.1 d,-5869.1 d,-4494.2 d,-632.3 d,-1619.9 d,-1183.4 d,-2146.5 d,-2559.6 d,-7382.7 d,-5612.5 d,-23612.8 d
Annual,Million euro,Government consolidated gross debt,Armenia,862.2 d,922.1 d,1022.4 d,1199.0 d,1995.6 d,2441.8 d,2720.6 d,2864.2 d,2958.0 d,3291.3 d,4210.2 d,5137.4 d,5151.5 d,5567.9 d,6100.0 d,6120.5 d,7758.5 d,9450.3 d
Annual,Million euro,Government consolidated gross debt,Belarus,2108.9 d,2469.8 d,3522.6 d,8936.5 d,15361.5 d,10856.0 d,10776.0 d,11354.1 d,11774.4 d,13731.2 d,16185.2 d,18072.4 d,17905.4 d,18345.4 d,19040.4 d,18237.3 d,:,:
Annual,Million euro,Government consolidated gross debt,Georgia,1803.6,1729.7,1714.7,2354.7,2671.0,3228.5,3366.4,4009.2,4121.8,4395.6,5201.2,5770.6,5906.8,6022.7,6520.4,8335.6,7803.1,9253.6
Annual,Million euro,Government consolidated gross debt,Moldova,803.5 d,769.4 d,755.6,797.0,836.2,1176.1 d,1289.4 d,1342.6 d,1323.0 d,1461.1 d,1579.6 d,2450.7 d,2550.2 d,2681.3 d,2739.9 d,3236.3 d,3922.2 d,:
Annual,Million euro,Government consolidated gross debt,Ukraine,13086.3 d,12111.0 d,11961.1 d,17448.4 d,27767.2 d,40886.9 d,45949.0 d,48923.1 d,52962.5 d,57237.0 d,59953.9 d,67897.0 d,63939.8 d,68374.1 d,75630.0 d,73457.4 d,86822.9 d,104630.2 d
Annual,Percentage of gross domestic product (GDP),Net lending (+)/net borrowing (-),Armenia,-1.7,-1.3,-1.5,-0.7,-7.5,-5.0,-2.8,-1.5,-1.5,-1.9,-4.8,-5.5,-4.8,-1.6,-0.8,-5.1,-4.5,-2.2
Annual,Percentage of gross domestic product (GDP),Net lending (+)/net borrowing (-),Azerbaijan,-0.7,0.4,-0.3,0.0,-0.5,-0.9 p,0.6,-0.2,0.6,-0.5,-0.5,-0.4,-1.5,-0.3,-0.3,-2.4,-1.1,-1.0
Annual,Percentage of gross domestic product (GDP),Net lending (+)/net borrowing (-),Belarus,-0.7 d,1.4 d,0.4 d,1.4 d,-0.7 d,-1.7 d,2.7 d,0.6 d,0.1 d,1.0 d,1.4 d,1.5 d,3.0 d,4.0 d,2.4 d,-1.7 d,:,:
Annual,Percentage of gross domestic product (GDP),Net lending (+)/net borrowing (-),Georgia,1.4 d,2.7 d,0.3 d,-2.0 d,-6.5 d,-4.3 d,-0.8 d,-0.6 d,-1.1 d,-1.9 d,-1.0 d,-1.3 d,-0.8 d,-0.7 d,-2.7,-9.3,-6.3 d,-2.5 d
Annual,Percentage of gross domestic product (GDP),Net lending (+)/net borrowing (-),Moldova,1.5 e,-0.3 e,-0.2 e,-1.0 e,-6.4 e,-2.1 e,-2.0 e,-1.7 e,-1.5 e,-1.5 e,-1.9 e,-1.6 e,-0.6 e,-0.8 e,-1.4 e,-5.1 e,0.0 e,-0.1 p
Annual,Percentage of gross domestic product (GDP),Net lending (+)/net borrowing (-),Ukraine,-1.3 d,-1.0 d,-0.6 d,-1.6 d,-5.6 d,-6.3 d,-2.2 d,-3.7 d,-4.1 d,-4.5 d,-0.8 d,-1.9 d,-1.2 d,-1.9 d,-1.9 dp,-5.4 d,-3.3 d,-15.5 d
Annual,Percentage of gross domestic product (GDP),Government consolidated gross debt,Armenia,21.9,18.1,15.2,15.1,32.2,35.0,37.4,34.7,35.3,37.6,44.3,53.9,50.5,52.9,50.2,55.3,66.2,51.2
