Time frequency,Technical characteristics of plants,Unit of measure,Geopolitical entity (reporting)\Time,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Solar collectors surface,Thousand square metres,Finland,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,9.0,10.0,11.0,11.0,12.0,14.0,16.0,18.0,21.0,25.0,28.0,31.0,34.0,37.0,41.0,45.0,50.0,55.0,60.0,66.0,73.0,80.0,88.0,88.0,88.0
Annual,Solar collectors surface,Thousand square metres,France,571.0,582.0,593.0,601.0,605.0,598.0,582.0,566.0,551.0,532.0,513.0,499.0,493.0,510.0,527.0,583.0,744.0,917.0,1139.0,1302.0,1447.0,2204.051,2461.061,2663.917,2806.867,2966.639,3142.762,3351.839,3550.823,3698.039,3818.393,3957.437,4101.49,4282.452
Annual,Solar collectors surface,Thousand square metres,Georgia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,23.0,38.0,48.0,62.0,58.0,60.0,62.0,62.0,62.0,62.0,62.0
Annual,Solar collectors surface,Thousand square metres,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,20.0,22.0,26.0,30.0,36.0,41.0,47.0,57.0,70.0,80.0,92.0,106.0,125.0,143.0,162.0,183.0,204.0,226.7,246.1,272.2,288.0,300.0,312.6,322.0
Annual,Solar collectors surface,Thousand square metres,Hungary,20.0,21.0,22.0,24.0,25.0,27.0,28.0,31.0,34.0,35.0,36.0,37.0,38.0,40.0,42.0,45.0,55.0,65.0,100.0,120.0,140.0,170.0,220.0,230.0,250.0,280.0,292.0,308.0,329.0,350.0,392.0,406.0,418.0,460.0
Annual,Solar collectors surface,Thousand square metres,Ireland,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,6.0,8.0,13.0,15.199,34.149,79.864,132.785,184.576,223.391,251.144,277.619,300.183,319.946,343.251,311.216,333.407,336.951,346.15,344.829,345.907,347.023
Annual,Solar collectors surface,Thousand square metres,Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Solar collectors surface,Thousand square metres,Italy,120.0,136.0,152.0,168.0,171.0,174.0,177.0,180.0,240.0,244.0,271.0,301.0,348.0,400.0,460.0,680.0,866.0,1152.0,1476.0,1876.0,2415.0,2744.0,3018.0,3318.0,3538.0,3724.0,3891.0,4050.666,4196.376,4343.765,4457.525,4657.622,4953.763,5135.714
Annual,Solar collectors surface,Thousand square metres,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Solar collectors surface,Thousand square metres,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
