Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Millions of passenger-kilometres,Algeria,929.0,821.0,813.0,937.0,1141.0,1046.0,1039.0,1141.0,1212.0,1185.0,1269.0,1337.0,1550.0,1602.0,1455.0,348.0,1096.0,1430.0,:
Annual,Millions of passenger-kilometres,Egypt,55187.0,54884.0,52624.0,56303.0,:,28077.0,27252.0,:,:,20107.0,28225.0,32157.0,32479.0,33615.0,42028.0,38579.0,:,:,:
Annual,Millions of passenger-kilometres,Israel,1618.0,1609.0,1834.0,1968.0,2011.0,1986.0,1927.0,2133.0,2376.0,2485.0,2608.0,2645.0,2765.0,3032.0,3580.0,1253.0,1956.0,3019.0,:
Annual,Millions of passenger-kilometres,Jordan,1.6,0.6,0.3,0.4,0.9,1.3,0.7,1.0,1.0,2.0,1.0,1.0,1.0,1.0,:,:,:,:,:
Annual,Millions of passenger-kilometres,Lebanon,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Millions of passenger-kilometres,Libya,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:
Annual,Millions of passenger-kilometres,Morocco,2987.0,3333.0,3659.0,3820.0,4190.0,4399.0,4819.0,5074.0,5316.0,5449.0,5506.6,5208.2 p,4923.0,4475.0,5559.0,2721.0,4464.0,6012.3,:
Annual,Millions of passenger-kilometres,Tunisia,1317.0,1407.0,1487.0,1494.0,1487.0,1534.0,1114.0,1167.0,1250.0,1297.7,1246.2,1235.5,1163.0,1109.3,1022.8,581.2,:,:,:
Annual,Thousand,Algeria,25708.0,21895.0,21388.0,24744.0,27843.0,27299.0,27416.0,31456.0,33967.0,32739.0,36216.0,37686.0,42913.0,39536.0,34525.0,8457.0,29890.0,34569.0,:
Annual,Thousand,Egypt,437996.0,435593.0,418028.0,440026.0,:,293745.0,224800.0,310463.0,310463.0,182791.0,235064.0,236445.0,243152.0,244135.0,306777.0,253759.0,:,:,:
Annual,Thousand,Israel,26767.0,28351.0,31773.0,35136.0,35934.0,35877.0,35930.0,40511.0,45137.0,48541.0,52811.0,59544.0,64603.0,67696.0,69002.0,24155.0,35021.0,54718.0,:
Annual,Thousand,Jordan,42.4,15.2,8.4,12.7,23.9,39.7,11.0,15.3,15.0,19.0,13.0,12.0,12.0,20.0,:,:,:,:,:
Annual,Thousand,Lebanon,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Thousand,Libya,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:
Annual,Thousand,Morocco,21005.0,23582.0,26116.0,27527.0,29600.0,30910.0,33931.0,35971.0,38101.0,39500.0,40478.8,39486.5 p,37953.0,35000.0,38264.0,21071.0,34482.0,45931.0,:
Annual,Thousand,Tunisia,36790.0,37814.0,38810.0,39226.0,38575.0,40182.0,32683.0,35369.0,36264.0,37624.5,37337.6,40954.0,40998.0,39985.8,37608.5,25137.7,:,:,:
