Time frequency,National accounts indicator (ESA 2010),Seasonal adjustment,Unit of measure,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Albania,118.661,124.761,128.928,132.733,137.328,141.213 p,149.390 p,155.988 p,162.138 p,164.328 p,169.376 p,168.561 p
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Austria,125.493,123.976,126.667,130.238,131.359,135.045,136.097,137.129,138.108,138.768,140.323,140.386
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Belgium,123.855,126.382,128.794,130.992,133.006,135.324 p,135.251 p,136.020 p,136.071 p,137.106 p,138.045 p,139.004 p
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Bulgaria,153.948,161.556,168.038,175.654,183.194,185.287,183.268,185.084,192.234,196.290 p,198.800 p,200.204 p
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Switzerland,129.438,133.53,136.298,144.222,143.142,142.108,144.013,146.808,148.093,150.484,146.694,150.374
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Cyprus,107.426,109.577,110.538,113.571,114.009,114.927,115.169,117.125,117.647,117.724,119.776,119.24
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Czechia,128.757,137.446,140.278,144.785,148.224,157.001,160.566,157.96,156.115,154.987,158.019,157.166
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Germany,123.507 p,125.623 p,127.802 p,128.946 p,132.015 p,134.122 p,135.823 p,137.024 p,139.026 p,139.262 p,140.415 p,140.823 p
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Denmark,116.808,120.429,125.37,128.602,127.407,123.933,121.563,118.531,118.131,120.429,120.948,123.367
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",118.078,119.771,121.249,122.768,125.078,127.564,128.977,129.911,131.369,132.093,132.756,133.468
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Euro area - 19 countries  (2015-2022),118.078,119.771,121.249,122.768,125.078,127.554,128.964,129.887,131.348,132.062,132.722,133.43
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Euro area – 20 countries (from 2023),118.048,119.738,121.225,122.752,125.078,127.564,128.977,129.911,131.369,132.093,132.756,133.468
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Estonia,153.373,160.165,167.244,174.5,177.92,181.849,182.676,183.834,187.354,186.386,189.98,192.326
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Greece,99.721,101.563 p,103.404 p,103.205 p,104.732 p,107.953 p,109.315 p,109.205 p,110.774 p,111.634 p,112.521 p,112.649 p
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Spain,111.186,111.995 p,112.326 p,113.405 p,117.248 p,119.962 p,119.989 p,120.438 p,123.005 p,123.789 p,123.864 p,124.462 p
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",European Union - 27 countries (from 2020),118.343,120.056,121.873,123.491,125.781,128.32,129.864,130.553,132.214,133.208,133.962,134.825
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Finland,124.062,126.468,127.914,130.105,132.501,133.406,134.098,134.899,135.112,136.658,136.754,137.07
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",France,113.383,114.606,115.167,116.963,118.441,120.631,122.152,123.051,124.072,124.514,124.652,125.804
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Croatia,111.344,112.549,115.798,118.877,124.319,128.597 p,130.533 p,133.601 p,134.184 p,137.081 p,138.410 p,139.677 p
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Hungary,118.626,122.812,119.59,119.89,122.134,133.936 p,144.225 p,143.308 p,146.193 p,145.909 p,148.350 p,149.434 p
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Ireland,124.766,128.092,131.441,133.486,131.518,133.861,136.496,135.926,139.405,139.358,140.375,140.694
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Italy,114.903,116.215,117.564,118.079,120.272,123.26,124.961,125.461,125.949,126.697,127.052,128.007
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Lithuania,137.429,145.285,153.71,157.184,158.831,166.096,166.992,167.959,168.964,170.243,173.66,174.219
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Luxembourg,135.121,135.373,137.8,139.401,140.783,141.768,143.365,143.728,144.36,146.276 p,148.709 p,148.799 p
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Latvia,136.309,144.608,145.261,148.0,146.769,159.139,156.779,149.451,160.502,157.566,160.135,155.535
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",North Macedonia,135.84,137.658,144.872,146.386,153.331,155.172 p,154.354 p,158.060 p,158.715 p,158.241 e,161.282 e,165.000 e
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Malta,130.348,126.955,136.346,136.304,139.385,137.04,139.671,144.057,145.695,144.074,147.159,147.621
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Netherlands,119.782,122.798,122.973,126.042,128.959,131.203,133.436,135.876,137.139,140.032,140.599,141.374
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Norway,127.893,139.287,142.409,158.505,130.576,120.859,110.254,109.513,110.475,111.6,112.938,:
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Poland,110.558,111.954,117.069,118.824,124.563,127.183,134.595,134.492,139.197,142.762,144.814,148.014
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Portugal,117.149,119.257,121.84,123.484,126.639,129.344 e,130.614 e,132.363 e,132.877 e,135.180 e,136.325 e,137.831 e
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Romania,136.986,140.747,147.245,150.859,151.483,163.548 p,162.744 p,166.082 p,171.168 p,174.922 p,180.160 p,182.357 p
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Serbia,143.795,145.975,151.878,155.355,159.671,172.404,172.97,175.109,179.098,180.222,182.416,185.629
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Sweden,118.671,114.662,116.958,117.239,116.582,115.239,113.591,112.425,115.991,119.234,117.107,117.853
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Slovenia,119.06,117.991,121.929,127.019,128.089,133.966,136.063,136.216,139.185,138.716,139.081,140.155
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Slovakia,116.326,117.955,121.213,123.841,126.604,131.22,133.476,136.378,138.083,138.614,139.626,140.008
Quarterly,Gross domestic product at market prices,Seasonally and calendar adjusted data,"Price index (implicit deflator), 2010=100, euro",Türkiye,61.686,63.932,74.423,79.447,83.553,87.603,84.665,84.504,87.862,92.29,96.422,100.981
