Time frequency,Country of citizenship,Unit of measure,Geopolitical entity (reporting)\Time,Mars 2022,Avril 2022,Mai 2022,Juin 2022,Juillet 2022,Août 2022,Septembre 2022,Octobre 2022,Novembre 2022,Décembre 2022,Janvier 2023,Février 2023,Mars 2023,Avril 2023,Mai 2023,Juin 2023,Juillet 2023,Août 2023,Septembre 2023,Octobre 2023,Novembre 2023,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Extra-EU27 (from 2020),Number,Austria,:,:,:,:,8.33,8.68,8.99,9.28,9.52,9.75,9.74,9.41,7.85,8.01,8.15,8.32,8.46,8.6,8.76,8.93,9.07,9.16,9.12,8.97,7.97,7.97,8.32,8.48,8.67,8.76,8.94,9.12,9.24
Monthly,Extra-EU27 (from 2020),Number,Belgium,2.28,3.23,3.86,4.23,4.5,4.77,4.96,4.87,5.29,5.44,5.32,5.42,5.5,5.57,5.66,5.76,5.85,5.97,6.08,6.19,6.28,6.35,6.4,6.48,6.56,6.64,6.72,6.8,6.91,7.04,7.14,7.24,7.31
Monthly,Extra-EU27 (from 2020),Number,Bulgaria,4.49 d,13.51 d,16.43 d,17.44 d,18.39 d,19.05 d,19.71 d,20.77 d,21.19 d,21.55 d,23.23 d,23.51 d,23.81 d,24.04 d,24.45 d,24.92 d,25.28 d,25.57 d,25.83 d,26.10 d,26.34 d,26.52 d,26.73 d,7.09 b,7.63,7.91,8.36,8.9,9.34,9.7,9.98,10.24,10.48
Monthly,Extra-EU27 (from 2020),Number,Switzerland,1.73,4.36,5.91,6.4,6.55,6.73,6.86,6.93,7.04,7.19,7.25,7.39,7.46,7.44,7.43,7.39,7.36,7.42,7.46,7.5,7.5,7.49,7.32,7.27,7.22,7.25,7.34,7.38,7.4,7.42,7.44,7.48,7.53
Monthly,Extra-EU27 (from 2020),Number,Cyprus,0.74,3.80 d,7.34 d,9.73 d,10.63 d,11.37 d,12.24 d,12.86 d,13.54 d,13.94 d,14.73 d,15.87 d,16.59 d,17.35 d,18.15 d,18.53 d,18.77 d,19.46 d,19.94 d,20.24 d,20.72 d,20.93 d,20.92 d,21.21 d,21.45 d,21.69 d,21.89 d,22.15 d,22.45 d,22.63 d,23.22 d,23.50 d,23.66 d
Monthly,Extra-EU27 (from 2020),Number,Czechia,23.79,29.95,33.55,35.48,36.9,37.89,38.85,39.91,40.41,41.12,40.72,41.36,30.04,30.65,31.41,32.25,33.02,33.72,33.06,33.66,34.11,34.45,34.97,35.33,33.43,31.69,32.70 d,33.1,33.91,34.57,34.72,34.8,35.34
Monthly,Extra-EU27 (from 2020),Number,Germany,:,:,:,:,:,8.41 d,9.78 d,10.50 d,11.19 d,11.63 d,11.91 d,12.26 d,12.66 d,12.92 d,13.18 d,13.44 d,13.68 d,13.94 d,14.16 d,14.41 d,14.65 d,14.83 d,15.22 d,15.42 d,15.60 d,15.80 d,15.97 d,16.15 d,13.31 b,13.45,13.53,13.67,13.81
Monthly,Extra-EU27 (from 2020),Number,Denmark,0.21,1.78,3.53,4.3,4.5,4.76,5.07,5.08,5.22,5.47,5.55,5.71,5.87,5.89,5.96,6.01,6.06,6.22,6.31,6.02,6.08,6.11,6.15,6.23,5.33,5.44,5.54,5.71,5.88,6.0,6.2,6.36,6.53
Monthly,Extra-EU27 (from 2020),Number,Estonia,10.37,16.74,19.42,21.04,22.32,24.06,25.55,27.03,28.12,28.82,28.62,29.15,27.1,25.72,25.7,25.78,25.94,26.19,26.23,26.25,26.27,26.31,26.01,25.61,24.7,23.84,24.45,23.55,24.6,24.61,24.9,25.27,25.55
Monthly,Extra-EU27 (from 2020),Number,Greece,0.0,0.85 d,1.41 d,1.60 d,1.73 d,1.82 d,1.89 d,1.95 d,2.01 d,2.06 d,2.11 d,2.14 d,2.18 d,2.24 d,2.27 d,2.36 d,2.43 d,2.47 d,2.51 d,2.54 d,2.56 d,2.58 d,2.61 d,2.63 d,2.66 d,2.75 d,2.86 d,2.93 d,2.99 d,3.03 d,3.06 d,3.09 d,3.11 d
