Time frequency,Currency,Balance of payments item,Stock or flow,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Million euro,Current account,Balance,Armenia,-99.4,-122.1,-495.2,-1127.3,-1020.7,-950.2,-760.4,-823.1,-611.0,-677.8,-253.0,-91.1,-128.7,-762.0,-858.3,-442.7,-407.9,142.8
Annual,Million euro,Current account,Balance,Azerbaijan,134.0 d,2953.3 d,6583.7 d,11173.0 d,7288.9 d,11356.5 d,12317.2 d,11597.7 d,9272.0 d,7844.3 d,-200.6 d,-1232.1 d,1492.7 d,5119.4 d,3897.8 d,-199.4 d,7004.1 d,22261.6 d
Annual,Million euro,Current account,Balance,Belarus,368.2 d,-1097.2 d,-2187.8 d,-3499.2 d,-4315.7 d,-6186.9 d,-3518.2 d,-1446.1,-5736.7,-4057.2,-1669.4,-1464.5,-843.3,19.5,-1114.8,-223.6,:,:
Annual,Million euro,Current account,Balance,Georgia,-564.7,-946.0,-1440.9,-1889.0,-824.8,-905.2,-1324.3,-1467.0,-715.3,-1358.9,-1591.3,-1713.6,-1164.4,-1004.9,-925.5,-1731.3,-1645.4,-1027.4
Annual,Million euro,Current account,Balance,Moldova,-181.3 d,-307.7 d,-490.7 d,-662.8 d,-347.3 bd,-363.1 d,-612.1 d,-500.9 d,-369.1 d,-428.2 d,-416.7 d,-260.6 d,-493.0 d,-1026.2 d,-987.8 d,-777.9 d,-1435.7 d,-2358.1 d
Annual,Million euro,Current account,Balance,Ukraine,2032.3,-1290.2,-3833.2,-8733.8,-1244.5,-2272.3,-7350.7,-11153.4,-12441.3,-3476.2 d,4512.4 d,-1677.5 d,-3046.9 d,-5464.2 d,-3696.3 d,4735.0 d,-3369.7 d,7644.5 d
Annual,Million euro,Current account,Credit,Armenia,2047.8,2423.2,2825.5,2762.7,2280.9,3068.4,3451.0,3908.3,4167.3,4211.4,4443.7,4788.6,5747.2,5805.8,6975.1,4908.1,5896.5,11879.4
Annual,Million euro,Current account,Credit,Azerbaijan,7336.4,11934.4,17637.4,23243.3,17709.7,23134.1,28817.6,31069.2,29043.5,27096.9,20301.4,17279.6,19705.9,23928.5,23431.2,15992.5,24105.4,49837.2
Annual,Million euro,Current account,Credit,Belarus,14428.7,17497.1,19956.2,26306.5,17820.9,22931.3,34199.1,42537.4,35626.5,35782.6,31759.8,29207.0,35153.0,39236.5,40993.4,35390.4,:,:
Annual,Million euro,Current account,Credit,Georgia,2285.5,2724.6,3211.4,3675.5,3364.0,4352.9,5360.9,6707.7,7272.6,7251.7,7357.8,7519.1,8903.8,9913.5,11135.7,7706.1,9785.0,17206.2
