Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2010.0
Annual,Participation rate (%),Austria,:,94.6
Annual,Participation rate (%),Belgium,95.5,95.4
Annual,Participation rate (%),Bulgaria,98.0,:
Annual,Participation rate (%),Germany,93.2,:
Annual,Participation rate (%),Estonia,94.7,94.0
Annual,Participation rate (%),Greece,:,97.9
Annual,Participation rate (%),Spain,97.9,96.8
Annual,Participation rate (%),Finland,92.0,89.1
Annual,Participation rate (%),France,:,94.9
Annual,Participation rate (%),Hungary,:,97.6
Annual,Participation rate (%),Italy,97.3,97.1
Annual,Participation rate (%),Lithuania,98.7,:
Annual,Participation rate (%),Luxembourg,:,95.9
Annual,Participation rate (%),Latvia,97.2,:
Annual,Participation rate (%),Netherlands,:,94.5
Annual,Participation rate (%),Norway,91.3,91.2
Annual,Participation rate (%),Poland,98.7,98.0
Annual,Participation rate (%),Romania,:,99.2
Annual,Participation rate (%),Serbia,:,98.5
Annual,Participation rate (%),Slovenia,95.9,:
Annual,Participation rate (%),Türkiye,:,96.3
Annual,Participation rate (%),United Kingdom,:,88.1
Annual,Participation time (hh:mm),Austria,:,1:17
Annual,Participation time (hh:mm),Belgium,1:24,1:22
Annual,Participation time (hh:mm),Bulgaria,1:32,:
Annual,Participation time (hh:mm),Germany,1:31,:
Annual,Participation time (hh:mm),Estonia,1:02,1:07
Annual,Participation time (hh:mm),Greece,:,1:41
Annual,Participation time (hh:mm),Spain,1:27,1:28
Annual,Participation time (hh:mm),Finland,1:06,1:02
Annual,Participation time (hh:mm),France,:,1:42
Annual,Participation time (hh:mm),Hungary,:,1:22
Annual,Participation time (hh:mm),Italy,1:34,1:35
Annual,Participation time (hh:mm),Lithuania,1:16,:
Annual,Participation time (hh:mm),Luxembourg,:,1:24
Annual,Participation time (hh:mm),Latvia,1:11,:
Annual,Participation time (hh:mm),Netherlands,:,1:29
Annual,Participation time (hh:mm),Norway,0:58,1:03
Annual,Participation time (hh:mm),Poland,1:25,1:25
Annual,Participation time (hh:mm),Romania,:,1:34
Annual,Participation time (hh:mm),Serbia,:,1:39
Annual,Participation time (hh:mm),Slovenia,1:16,:
Annual,Participation time (hh:mm),Türkiye,:,1:37
Annual,Participation time (hh:mm),United Kingdom,:,1:02
Annual,Time spent (hh:mm),Austria,:,1:13
Annual,Time spent (hh:mm),Belgium,1:20,1:18
Annual,Time spent (hh:mm),Bulgaria,1:30,:
Annual,Time spent (hh:mm),Germany,1:24,:
Annual,Time spent (hh:mm),Estonia,0:59,1:03
Annual,Time spent (hh:mm),Greece,:,1:39
Annual,Time spent (hh:mm),Spain,1:25,1:25
Annual,Time spent (hh:mm),Finland,1:00,0:56
Annual,Time spent (hh:mm),France,:,1:37
Annual,Time spent (hh:mm),Hungary,:,1:20
Annual,Time spent (hh:mm),Italy,1:31,1:32
Annual,Time spent (hh:mm),Lithuania,1:15,:
Annual,Time spent (hh:mm),Luxembourg,:,1:21
Annual,Time spent (hh:mm),Latvia,1:09,:
Annual,Time spent (hh:mm),Netherlands,:,1:24
Annual,Time spent (hh:mm),Norway,0:53,0:58
Annual,Time spent (hh:mm),Poland,1:24,1:23
Annual,Time spent (hh:mm),Romania,:,1:34
Annual,Time spent (hh:mm),Serbia,:,1:37
Annual,Time spent (hh:mm),Slovenia,1:13,:
Annual,Time spent (hh:mm),Türkiye,:,1:33
Annual,Time spent (hh:mm),United Kingdom,:,0:55
