Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Albania,:,:,:,65.4,63.5,61.3,56.5,56.5,:,:
Annual,Percentage,Veri,:,:,:,67.4,63.3,66.5,54.4,56.9,:,:
Annual,Percentage,Qender,:,:,:,66.4,65.9,61.1,56.6,56.8,:,:
Annual,Percentage,Jug,:,:,:,62.2,60.6,56.6,58.3,55.8,:,:
Annual,Percentage,Austria,9.1,7.0,7.3,6.9,5.7,5.6,5.6,4.4,5.2,7.6
Annual,Percentage,Burgenland,:,3.3 u,3.1 u,3.5 u,3.2 u,:,:,:,:,:
Annual,Percentage,Niederösterreich,:,5.9 e,5.4 e,4.6 e,4.2 e,:,:,:,:,:
Annual,Percentage,Wien,:,13.9 e,12.5 e,12.9 e,12.3 e,:,:,:,:,:
Annual,Percentage,Kärnten,:,5.0 e,4.3 e,3.2 u,2.9 u,:,:,:,:,:
Annual,Percentage,Steiermark,:,6.9 e,7.0 e,6.9 e,5.5 e,:,:,:,:,:
Annual,Percentage,Oberösterreich,:,4.8 e,3.8 e,3.0 e,2.2 u,:,:,:,:,:
Annual,Percentage,Salzburg,:,6.5 u,5.2 u,4.9 u,6.1 u,:,:,:,:,:
Annual,Percentage,Tirol,:,7.4 e,6.5 u,5.4 u,5.1 u,:,:,:,:,:
Annual,Percentage,Vorarlberg,:,8.3 u,7.7 u,7.0 u,6.8 u,:,:,:,:,:
Annual,Percentage,Belgium,12.8,12.7,13.7,12.2,11.7,11.0 b,11.0,10.2,9.5,10.4
Annual,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,:,:,:,:,:,21.2 b,20.5,17.2,17.5,19.2
Annual,Percentage,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,:,:,:,:,:,:,:,17.2,17.5,19.2
Annual,Percentage,Vlaams Gewest,:,:,:,:,:,6.5 b,6.6,6.7,5.4,6.0
Annual,Percentage,Prov. Antwerpen,:,:,:,:,:,:,:,9.3,7.1,7.8
Annual,Percentage,Prov. Limburg (BE),:,:,:,:,:,:,:,7.5,5.5,5.2
Annual,Percentage,Prov. Oost-Vlaanderen,:,:,:,:,:,:,:,7.3,6.3,7.8
Annual,Percentage,Prov. Vlaams-Brabant,:,:,:,:,:,:,:,5.4,4.3,4.9
Annual,Percentage,Prov. West-Vlaanderen,:,:,:,:,:,:,:,2.9,2.6,2.5
Annual,Percentage,Région wallonne,:,:,:,:,:,15.9 b,15.8,14.1,14.4,15.5
Annual,Percentage,Prov. Brabant wallon,:,:,:,:,:,:,:,16.9,18.4,18.3
Annual,Percentage,Prov. Hainaut,:,:,:,:,:,:,:,19.1,18.4,20.2
Annual,Percentage,Prov. Liège,:,:,:,:,:,:,:,9.1,10.2,10.5
Annual,Percentage,Prov. Luxembourg (BE),:,:,:,:,:,:,:,10.1,11.4,12.6
Annual,Percentage,Prov. Namur,:,:,:,:,:,:,:,11.4,11.5,13.5
Annual,Percentage,Bulgaria,53.2,51.2,48.4 b,45.0,35.9,33.6,33.7,30.4,30.4,29.4
Annual,Percentage,Severna i Yugoiztochna Bulgaria,55.9,53.6,53.0 b,49.1,39.3,37.8,38.1,34.0,32.7,32.6
Annual,Percentage,Severozapaden,51.8,50.5,52.0 b,53.9,43.5,37.9,39.1,32.8,30.9,30.5
Annual,Percentage,Severen tsentralen,59.9,56.8,59.1 b,49.1,36.0,40.8,40.9,36.3,37.2,38.5
Annual,Percentage,Severoiztochen,55.4,53.6,51.7 b,47.8,36.9,33.0,32.8,29.7,26.8,27.8
Annual,Percentage,Yugoiztochen,56.3,53.6,50.2 b,46.6,40.9,39.7,39.9,36.9,36.0,33.8
Annual,Percentage,Yugozapadna i Yuzhna tsentralna Bulgaria,50.5,48.7,43.7 b,40.9,32.5,29.4,29.3,26.9,28.1,26.4
Annual,Percentage,Yugozapaden,43.1,41.9,37.0 b,34.6,27.5,24.6,24.1,22.1,21.8,21.7
Annual,Percentage,Yuzhen tsentralen,61.3,58.6,53.7 b,50.2,40.0,36.6,36.9,34.1,37.5,33.8
Annual,Percentage,Switzerland,5.3,5.3,5.5,5.1,5.7,5.9,5.0,5.2,4.9,5.5
Annual,Percentage,Région lémanique,7.4,6.6,8.4,7.7,7.2,9.4,6.6,8.0,7.2,8.7
Annual,Percentage,Espace Mittelland,5.8,5.5,5.4,4.2,5.0,4.4,4.5,4.7,5.0,6.0
Annual,Percentage,Nordwestschweiz,4.5,4.0,5.6,6.9,7.7,10.4,9.1,4.8,6.1,4.3
Annual,Percentage,Zürich,4.8,5.9,4.8,3.5,3.4,3.6,1.8,4.2,3.4,3.4
Annual,Percentage,Ostschweiz,2.9,2.2,2.3,3.3,5.0,4.5,2.9,3.8,3.0,3.4
Annual,Percentage,Zentralschweiz,2.1,4.7,3.5,2.7,2.6,1.6,3.4,3.9,2.3,5.5
Annual,Percentage,Ticino,13.4,10.5,10.4,10.4,13.6,8.0,10.6,9.6,8.2,9.3
Annual,Percentage,Cyprus,27.8,22.8,21.1,17.5,15.5,13.3,11.4,11.2,11.0,9.9
Annual,Percentage,Czechia,12.5,10.7,8.9,7.9,6.0,5.3,5.0,4.8,4.8,6.3
Annual,Percentage,Praha,11.7,9.0,8.4,7.9,6.1,4.8,4.8,4.2,4.6,5.1
Annual,Percentage,Střední Čechy,7.9,8.2,7.6,6.5,3.6,4.1,3.0,3.1,2.3,5.3
Annual,Percentage,Jihozápad,8.3,8.5,6.4,6.1,4.5,4.0,3.8,4.1,5.8,6.1
Annual,Percentage,Severozápad,20.7,18.2,14.8,15.2,12.6,10.2,9.9,8.2,9.7,10.7
Annual,Percentage,Severovýchod,9.6,6.7,5.6,4.5,4.0,4.0,3.5,4.7,3.3,5.9
Annual,Percentage,Jihovýchod,9.9,8.9,6.9,6.7,5.6,5.2,4.6,4.4,4.5,4.9
Annual,Percentage,Střední Morava,12.0,10.4,8.0,5.5,5.3,3.0,4.7,4.3,4.2,5.2
Annual,Percentage,Moravskoslezsko,22.0,17.9,16.0,12.8,8.3,8.3,6.5,6.4,5.6,8.2
