Time frequency,Unit of measure,Type of ownership,Geopolitical entity (reporting)\Time,2014.0
Annual,Euro,Private ownership,Austria,2738.0
Annual,Euro,Private ownership,Belgium,3196.0
Annual,Euro,Private ownership,Bulgaria,430.0
Annual,Euro,Private ownership,Switzerland,5916.0
Annual,Euro,Private ownership,Cyprus,1704.0
Annual,Euro,Private ownership,Czechia,925.0
Annual,Euro,Private ownership,Germany,2970.0
Annual,Euro,Private ownership,Denmark,4341.0
Annual,Euro,Private ownership,Euro area - 17 countries (2011-2013),2658.0
Annual,Euro,Private ownership,Euro area - 18 countries (2014),2647.0
Annual,Euro,Private ownership,Euro area - 19 countries  (2015-2022),2628.0
Annual,Euro,Private ownership,Estonia,1098.0
Annual,Euro,Private ownership,Greece,1448.0
Annual,Euro,Private ownership,Spain,1911.0
Annual,Euro,Private ownership,European Union - 27 countries (2007-2013),2523.0
Annual,Euro,Private ownership,European Union - 28 countries (2013-2020),2516.0
Annual,Euro,Private ownership,Finland,3305.0
Annual,Euro,Private ownership,France,2734.0
Annual,Euro,Private ownership,Croatia,989.0
Annual,Euro,Private ownership,Hungary,834.0
Annual,Euro,Private ownership,Ireland,3586.0
Annual,Euro,Private ownership,Iceland,3321.0
Annual,Euro,Private ownership,Italy,2379.0
Annual,Euro,Private ownership,Lithuania,700.0
Annual,Euro,Private ownership,Luxembourg,3954.0
Annual,Euro,Private ownership,Latvia,841.0
Annual,Euro,Private ownership,Montenegro,684.0
Annual,Euro,Private ownership,North Macedonia,462.0
Annual,Euro,Private ownership,Malta,1667.0
Annual,Euro,Private ownership,Netherlands,2986.0
Annual,Euro,Private ownership,Norway,4974.0
Annual,Euro,Private ownership,Poland,964.0
Annual,Euro,Private ownership,Portugal,1138.0
Annual,Euro,Private ownership,Romania,498.0
Annual,Euro,Private ownership,Serbia,527.0
Annual,Euro,Private ownership,Sweden,3733.0
Annual,Euro,Private ownership,Slovenia,1481.0
Annual,Euro,Private ownership,Slovakia,948.0
Annual,Euro,Private ownership,Türkiye,739.0
Annual,Euro,Private ownership,United Kingdom,3095.0
Annual,Euro,Public ownership,Austria,3285.0
Annual,Euro,Public ownership,Belgium,3328.0
Annual,Euro,Public ownership,Bulgaria,434.0
Annual,Euro,Public ownership,Switzerland,6817.0
Annual,Euro,Public ownership,Cyprus,2467.0
Annual,Euro,Public ownership,Czechia,926.0
Annual,Euro,Public ownership,Germany,3533.0
Annual,Euro,Public ownership,Denmark,3916.0
Annual,Euro,Public ownership,Euro area - 17 countries (2011-2013),2912.0
Annual,Euro,Public ownership,Euro area - 18 countries (2014),2879.0
Annual,Euro,Public ownership,Euro area - 19 countries  (2015-2022),2839.0
Annual,Euro,Public ownership,Estonia,989.0
Annual,Euro,Public ownership,Greece,1896.0
Annual,Euro,Public ownership,Spain,2463.0
Annual,Euro,Public ownership,European Union - 27 countries (2007-2013),2644.0
Annual,Euro,Public ownership,European Union - 28 countries (2013-2020),2627.0
Annual,Euro,Public ownership,Finland,3109.0
Annual,Euro,Public ownership,France,2997.0
Annual,Euro,Public ownership,Croatia,1149.0
Annual,Euro,Public ownership,Hungary,765.0
Annual,Euro,Public ownership,Ireland,4535.0
Annual,Euro,Public ownership,Iceland,2835.0
Annual,Euro,Public ownership,Italy,2662.0
Annual,Euro,Public ownership,Lithuania,718.0
Annual,Euro,Public ownership,Luxembourg,5455.0
Annual,Euro,Public ownership,Latvia,750.0
Annual,Euro,Public ownership,Montenegro,774.0
Annual,Euro,Public ownership,North Macedonia,561.0
Annual,Euro,Public ownership,Malta,1889.0
Annual,Euro,Public ownership,Netherlands,2913.0
Annual,Euro,Public ownership,Norway,5141.0
Annual,Euro,Public ownership,Poland,1016.0
Annual,Euro,Public ownership,Portugal,1717.0
Annual,Euro,Public ownership,Romania,589.0
Annual,Euro,Public ownership,Serbia,626.0
Annual,Euro,Public ownership,Sweden,3325.0
Annual,Euro,Public ownership,Slovenia,1767.0
Annual,Euro,Public ownership,Slovakia,876.0
Annual,Euro,Public ownership,Türkiye,1681.0
Annual,Euro,Public ownership,United Kingdom,3347.0
