Time frequency,Unit of measure,Quantile,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,First quintile,Albania,:,:,:,:,:,35.3,25.1,21.7,14.6,12.3,:,:
Annual,Percentage,First quintile,Austria,29.7,30.5,28.2,26.7,29.5,30.9,28.4,29.8,28.2,24.8,32.3,26.5
Annual,Percentage,First quintile,Belgium,38.5,33.4,36.7,32.1,34.3,32.4,32.9,29.2 b,28.2,27.4,27.1,27.3
Annual,Percentage,First quintile,Bulgaria,46.9,38.9,42.4,46.3,57.4 b,52.5,52.3,50.9,44.5,38.8,53.2,40.0
Annual,Percentage,First quintile,Switzerland,44.0,37.8,38.5 b,39.6,39.6,45.1,42.1,49.7,45.9,50.8,46.8,47.7
Annual,Percentage,First quintile,Cyprus,11.2,9.3,11.2,11.5,10.8,8.4,6.1,8.4,5.8,8.1,8.8,7.1
Annual,Percentage,First quintile,Czechia,32.7,37.7,32.9,34.8,31.6,29.8,27.2,24.1,23.7,22.5,25.0,31.9
Annual,Percentage,First quintile,Germany,46.7,44.4,49.9,48.3,45.6,44.4,44.6,40.9,34.1 b,36.4,35.4,36.6
Annual,Percentage,First quintile,Denmark,55.2,58.6,53.9,50.6,54.4,57.8,53.3,58.7,53.4 b,56.0,53.9,52.9
Annual,Percentage,First quintile,Euro area - 19 countries  (2015-2022),35.4,34.9,36.6,36.2,35.5,34.0,32.9,32.4,29.0,30.6 e,:,:
Annual,Percentage,First quintile,Euro area – 20 countries (from 2023),:,:,36.6,36.2,35.4,33.9,32.8,32.2,28.9,32.5,29.8,29.6
Annual,Percentage,First quintile,Estonia,29.4,28.5,33.0 b,27.2,20.6,19.3,17.3,17.3,17.3,19.2,19.1,30.3
Annual,Percentage,First quintile,Greece,92.5,94.6,93.7,94.0,92.8,89.9,89.4,85.7,81.1,75.8,83.3,85.3
Annual,Percentage,First quintile,Spain,41.4,38.8,42.3,40.9,38.4,38.4,34.8,32.5,31.6,38.4,36.5,32.0
Annual,Percentage,First quintile,European Union - 27 countries (2007-2013),34.4,34.0,36.6,36.3,35.8,34.5,34.7,33.9 e,:,:,:,:
Annual,Percentage,First quintile,European Union - 27 countries (from 2020),36.1 e,35.5 e,36.4 e,36.2 e,35.5 e,34.0 e,32.7 e,31.7 e,28.2,31.0,29.7,29.9
Annual,Percentage,First quintile,European Union - 28 countries (2013-2020),34.4,34.0,36.5,36.2,35.7,34.4,34.6,33.8 e,:,:,:,:
