Time frequency,Level of satisfaction,Life satisfaction,International Standard Classification of Education (ISCED 2011),Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2022.0
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Austria,35.2,33.9
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Belgium,21.5,19.2
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Bulgaria,14.5,8.7
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Switzerland,25.8,32.6
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Cyprus,24.0,10.3
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Czechia,24.0,25.5
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Germany,23.7,: u
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Denmark,41.3,37.0
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Euro area – 20 countries (from 2023),:,19.8 e
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Estonia,21.9,28.0
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Greece,11.6,9.8
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Spain,21.0,20.7
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,European Union - 27 countries (from 2020),21.8,20.9 e
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Finland,35.8,37.5
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,France,23.1,18.8
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Croatia,24.6,16.0
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Hungary,15.4,17.4
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Ireland,29.1,19.6
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Iceland,35.0,:
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Italy,13.8,10.4
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Lithuania,22.3,27.3
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Luxembourg,29.8,19.8
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Latvia,21.5,23.0
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Montenegro,25.3,8.7
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,North Macedonia,19.2,:
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Malta,23.4,19.9
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Netherlands,18.8,21.4
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Norway,30.2,33.6
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Poland,27.7,23.5
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Portugal,23.5,29.0
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Romania,18.0,20.8
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Serbia,22.7,13.7
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Sweden,33.0,35.2
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Slovenia,24.7,36.1
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Slovakia,26.7,21.3
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,Türkiye,12.9,5.7
Annual,High,Time use,All ISCED 2011 levels,Total,16 years or over,Percentage,United Kingdom,28.7,:
