Time frequency,Unit of measure,Sex,Age class,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,France,8.8,9.4,9.9 b,10.3 b,10.4,10.1,9.4,9.0,8.4,8.0,7.9 bd,7.3 d,7.3 d
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Croatia,13.7,16.1 b,17.3,17.3 b,16.2,13.0,11.1,8.3,6.6,7.4,7.5 b,6.8,6.1
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Hungary,11.0,11.0,10.2,7.7 b,6.8,5.1,4.2,3.7 b,3.4,4.2,4.0 b,3.6,4.1
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Ireland,15.4,15.5,13.8,11.9 b,10.0,8.4,6.7 b,5.8,5.0,5.7,6.2 b,4.5,4.3
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Iceland,7.0,6.0,5.4,4.9 b,4.0,3.0,2.7,2.7,3.5,5.5 b,6.1 b,3.8,3.5
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Italy,8.4,10.7,12.2,12.7 b,11.9,11.7,11.2,10.6 b,9.9,9.2,9.5 b,8.1,7.7
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Lithuania,15.4,13.4,11.8,10.7 b,9.1,7.9,7.1,6.2,6.3,8.5,7.1 b,6.0,6.9
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Luxembourg,4.9,5.1,5.9,5.9 b,6.7 b,6.3,5.5,5.6,5.6,6.8,5.3 b,4.6,5.2
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Latvia,16.2,15.0,11.9,10.8 b,9.9,9.6,8.7,7.4,6.3,8.1,7.6 b,6.9,6.5
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Montenegro,19.7,20.0,19.5,18.0 b,17.6,17.8,16.1,15.2,15.2,17.9,:,:,:
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,North Macedonia,31.4,31.0,29.0,28.0 b,26.1,23.7,22.4,20.8,17.3,16.4,:,:,:
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Malta,6.4 b,6.2,6.1,5.7 b,5.4,4.7,4.0,4.0,4.1,4.9,3.8 b,3.5,3.5
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Netherlands,5.0,5.8,7.3 b,7.4 b,6.9,6.0,4.9,3.8,3.4 b,3.8,4.2 b,3.5,3.6
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Norway,3.2,3.1,3.4,3.5 b,4.3,4.7,4.2,3.8,3.7,4.4,4.4 b,3.2,3.6
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Poland,9.7,10.1,10.3,9.0 b,7.5,6.2,4.9,3.9,3.2 b,3.2,3.4 b,2.9,2.8
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Portugal,12.9 b,15.8,16.5,14.1 b,12.6,11.2,9.0,7.1,6.5,6.9,6.7 b,6.2,6.5
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Romania,7.2,6.8,7.1,6.8 b,6.8,5.9,4.9,4.2,3.9,5.0,5.6 b,5.6,5.6
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Serbia,23.1,24.1,22.3,19.4 b,17.8,15.4,13.6,12.8,10.5,9.1,11.2 b,9.6,9.5
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Sweden,7.8,8.0,8.1,8.0 b,7.4,7.0,6.7,6.4 b,6.8,8.3,8.9 b,7.5,7.7
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Slovenia,8.2,8.9,10.1,9.7 b,9.0,8.0,6.6,5.1,4.5,5.0,4.8 b,4.0,3.7 b
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Slovakia,13.6 b,14.0,14.2,13.2 b,11.5,9.7,8.1,6.5,5.8,6.7,6.8 b,6.1,5.8
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,Türkiye,8.8,8.2,8.8,9.9 b,10.3,10.9,10.9,10.9,13.7,13.2,12.0 b,10.5,9.4
Annual,Percentage,Total,From 15 to 74 years,All ISCED 2011 levels,United Kingdom,8.1 b,7.9,7.5,6.1 b,5.3,4.8,4.3,4.0,3.8,:,:,:,:
