Time frequency,Sector,National accounts indicator (ESA 2010),Unit of measure,Geopolitical entity (reporting)\Time,2020.0,2021.0,2022.0,2023.0
Annual,European institutions and bodies,Currency and deposits,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0,0.0
Annual,European institutions and bodies,Currency,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0,0.0
Annual,European institutions and bodies,Transferable deposits; other deposits,Million euro,Institutions and bodies of the European Union,0.0,0.0,0.0,0.0
Annual,European institutions and bodies,Debt securities,Million euro,Institutions and bodies of the European Union,397779.19,535801.6,636020.84,735478.94
Annual,European institutions and bodies,Short-term debt securities,Million euro,Institutions and bodies of the European Union,32881.55,42892.07,27867.92,23752.89
Annual,European institutions and bodies,Long-term debt securities,Million euro,Institutions and bodies of the European Union,364897.63,492909.52,608152.92,711726.05
Annual,European institutions and bodies,Loans,Million euro,Institutions and bodies of the European Union,2324.2,2168.3,5757.29,4599.37
Annual,European institutions and bodies,Short-term - loans,Million euro,Institutions and bodies of the European Union,980.92,950.21,4718.61,3680.74
Annual,European institutions and bodies,Long-term - loans,Million euro,Institutions and bodies of the European Union,1343.28,1218.09,1038.67,918.64
Annual,European institutions and bodies,Government consolidated gross debt,Million euro,Institutions and bodies of the European Union,400103.39,537969.9,641778.12,740078.32
