Time frequency,International Standard Classification of Occupations for European Union purposes (ISCO-88 (COM)),Sex,Unit of measure,Geopolitical entity (reporting)\Time,2003.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Austria,103.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Belgium,68.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Bulgaria,70.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Switzerland,53.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Cyprus,51.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Czechia,62.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Germany,65.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Denmark,55.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Estonia,57.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Greece,81.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Spain,110.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,European Union - 25 countries (2004-2006),67.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Finland,57.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,France,94.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Hungary,117.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Ireland,39.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Italy,53.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Lithuania,50.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Luxembourg,48.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Latvia,63.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Malta,65.3 u
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Netherlands,65.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Norway,30.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Poland,43.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Portugal,66.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Romania,72.2 u
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Sweden,51.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Slovenia,44.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,Slovakia,47.0
Annual,"Managers, professionals, technicians and associate professionals",Females,Number,United Kingdom,37.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Austria,101.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Belgium,69.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Bulgaria,90.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Switzerland,62.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Cyprus,56.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Czechia,64.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Germany,68.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Denmark,56.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Estonia,66.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Greece,76.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Spain,103.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,European Union - 25 countries (2004-2006),64.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Finland,50.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,France,74.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Hungary,116.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Ireland,40.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Italy,60.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Lithuania,59.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Luxembourg,49.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Latvia,49.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Malta,79.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Netherlands,74.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Norway,39.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Poland,48.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Portugal,85.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Sweden,55.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Slovenia,48.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,Slovakia,50.0
Annual,"Managers, professionals, technicians and associate professionals",Males,Number,United Kingdom,32.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Austria,102.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Belgium,69.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Bulgaria,78.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Switzerland,58.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Cyprus,53.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Czechia,63.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Germany,66.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Denmark,55.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Estonia,60.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Greece,79.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,Spain,107.0
Annual,"Managers, professionals, technicians and associate professionals",Total,Number,European Union - 25 countries (2004-2006),65.0
