Time frequency,Unit of measure,International Standard Classification of Occupations for European Union purposes (ISCO-88 (COM)),Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1999.0
Annual,Rate,Armed forces,Public administration and defence; compulsory social security,European Union (aggregate changing according to the context),109.0
Annual,Rate,Armed forces,Total - all NACE activities,European Union (aggregate changing according to the context),108.0
Annual,Rate,"Legislators, senior officials and managers","Agriculture, hunting and forestry",European Union (aggregate changing according to the context),205.0
Annual,Rate,"Legislators, senior officials and managers",Manufacturing,European Union (aggregate changing according to the context),56.0
Annual,Rate,"Legislators, senior officials and managers",Construction,European Union (aggregate changing according to the context),77.0
Annual,Rate,"Legislators, senior officials and managers","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union (aggregate changing according to the context),42.0
Annual,Rate,"Legislators, senior officials and managers",Hotels and restaurants,European Union (aggregate changing according to the context),53.0
Annual,Rate,"Legislators, senior officials and managers","Transport, storage and communication",European Union (aggregate changing according to the context),44.0
Annual,Rate,"Legislators, senior officials and managers",Financial intermediation,European Union (aggregate changing according to the context),48.0
Annual,Rate,"Legislators, senior officials and managers","Real estate, renting and business activities",European Union (aggregate changing according to the context),46.0
Annual,Rate,"Legislators, senior officials and managers",Public administration and defence; compulsory social security,European Union (aggregate changing according to the context),53.0
Annual,Rate,"Legislators, senior officials and managers",Education,European Union (aggregate changing according to the context),80.0
Annual,Rate,"Legislators, senior officials and managers",Health and social work,European Union (aggregate changing according to the context),59.0
Annual,Rate,"Legislators, senior officials and managers","Other community, social and personal service activities",European Union (aggregate changing according to the context),48.0
Annual,Rate,"Legislators, senior officials and managers",Total - all NACE activities,European Union (aggregate changing according to the context),53.0
Annual,Rate,Professionals,"Agriculture, hunting and forestry",European Union (aggregate changing according to the context),71.0
Annual,Rate,Professionals,Manufacturing,European Union (aggregate changing according to the context),38.0
Annual,Rate,Professionals,Construction,European Union (aggregate changing according to the context),46.0
Annual,Rate,Professionals,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union (aggregate changing according to the context),29.0
Annual,Rate,Professionals,"Transport, storage and communication",European Union (aggregate changing according to the context),49.0
Annual,Rate,Professionals,"Real estate, renting and business activities",European Union (aggregate changing according to the context),25.0
Annual,Rate,Professionals,Public administration and defence; compulsory social security,European Union (aggregate changing according to the context),24.0
Annual,Rate,Professionals,Education,European Union (aggregate changing according to the context),64.0
Annual,Rate,Professionals,Health and social work,European Union (aggregate changing according to the context),100.0
Annual,Rate,Professionals,"Other community, social and personal service activities",European Union (aggregate changing according to the context),41.0
Annual,Rate,Professionals,Total - all NACE activities,European Union (aggregate changing according to the context),51.0
Annual,Rate,Technicians and associate professionals,"Agriculture, hunting and forestry",European Union (aggregate changing according to the context),41.0
Annual,Rate,Technicians and associate professionals,Manufacturing,European Union (aggregate changing according to the context),43.0
Annual,Rate,Technicians and associate professionals,"Electricity, gas and water supply",European Union (aggregate changing according to the context),77.0
Annual,Rate,Technicians and associate professionals,Construction,European Union (aggregate changing according to the context),82.0
Annual,Rate,Technicians and associate professionals,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union (aggregate changing according to the context),46.0
Annual,Rate,Technicians and associate professionals,"Transport, storage and communication",European Union (aggregate changing according to the context),51.0
Annual,Rate,Technicians and associate professionals,Financial intermediation,European Union (aggregate changing according to the context),34.0
Annual,Rate,Technicians and associate professionals,"Real estate, renting and business activities",European Union (aggregate changing according to the context),48.0
Annual,Rate,Technicians and associate professionals,Public administration and defence; compulsory social security,European Union (aggregate changing according to the context),38.0
Annual,Rate,Technicians and associate professionals,Education,European Union (aggregate changing according to the context),74.0
Annual,Rate,Technicians and associate professionals,Health and social work,European Union (aggregate changing according to the context),114.0
Annual,Rate,Technicians and associate professionals,"Other community, social and personal service activities",European Union (aggregate changing according to the context),112.0
Annual,Rate,Technicians and associate professionals,Total - all NACE activities,European Union (aggregate changing according to the context),62.0
Annual,Rate,Clerks,Manufacturing,European Union (aggregate changing according to the context),66.0
Annual,Rate,Clerks,"Electricity, gas and water supply",European Union (aggregate changing according to the context),38.0
Annual,Rate,Clerks,Construction,European Union (aggregate changing according to the context),36.0
Annual,Rate,Clerks,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union (aggregate changing according to the context),70.0
Annual,Rate,Clerks,Hotels and restaurants,European Union (aggregate changing according to the context),49.0
Annual,Rate,Clerks,"Transport, storage and communication",European Union (aggregate changing according to the context),91.0
Annual,Rate,Clerks,Financial intermediation,European Union (aggregate changing according to the context),34.0
Annual,Rate,Clerks,"Real estate, renting and business activities",European Union (aggregate changing according to the context),38.0
