Time frequency,Indicator used in Euro_Med,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Annual,Number of compulsory schooling years (year),Algeria,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,:
Annual,Number of compulsory schooling years (year),Egypt,9.0 d,9.0 d,9.0 d,9.0 d,9.0 d,9.0 d,9.0 d,9.0 d,9.0 d,12.0 d,12.0 d,12.0 d,12.0 d,12.0 d,:
Annual,Number of compulsory schooling years (year),Israel,11.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,:
Annual,Number of compulsory schooling years (year),Jordan,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,:
Annual,Number of compulsory schooling years (year),Lebanon,6.0,6.0,6.0,:,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,:
Annual,Number of compulsory schooling years (year),Morocco,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,:,:
Annual,Number of compulsory schooling years (year),Palestine*,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Annual,Number of compulsory schooling years (year),Tunisia,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Annual,"School completion rate at ISCED 1, male (%)",Algeria,83.7,88.3,103.1 b,:,:,:,:,:,:,:,:,:,:,:,:
Annual,"School completion rate at ISCED 1, male (%)",Egypt,81.8 d,81.8 d,83.8 d,82.3 d,84.4 d,89.5 d,89.3 d,89.9 d,90.6 d,91.6 d,88.7 d,91.4 d,94.8 d,:,:
Annual,"School completion rate at ISCED 1, male (%)",Israel,100.0 e,100.0 e,100.0 e,86.3,100.0,100.0,96.9,99.3,97.4,97.2,99.6,96.6,96.1,95.0,:
Annual,"School completion rate at ISCED 1, male (%)",Jordan,:,97.5 i,:,:,:,:,:,:,:,:,:,96.3,96.5,97.9,:
Annual,"School completion rate at ISCED 1, male (%)",Lebanon,76.2,87.2,81.7,:,:,:,:,:,:,:,:,:,:,:,:
Annual,"School completion rate at ISCED 1, male (%)",Morocco,:,:,:,71.2,73.8,81.0,85.9,86.0,89.3,86.9,86.7,90.6,92.3,:,:
Annual,"School completion rate at ISCED 1, male (%)",Palestine*,99.6,99.6,99.2,98.3,98.4,97.9,99.9,99.3,99.6,99.5,97.6,98.7,98.4,99.1,98.0
Annual,"School completion rate at ISCED 1, male (%)",Tunisia,81.7,83.2,85.2,:,:,:,:,:,:,:,:,:,:,91.9,:
Annual,"School completion rate at ISCED 1, female (%)",Algeria,83.6,87.1,100.1 b,:,:,:,:,:,:,:,:,:,:,:,:
Annual,"School completion rate at ISCED 1, female (%)",Egypt,85.0 d,86.6 d,86.6 d,86.1 d,87.4 d,91.4 d,89.3 d,93.9 d,94.1 d,94.8 d,89.9 d,95.0 d,99.1 d,:,:
Annual,"School completion rate at ISCED 1, female (%)",Israel,100.0 e,100.0 e,100.0 e,86.7,100.0,100.0,96.8,100.1,96.9,96.1,100.2,95.7,98.4,95.2,:
Annual,"School completion rate at ISCED 1, female (%)",Jordan,:,99.7 i,:,:,:,:,:,:,:,:,:,97.9,99.0,97.9,:
Annual,"School completion rate at ISCED 1, female (%)",Lebanon,88.2,93.5,91.1,:,:,:,:,:,:,:,:,:,:,:,:
